split,operation,left,right,answer,expression
train,add,0,0,0,0plus0?
heldout,sub,0,0,0,0minus0?
train,add,0,1,1,0plus1?
train,add,0,2,2,0plus2?
train,add,0,3,3,0plus3?
train,add,0,4,4,0plus4?
train,add,0,5,5,0plus5?
train,add,0,6,6,0plus6?
train,add,0,7,7,0plus7?
train,add,0,8,8,0plus8?
train,add,0,9,9,0plus9?
heldout,add,1,0,1,1plus0?
heldout,sub,1,0,1,1minus0?
train,add,1,1,2,1plus1?
train,sub,1,1,0,1minus1?
train,add,1,2,3,1plus2?
train,add,1,3,4,1plus3?
train,add,1,4,5,1plus4?
train,add,1,5,6,1plus5?
train,add,1,6,7,1plus6?
train,add,1,7,8,1plus7?
train,add,1,8,9,1plus8?
train,add,2,0,2,2plus0?
train,sub,2,0,2,2minus0?
train,add,2,1,3,2plus1?
train,sub,2,1,1,2minus1?
train,add,2,2,4,2plus2?
train,sub,2,2,0,2minus2?
train,add,2,3,5,2plus3?
train,add,2,4,6,2plus4?
train,add,2,5,7,2plus5?
train,add,2,6,8,2plus6?
heldout,add,2,7,9,2plus7?
train,add,3,0,3,3plus0?
heldout,sub,3,0,3,3minus0?
train,add,3,1,4,3plus1?
train,sub,3,1,2,3minus1?
heldout,add,3,2,5,3plus2?
train,sub,3,2,1,3minus2?
train,add,3,3,6,3plus3?
heldout,sub,3,3,0,3minus3?
train,add,3,4,7,3plus4?
train,add,3,5,8,3plus5?
train,add,3,6,9,3plus6?
train,add,4,0,4,4plus0?
train,sub,4,0,4,4minus0?
train,add,4,1,5,4plus1?
train,sub,4,1,3,4minus1?
train,add,4,2,6,4plus2?
train,sub,4,2,2,4minus2?
heldout,add,4,3,7,4plus3?
train,sub,4,3,1,4minus3?
train,add,4,4,8,4plus4?
train,sub,4,4,0,4minus4?
heldout,add,4,5,9,4plus5?
train,add,5,0,5,5plus0?
train,sub,5,0,5,5minus0?
train,add,5,1,6,5plus1?
heldout,sub,5,1,4,5minus1?
train,add,5,2,7,5plus2?
train,sub,5,2,3,5minus2?
heldout,add,5,3,8,5plus3?
train,sub,5,3,2,5minus3?
train,add,5,4,9,5plus4?
train,sub,5,4,1,5minus4?
train,sub,5,5,0,5minus5?
heldout,add,6,0,6,6plus0?
train,sub,6,0,6,6minus0?
train,add,6,1,7,6plus1?
train,sub,6,1,5,6minus1?
train,add,6,2,8,6plus2?
train,sub,6,2,4,6minus2?
train,add,6,3,9,6plus3?
train,sub,6,3,3,6minus3?
train,sub,6,4,2,6minus4?
train,sub,6,5,1,6minus5?
heldout,sub,6,6,0,6minus6?
heldout,add,7,0,7,7plus0?
train,sub,7,0,7,7minus0?
train,add,7,1,8,7plus1?
train,sub,7,1,6,7minus1?
heldout,add,7,2,9,7plus2?
train,sub,7,2,5,7minus2?
train,sub,7,3,4,7minus3?
train,sub,7,4,3,7minus4?
train,sub,7,5,2,7minus5?
heldout,sub,7,6,1,7minus6?
train,sub,7,7,0,7minus7?
train,add,8,0,8,8plus0?
train,sub,8,0,8,8minus0?
heldout,add,8,1,9,8plus1?
train,sub,8,1,7,8minus1?
train,sub,8,2,6,8minus2?
heldout,sub,8,3,5,8minus3?
train,sub,8,4,4,8minus4?
train,sub,8,5,3,8minus5?
train,sub,8,6,2,8minus6?
train,sub,8,7,1,8minus7?
train,sub,8,8,0,8minus8?
heldout,add,9,0,9,9plus0?
train,sub,9,0,9,9minus0?
train,sub,9,1,8,9minus1?
train,sub,9,2,7,9minus2?
train,sub,9,3,6,9minus3?
train,sub,9,4,5,9minus4?
train,sub,9,5,4,9minus5?
train,sub,9,6,3,9minus6?
heldout,sub,9,7,2,9minus7?
heldout,sub,9,8,1,9minus8?
heldout,sub,9,9,0,9minus9?
