generation,accepted,old_token_accuracy,train_answer_accuracy,heldout_answer_accuracy,addition_answer_accuracy,subtraction_answer_accuracy,accept_rate
0,False,1.0,0.0,0.0,0.0,0.0,
100,False,1.0,0.0,0.0,0.0,0.0,0.1
200,False,1.0,0.0,0.0,0.0,0.0,0.295
300,False,0.9997759856630825,0.0,0.0,0.0,0.0,0.34
400,True,0.9991039426523297,0.0,0.0,0.0,0.0,0.3425
500,False,0.9991039426523297,0.0,0.0,0.0,0.0,0.354
600,False,0.9988799283154122,0.0,0.0,0.0,0.0,0.375
700,True,0.9993279569892473,0.0,0.0,0.0,0.0,0.3842857142857143
800,True,0.9988799283154122,0.0,0.0,0.0,0.0,0.4025
900,True,0.9995519713261649,0.0,0.0,0.0,0.0,0.4066666666666667
1000,False,1.0,0.0,0.0,0.0,0.0,0.409
1100,False,0.9997759856630825,0.0,0.0,0.0,0.0,0.39
1200,False,0.9991039426523297,0.0,0.0,0.0,0.0,0.3908333333333333
1300,False,0.9995519713261649,0.0,0.0,0.0,0.0,0.3953846153846154
1400,False,1.0,0.0,0.0,0.0,0.0,0.37785714285714284
1500,True,0.9991039426523297,0.0,0.0,0.0,0.0,0.38
1600,False,0.9973118279569892,0.0,0.0,0.0,0.0,0.3725
