model,step,consumed_tokens,train_loss,learning_rate,grad_norm,elapsed_seconds,tokens_per_second,validation_nll,validation_ppl,validation_tokens,parameters,peak_vram_bytes
minicells-v2,500,500000,4.346800804138184,0.0002987932219246,1.6104234457015991,16.110547252000003,31035.568946171505,4.488492101430893,88.98716104733823,49152,1170816,157502464
minicells-v2,1000,1000000,4.189858913421631,0.0002939239460421,1.7510932683944702,33.46653962900001,29880.591512767653,4.0551450202862425,57.69352912162701,49152,1170816,157502464
minicells-v2,2000,2000000,3.660594701766968,0.0002735514872144,2.0666348934173584,65.34481807399999,30606.86461373406,3.674312149484952,39.42153140845981,49152,1170816,157502464
minicells-v2,5000,5000000,3.55023193359375,0.0001523798945752,2.6361894607543945,157.90270443099996,31665.06880307988,3.153463860352834,23.417037608504,49152,1170816,157502464
minicells-v2,10000,10000000,2.821357011795044,0.0,2.9584639072418213,300.95555063200004,33227.49814382961,2.967778796950976,19.44867213327214,49152,1170816,157502464
transformer-s,500,500000,4.284130573272705,0.0002987932219246,1.2570868730545044,8.929133123999975,55996.47726788684,4.447906017303467,85.44783025908995,49152,1183936,87670784
transformer-s,1000,1000000,4.138912200927734,0.0002939239460421,1.5379983186721802,17.63591861399999,56702.46171391186,4.036495566368103,56.62754719502699,49152,1183936,87670784
transformer-s,2000,2000000,3.591085433959961,0.0002735514872144,1.7236671447753906,34.277419689,58347.44908298398,3.611654058098793,37.02724740961693,49152,1183936,87670784
transformer-s,5000,5000000,3.514218807220459,0.0001523798945752,2.365598678588867,82.77096809899996,60407.65397379,3.131360481182734,22.9051203396136,49152,1183936,87670784
transformer-s,10000,10000000,2.7487595081329346,0.0,2.6416015625,162.40048628100004,61576.1702997434,2.942512944340706,18.963440556993035,49152,1183936,87670784
