model,step,consumed_tokens,train_loss,learning_rate,grad_norm,elapsed_seconds,tokens_per_second,parameters,peak_vram_bytes,validation_nll,validation_ppl,validation_tokens
minicells-30m-v0,10000,10000000,1.985525369644165,0.0002939239460421,1.623716115951538,783.5853703559999,12761.851328920016,29602800,1124464128,2.291211744149526,9.886910831867894,49152
minicells-30m-v0,25000,25000000,1.9517009258270264,0.0002585601057157,1.6359453201293943,1968.045392299,12702.959036323802,29602800,1124464128,2.054108127951622,7.799878276147191,49152
minicells-30m-v0,50000,50000000,1.7079404592514038,0.0001523798945752,1.7058366537094116,3942.2605993,12683.07833553118,29602800,1124464128,1.869306676089764,6.483799467351741,49152
minicells-30m-v0,75000,75000000,1.577844738960266,4.477876684405179e-05,1.8947787284851076,5936.848079667,12632.96601051088,29602800,1124464128,1.7311965599656105,5.647407328705407,49152
minicells-30m-v0,100000,100000000,1.6056804656982422,0.0,1.9016191959381104,7933.248874662,12605.176212155648,29602800,1124464128,1.6777012000481288,5.3532357975464855,49152
transformer-30m,10000,10000000,1.970413088798523,0.0002939239460421,1.600329875946045,349.8244691379999,28585.764811252146,29458432,674000896,2.291107699275017,9.885882202983815,49152
transformer-30m,25000,25000000,1.950221419334412,0.0002585601057157,1.6403162479400637,881.74103055,28352.99609955301,29458432,674000896,2.054008369644483,7.799100212304284,49152
transformer-30m,50000,50000000,1.6891638040542605,0.0001523798945752,1.715468406677246,1762.4223830659998,28370.043685565008,29458432,674000896,1.8727450271447497,6.506131416630142,49152
transformer-30m,75000,75000000,1.5666989088058472,4.477876684405179e-05,1.9559084177017207,2643.429945838,28372.229087472213,29458432,674000896,1.7289120828111966,5.634520680911992,49152
transformer-30m,100000,100000000,1.6151037216186523,0.0,1.9545745849609373,3522.1270439,28391.93440599788,29458432,674000896,1.673162693778674,5.328995153085013,49152
