model,mode,threshold,validation_last_token_nll,validation_last_token_ppl,avg_stage1_steps,avg_stage2_steps,avg_stage3_steps,avg_total_steps,iteration_fraction,elapsed_seconds,prefixes_per_second,validation_prefixes,ppl_ratio_to_fixed,wall_time_ratio_to_fixed,throughput_ratio_to_fixed,theoretical_iteration_saving
minicells-v2,fixed,,4.068688268123272,58.48020191317724,4.0,4.0,4.0,12.0,1.0,1.8703883939999741,102.65247614662148,192,1.0,1.0,1.0,0.0
minicells-v2,adaptive,0.0,4.068688268123272,58.48020191317724,4.0,4.0,4.0,12.0,1.0,2.3585674969999673,81.40534466120587,192,1.0,1.2610041339895097,0.7930188117910792,0.0
minicells-v2,adaptive,0.005,4.068688268123272,58.48020191317724,4.0,4.0,4.0,12.0,1.0,2.404544900000019,79.8487896815728,192,1.0,1.2855858749517306,0.7778554661216596,0.0
minicells-v2,adaptive,0.0075,4.068688268123272,58.48020191317724,4.0,4.0,4.0,12.0,1.0,2.3442627730000822,81.90208120495255,192,1.0,1.2533561374312692,0.7978578235947222,0.0
minicells-v2,adaptive,0.01,4.071801237267209,58.66253262496329,4.0,4.0,3.8541666666666665,11.854166666666666,0.9878472222222222,2.2436826649999375,85.57359870675177,192,1.0031178194640427,1.1995811523411155,0.8336243013224984,0.01215277777777779
minicells-v2,adaptive,0.0125,4.081194689555559,59.216172550450125,3.9635416666666665,3.8802083333333335,2.6822916666666665,10.526041666666666,0.8771701388888888,1.9999400579999929,96.00287730223597,192,1.0125849537654734,1.0692645786381096,0.9352222265453423,0.12282986111111116
minicells-v2,adaptive,0.015,4.261206369614229,70.8954580132891,3.765625,3.0677083333333335,1.4739583333333333,8.307291666666666,0.6922743055555555,1.602989626000067,119.77619623097422,192,1.2122984479182237,0.8570356997200705,1.1668125380618626,0.30772569444444453
minicells-v2,adaptive,0.02,5.347500090836547,210.08245380798598,2.3020833333333335,1.265625,1.0208333333333333,4.588541666666667,0.38237847222222227,0.95216819999996,201.64504548671974,192,3.5923688177391275,0.5090751220732678,1.9643466290935283,0.6176215277777777
minicells-v2,adaptive,0.03,6.620040038474447,749.9751243706087,1.078125,1.0,1.0,3.078125,0.2565104166666667,0.7202733679999938,266.5654576860624,192,12.824427752217082,0.38509294128992744,2.59677572029845,0.7434895833333333
minicells-2d-k4,fixed,,3.957520590755545,52.327423876948174,4.0,4.0,4.0,12.0,1.0,2.445117816999982,78.52382354138373,192,1.0,1.0,1.0,0.0
minicells-2d-k4,adaptive,0.0,3.957520590755545,52.327423876948174,4.0,4.0,4.0,12.0,1.0,2.920832928999971,65.73467386432698,192,1.0,1.1945571328680038,0.8371303242726509,0.0
minicells-2d-k4,adaptive,0.005,3.957520590755545,52.327423876948174,4.0,4.0,4.0,12.0,1.0,2.916473117999999,65.8329400723796,192,1.0,1.1927740650053185,0.8383817433149346,0.0
minicells-2d-k4,adaptive,0.0075,3.957520590755545,52.327423876948174,4.0,4.0,4.0,12.0,1.0,2.955782396000018,64.9574204988258,192,1.0,1.2088507046366344,0.8272320115002022,0.0
minicells-2d-k4,adaptive,0.01,3.957520590755545,52.327423876948174,4.0,4.0,4.0,12.0,1.0,2.871458964999988,66.86496388779173,192,1.0,1.1743642555936638,0.8515245548703123,0.0
minicells-2d-k4,adaptive,0.0125,3.9639485530303014,52.66486595414728,4.0,4.0,2.9635416666666665,10.963541666666666,0.9136284722222222,2.632463205000022,72.93549236901809,192,1.0064486659613252,1.0766201884823292,0.9288326660580852,0.08637152777777779
minicells-2d-k4,adaptive,0.015,4.046803519401389,57.21428010432736,4.0,3.0885416666666665,1.8489583333333333,8.9375,0.7447916666666666,2.1819298360001085,87.9954968451105,192,1.0933899639101476,0.8923618407382962,1.1206216518320071,0.25520833333333337
minicells-2d-k4,adaptive,0.02,5.421879848310103,226.30414034813438,1.8958333333333333,1.0989583333333333,1.0,3.9947916666666665,0.3328993055555555,1.11406816300007,172.34133994365652,192,4.3247712878108695,0.45562964502339076,2.194765004697319,0.6671006944444444
minicells-2d-k4,adaptive,0.03,6.615925988085412,746.8960270421209,1.0,1.0,1.0,3.0,0.25,0.8757332239999869,219.24485075834338,192,14.273510364249965,0.35815583932657313,2.7920806816392054,0.75
