model,step,consumed_tokens,train_loss,stability_loss,learning_rate,grad_norm,training_elapsed_seconds,training_tokens_per_second,seconds_per_million_tokens,avg_recurrent_iterations,recurrent_iteration_fraction,validation_nll,validation_ppl,validation_tokens,parameters,peak_vram_bytes
transformer-s,250,250000,5.056407451629639,,0.0002954100398908,1.0391457080841064,4.959890556000346,50404.33799442541,19.839562224001384,,,4.944796303908031,140.44224040210938,49152,1183936,87670784
transformer-s,500,500000,4.29447078704834,,0.0002683710764094,1.1966472864151,9.165782417000742,54550.716703965976,18.331564834001483,,,4.39079291621844,80.70438543321593,49152,1183936,87670784
transformer-s,1000,1000000,3.961002349853516,,0.0001623869018208,1.4998935461044312,17.59780361599985,56825.2733023344,17.59780361599985,,,4.03847195704778,56.73957602141388,49152,1183936,87670784
transformer-s,2000,2000000,4.118597984313965,,0.0,1.6560975313186646,33.5760199250019,59566.32157317517,16.78800996250095,,,3.860427076617877,47.48562703990679,49152,1183936,87670784
minicells-v2-fixed,250,250000,5.183289527893066,,0.0002954100398908,1.247545599937439,8.886675562000846,28132.00484880897,35.546702248003385,12.0,1.0,5.069241752227147,159.05367951034944,49152,1170816,157502464
minicells-v2-fixed,500,500000,4.299493312835693,,0.0002683710764094,1.6695125102996826,17.087013427002148,29261.98906181366,34.174026854004296,12.0,1.0,4.416762938102086,82.82773243487433,49152,1170816,157502464
minicells-v2-fixed,1000,1000000,3.973703384399414,,0.0001623869018208,1.9347304105758667,32.09554967500026,31156.96755861814,32.09554967500026,12.0,1.0,4.020360812544823,55.72120711071805,49152,1170816,157502464
minicells-v2-fixed,2000,2000000,4.133346557617188,,0.0,1.8227882385253904,60.92042859700018,32829.709935732186,30.46021429850009,12.0,1.0,3.859876985351245,47.45951279444928,49152,1170816,157502464
minicells-v2-stable,250,250000,5.230867862701416,0.1362507492303848,0.0002954100398908,2.16935133934021,6.763919738998197,36960.81704793077,27.05567895599279,8.932,0.7443333333333334,5.129097203413646,168.86459882495552,49152,1170816,158716928
minicells-v2-stable,500,500000,4.299697399139404,0.1488962471485138,0.0002683710764094,1.65980863571167,13.622312957998474,36704.48634836422,27.24462591599695,8.914,0.7428333333333333,4.410718699296315,82.32861176209006,49152,1170816,158716928
minicells-v2-stable,1000,1000000,3.940582275390625,0.125739574432373,0.0001623869018208,1.6956944465637207,26.383356059998164,37902.68371187913,26.383356059998164,8.921,0.7434166666666666,4.0009405215581255,54.64952492609426,49152,1170816,158716928
minicells-v2-stable,2000,2000000,4.110953330993652,0.1770262420177459,0.0,1.685311794281006,51.28105367099863,39000.75869796481,25.640526835499315,8.952,0.746,3.8308342744906745,46.10098306938179,49152,1170816,158716928
minicells-2d-k4-fixed,250,250000,5.266005516052246,,0.0002954100398908,1.6930910348892212,11.12366159699866,22474.613940741776,44.49464638799464,12.0,1.0,5.130696564912796,169.13489045228056,49152,1173632,486587904
minicells-2d-k4-fixed,500,500000,4.361454010009766,,0.0002683710764094,2.720073938369751,22.001912446000237,22725.29723164569,44.00382489200047,12.0,1.0,4.441201289494832,84.87684211439581,49152,1173632,486587904
minicells-2d-k4-fixed,1000,1000000,3.960211992263794,,0.0001623869018208,2.275674343109131,42.11560866800062,23744.165919173774,42.11560866800062,12.0,1.0,4.024029731750488,55.92601920741963,49152,1173632,486587904
minicells-2d-k4-fixed,2000,2000000,4.120298862457275,,0.0,2.220062732696533,81.0159381190033,24686.500538477077,40.50796905950165,12.0,1.0,3.863102937738101,47.61286213888017,49152,1173632,486587904
minicells-2d-k4-stable,250,250000,5.287566184997559,0.114267848432064,0.0002954100398908,2.432558059692383,8.584990452000284,29120.591501851995,34.339961808001135,8.932,0.7443333333333334,5.170913477738698,176.0756051896945,49152,1173632,492533248
minicells-2d-k4-stable,500,500000,4.3450927734375,0.1247555166482925,0.0002683710764094,2.40700912475586,16.505460739999535,30293.00471378505,33.01092147999907,8.914,0.7428333333333333,4.428585310777028,83.8127639875914,49152,1173632,492533248
minicells-2d-k4-stable,1000,1000000,3.948488235473633,0.1146077737212181,0.0001623869018208,1.7786701917648315,32.179504923999616,31075.68007530767,32.179504923999616,8.921,0.7434166666666666,4.009977892041206,55.14565139219855,49152,1173632,492533248
minicells-2d-k4-stable,2000,2000000,4.090043544769287,0.1485690772533416,0.0,2.1929192543029785,63.72304866599916,31385.817877027348,31.86152433299958,8.952,0.746,3.838899066050848,46.47428115086365,49152,1173632,492533248
