model,display_name,target_ppl,reached,training_seconds_to_target,tokens_to_target
minicells-2d-k4-fixed,MiniCells 2D fixed,100.0,True,22.001912446000237,500000
minicells-2d-k4-fixed,MiniCells 2D fixed,75.0,True,42.11560866800062,1000000
minicells-2d-k4-fixed,MiniCells 2D fixed,60.0,True,42.11560866800062,1000000
minicells-2d-k4-fixed,MiniCells 2D fixed,50.0,True,81.0159381190033,2000000
minicells-2d-k4-stable,MiniCells 2D stabilizing,100.0,True,16.505460739999535,500000
minicells-2d-k4-stable,MiniCells 2D stabilizing,75.0,True,32.179504923999616,1000000
minicells-2d-k4-stable,MiniCells 2D stabilizing,60.0,True,32.179504923999616,1000000
minicells-2d-k4-stable,MiniCells 2D stabilizing,50.0,True,63.72304866599916,2000000
minicells-v2-fixed,MiniCells 1D fixed,100.0,True,17.087013427002148,500000
minicells-v2-fixed,MiniCells 1D fixed,75.0,True,32.09554967500026,1000000
minicells-v2-fixed,MiniCells 1D fixed,60.0,True,32.09554967500026,1000000
minicells-v2-fixed,MiniCells 1D fixed,50.0,True,60.92042859700018,2000000
minicells-v2-stable,MiniCells 1D stabilizing,100.0,True,13.622312957998474,500000
minicells-v2-stable,MiniCells 1D stabilizing,75.0,True,26.383356059998164,1000000
minicells-v2-stable,MiniCells 1D stabilizing,60.0,True,26.383356059998164,1000000
minicells-v2-stable,MiniCells 1D stabilizing,50.0,True,51.28105367099863,2000000
transformer-s,Transformer-S (LLM baseline),100.0,True,9.165782417000742,500000
transformer-s,Transformer-S (LLM baseline),75.0,True,17.59780361599985,1000000
transformer-s,Transformer-S (LLM baseline),60.0,True,17.59780361599985,1000000
transformer-s,Transformer-S (LLM baseline),50.0,True,33.5760199250019,2000000
