run,topology,variant,random_depth,step_embedding_init_scale,stability_weight,step,consumed_tokens,train_loss,main_loss,stability_loss,learning_rate,grad_norm,training_elapsed_seconds,training_tokens_per_second,seconds_per_million_tokens,avg_recurrent_iterations,recurrent_iteration_fraction,validation_nll,validation_ppl,validation_tokens,parameters,peak_vram_bytes
1d-A,1d,A,False,1.0,0.0,250,250000,5.183289527893066,5.183289527893066,,0.0002954100398908,1.247545599937439,8.637709577000294,28942.85779944225,34.550838308001175,12.0,1.0,5.069241752227147,159.05367951034944,49152,1170816,157502464
1d-A,1d,A,False,1.0,0.0,500,500000,4.299493312835693,4.299493312835693,,0.0002683710764094,1.6695125102996826,16.125166807000255,31007.431177886487,32.25033361400051,12.0,1.0,4.416762938102086,82.82773243487433,49152,1170816,157502464
1d-A,1d,A,False,1.0,0.0,1000,1000000,3.973703384399414,3.973703384399414,,0.0001623869018208,1.9347304105758667,31.058365271000863,32197.4447552041,31.058365271000863,12.0,1.0,4.020360812544823,55.72120711071805,49152,1170816,157502464
1d-A,1d,A,False,1.0,0.0,2000,2000000,4.133346557617188,4.133346557617188,,0.0,1.8227882385253904,60.91819391100006,32830.91424085799,30.45909695550003,12.0,1.0,3.859876985351245,47.45951279444928,49152,1170816,157502464
1d-B,1d,B,True,1.0,0.0,250,250000,5.286871910095215,5.286871910095215,0.1915460228919983,0.0002954100398908,1.64958655834198,7.0596855629996185,35412.342060993506,28.238742251998477,8.932,0.7443333333333334,5.185621231794357,178.68441975993116,49152,1170816,158716928
1d-B,1d,B,True,1.0,0.0,500,500000,4.349876880645752,4.349876880645752,0.18734672665596,0.0002683710764094,1.5973098278045654,13.235350386999473,37777.61716766706,26.470700773998946,8.914,0.7428333333333333,4.458304266134898,86.34097357598232,49152,1170816,158716928
1d-B,1d,B,True,1.0,0.0,1000,1000000,3.988903284072876,3.988903284072876,0.1669641435146331,0.0001623869018208,1.6521512269973757,25.76084427899985,38818.60350420256,25.76084427899985,8.921,0.7434166666666666,4.054434388875961,57.65254485174271,49152,1170816,158716928
1d-B,1d,B,True,1.0,0.0,2000,2000000,4.1707634925842285,4.1707634925842285,0.269122838973999,0.0,1.7158172130584717,50.72782647499986,39426.09291540725,25.36391323749993,8.952,0.746,3.885349656144778,48.68396213031177,49152,1170816,158716928
1d-C,1d,C,True,0.25,0.0,250,250000,5.285315990447998,5.285315990447998,0.1943679302930832,0.0002954100398908,2.630195379257202,6.964271338999936,35897.509995051376,27.857085355999743,8.932,0.7443333333333334,5.159986168146133,174.1620466044726,49152,1170816,158716928
1d-C,1d,C,True,0.25,0.0,500,500000,4.341657161712647,4.341657161712647,0.1942632049322128,0.0002683710764094,1.765122890472412,13.088052511999308,38202.7807071826,26.176105023998616,8.914,0.7428333333333333,4.452847838401794,85.87114325652371,49152,1170816,158716928
