topology,contrast,high_variant,low_variant,metric,high_value,low_value,ratio_high_to_low,percent_change
1d,random_only_scale1_reg0,B,A,final_ppl_2m,48.68396213031177,47.45951279444928,1.0257998715908794,2.5799871590879375
1d,random_only_scale1_reg0,B,A,seconds_per_million_tokens,25.36391323749993,30.45909695550003,0.8327204603129228,-16.72795396870772
1d,random_only_scale1_reg0,B,A,depth_robustness_ratio_2_to_4,1.0205923855467207,1.935833067095628,0.527210947521388,-47.2789052478612
1d,random_only_scale025_reg0,C,E,final_ppl_2m,48.58907284167962,47.11497325331851,1.0312872848390566,3.128728483905663
1d,random_only_scale025_reg0,C,E,seconds_per_million_tokens,24.886229111497613,30.632065475999696,0.8124241289245101,-18.75758710754899
1d,random_only_scale025_reg0,C,E,depth_robustness_ratio_2_to_4,1.0262853147024347,1.857368021762391,0.5525481771397296,-44.74518228602704
1d,random_only_scale1_reg01,H,F,final_ppl_2m,46.46767451081664,46.09513330469208,1.008082007349063,0.8082007349063058
1d,random_only_scale1_reg01,H,F,seconds_per_million_tokens,25.71654850549959,32.32047055899949,0.7956737034058724,-20.43262965941276
1d,random_only_scale1_reg01,H,F,depth_robustness_ratio_2_to_4,1.0184533321193383,1.468237756143249,0.6936569556654097,-30.634304433459025
1d,random_only_scale025_reg01,D,G,final_ppl_2m,46.10098306938179,45.52551546662339,1.012640551059335,1.2640551059335037
1d,random_only_scale025_reg01,D,G,seconds_per_million_tokens,25.54756325949853,32.907496736498274,0.7763447783362776,-22.365522166372244
1d,random_only_scale025_reg01,D,G,depth_robustness_ratio_2_to_4,1.022305544330779,1.4857639703718184,0.6880672601550183,-31.19327398449817
1d,step_init_after_random_reg0,C,B,final_ppl_2m,48.58907284167962,48.68396213031177,0.9980509127753784,-0.1949087224621615
1d,step_init_after_random_reg0,C,B,seconds_per_million_tokens,24.886229111497613,25.36391323749993,0.9811667812640176,-1.8833218735982427
1d,step_init_after_random_reg0,C,B,depth_robustness_ratio_2_to_4,1.0262853147024347,1.0205923855467207,1.0055780635210838,0.5578063521083809
1d,step_init_only_fixed_reg0,E,A,final_ppl_2m,47.11497325331851,47.45951279444928,0.9927403481231888,-0.7259651876811213
1d,step_init_only_fixed_reg0,E,A,seconds_per_million_tokens,30.632065475999696,30.45909695550003,1.0056787146628927,0.5678714662892714
1d,step_init_only_fixed_reg0,E,A,depth_robustness_ratio_2_to_4,1.857368021762391,1.935833067095628,0.9594670394534793,-4.053296054652067
1d,residual_after_random_scale025,D,C,final_ppl_2m,46.10098306938179,48.58907284167962,0.9487932239331897,-5.120677606681035
1d,residual_after_random_scale025,D,C,seconds_per_million_tokens,25.54756325949853,24.886229111497613,1.0265743011943653,2.6574301194365324
1d,residual_after_random_scale025,D,C,depth_robustness_ratio_2_to_4,1.022305544330779,1.0262853147024347,0.9961221598763599,-0.38778401236401194
1d,residual_only_fixed_scale1,F,A,final_ppl_2m,46.09513330469208,47.45951279444928,0.9712517173181605,-2.8748282681839488
1d,residual_only_fixed_scale1,F,A,seconds_per_million_tokens,32.32047055899949,30.45909695550003,1.0611105971466874,6.111059714668743
1d,residual_only_fixed_scale1,F,A,depth_robustness_ratio_2_to_4,1.468237756143249,1.935833067095628,0.7584526688275232,-24.154733117247684
2d,random_only_scale1_reg0,B,A,final_ppl_2m,49.07503201739963,47.61286213888017,1.030709556469311,3.070955646931095
2d,random_only_scale1_reg0,B,A,seconds_per_million_tokens,34.51338664749997,42.57229581850194,0.8107006207661565,-18.929937923384355
2d,random_only_scale1_reg0,B,A,depth_robustness_ratio_2_to_4,1.0186501755224908,1.790568968899472,0.5688974807536057,-43.11025192463943
2d,random_only_scale025_reg0,C,E,final_ppl_2m,48.75446109710273,47.352256417456815,1.0296122040581148,2.961220405811482
2d,random_only_scale025_reg0,C,E,seconds_per_million_tokens,33.008184361499616,42.20238696349924,0.7821402232543939,-21.78597767456061
2d,random_only_scale025_reg0,C,E,depth_robustness_ratio_2_to_4,1.022650875898871,1.7798690153881693,0.574565244440666,-42.5434755559334
2d,random_only_scale1_reg01,H,F,final_ppl_2m,46.80656961704887,46.38832864781543,1.009016081877163,0.9016081877162962
2d,random_only_scale1_reg01,H,F,seconds_per_million_tokens,33.378817881500424,43.28154208499882,0.7712021400704521,-22.879785992954794
2d,random_only_scale1_reg01,H,F,depth_robustness_ratio_2_to_4,1.0164044218595973,1.466307771413807,0.6931726351552955,-30.682736484470453
2d,random_only_scale025_reg01,D,G,final_ppl_2m,46.47428115086365,45.97494017520731,1.0108611555284985,1.0861155528498534
2d,random_only_scale025_reg01,D,G,seconds_per_million_tokens,34.03810130750122,43.52110579500044,0.7821056171649804,-21.789438283501962
2d,random_only_scale025_reg01,D,G,depth_robustness_ratio_2_to_4,1.0201889866036327,1.507868872399801,0.676576727112871,-32.3423272887129
2d,step_init_after_random_reg0,C,B,final_ppl_2m,48.75446109710273,49.07503201739963,0.9934677389475112,-0.653226105248883
2d,step_init_after_random_reg0,C,B,seconds_per_million_tokens,33.008184361499616,34.51338664749997,0.9563878705566152,-4.361212944338478
2d,step_init_after_random_reg0,C,B,depth_robustness_ratio_2_to_4,1.022650875898871,1.0186501755224908,1.0039274526942756,0.3927452694275635
2d,step_init_only_fixed_reg0,E,A,final_ppl_2m,47.352256417456815,47.61286213888017,0.9945265688783169,-0.5473431121683081
2d,step_init_only_fixed_reg0,E,A,seconds_per_million_tokens,42.20238696349924,42.57229581850194,0.9913110428298315,-0.8688957170168488
2d,step_init_only_fixed_reg0,E,A,depth_robustness_ratio_2_to_4,1.7798690153881693,1.790568968899472,0.9940242717833544,-0.5975728216645604
2d,residual_after_random_scale025,D,C,final_ppl_2m,46.47428115086365,48.75446109710273,0.9532313578095405,-4.676864219045951
2d,residual_after_random_scale025,D,C,seconds_per_million_tokens,34.03810130750122,33.008184361499616,1.0312018660197162,3.1201866019716196
2d,residual_after_random_scale025,D,C,depth_robustness_ratio_2_to_4,1.0201889866036327,1.022650875898871,0.9975926395280554,-0.2407360471944564
2d,residual_only_fixed_scale1,F,A,final_ppl_2m,46.38832864781543,47.61286213888017,0.9742814559752164,-2.5718544024783574
2d,residual_only_fixed_scale1,F,A,seconds_per_million_tokens,43.28154208499882,42.57229581850194,1.0166598078130575,1.6659807813057537
2d,residual_only_fixed_scale1,F,A,depth_robustness_ratio_2_to_4,1.466307771413807,1.790568968899472,0.8189060554953301,-18.109394450466986
