run,replicate,topology,variant,random_depth,stability_weight,step,consumed_tokens,train_loss,main_loss,stability_loss,learning_rate,grad_norm,training_elapsed_seconds,training_tokens_per_second,seconds_per_million_tokens,avg_recurrent_iterations,recurrent_iteration_fraction,validation_nll,validation_ppl,validation_tokens,parameters,peak_vram_bytes
1d-r0-A,0,1d,A,False,0.0,250,250000,5.183289527893066,5.183289527893066,,0.0002954100398908,1.247545599937439,8.13898142999966,30716.3742969752,32.55592571999864,12.0,1.0,5.069241752227147,159.05367951034944,49152,1170816,157502464
1d-r0-A,0,1d,A,False,0.0,500,500000,4.299493312835693,4.299493312835693,,0.0002683710764094,1.6695125102996826,15.398168506000502,32471.39423140845,30.796337012001004,12.0,1.0,4.416762938102086,82.82773243487433,49152,1170816,157502464
1d-r0-A,0,1d,A,False,0.0,1000,1000000,3.973703384399414,3.973703384399414,,0.0001623869018208,1.9347304105758667,30.148313526000948,33169.35121885227,30.148313526000948,12.0,1.0,4.020360812544823,55.72120711071805,49152,1170816,157502464
1d-r0-A,0,1d,A,False,0.0,2000,2000000,4.133346557617188,4.133346557617188,,0.0,1.8227882385253904,59.845883641002615,33419.17402368718,29.922941820501308,12.0,1.0,3.859876985351245,47.45951279444928,49152,1170816,157502464
1d-r0-B,0,1d,B,True,0.0,250,250000,5.286871910095215,5.286871910095215,0.1915460228919983,0.0002954100398908,1.64958655834198,6.419363759000703,38944.66950084744,25.67745503600281,8.932,0.7443333333333334,5.185621231794357,178.68441975993116,49152,1170816,158716928
1d-r0-B,0,1d,B,True,0.0,500,500000,4.349876880645752,4.349876880645752,0.18734672665596,0.0002683710764094,1.5973098278045654,12.393021107001688,40345.28753586282,24.786042214003373,8.914,0.7428333333333333,4.458304266134898,86.34097357598232,49152,1170816,158716928
1d-r0-B,0,1d,B,True,0.0,1000,1000000,3.988903284072876,3.988903284072876,0.1669641435146331,0.0001623869018208,1.6521512269973757,24.37854054100308,41019.68279512331,24.37854054100308,8.921,0.7434166666666666,4.054434388875961,57.65254485174271,49152,1170816,158716928
1d-r0-B,0,1d,B,True,0.0,2000,2000000,4.1707634925842285,4.1707634925842285,0.269122838973999,0.0,1.7158172130584717,48.597342543002014,41154.51371091481,24.298671271501007,8.952,0.746,3.885349656144778,48.68396213031177,49152,1170816,158716928
1d-r0-F,0,1d,F,False,0.1,250,250000,5.158914089202881,5.151103496551514,0.0781036242842674,0.0002954100398908,1.3927159309387207,8.609153140999751,29038.860838636258,34.436612563999006,12.0,1.0,5.03916722536087,154.3414298635337,49152,1170816,159044608
1d-r0-F,0,1d,F,False,0.1,500,500000,4.281968593597412,4.273929595947266,0.0803919211030006,0.0002683710764094,1.7469638586044312,16.809958962000223,29744.272495267574,33.61991792400045,12.0,1.0,4.387514978647232,80.440274601938,49152,1170816,159044608
1d-r0-F,0,1d,F,False,0.1,1000,1000000,3.9503462314605713,3.9420783519744873,0.0826797783374786,0.0001623869018208,2.0084211826324463,32.47046059700074,30797.22250975303,32.47046059700074,12.0,1.0,3.9939340502023697,54.26796285787057,49152,1170816,159044608
1d-r0-F,0,1d,F,False,0.1,2000,2000000,4.106130123138428,4.097651481628418,0.0847851037979126,0.0,1.863905668258667,63.51485785999876,31488.695202758016,31.757428929999374,12.0,1.0,3.830707376201948,46.09513330469208,49152,1170816,159044608
1d-r0-H,0,1d,H,True,0.1,250,250000,5.264044284820557,5.250949859619141,0.1309450566768646,0.0002954100398908,2.3951704502105717,6.687272979000909,37384.44666234493,26.74909191600364,8.932,0.7443333333333334,5.177727450927098,177.27947655820358,49152,1170816,158716928
1d-r0-H,0,1d,H,True,0.1,500,500000,4.308568000793457,4.29360294342041,0.1496494114398956,0.0002683710764094,1.521744966506958,12.923845142000571,38688.17635202657,25.847690284001143,8.914,0.7428333333333333,4.421576897303264,83.22742303478677,49152,1170816,158716928
1d-r0-H,0,1d,H,True,0.1,1000,1000000,3.9491913318634033,3.9370980262756343,0.1209338009357452,0.0001623869018208,1.7016067504882812,24.804949100000957,40314.53545695692,24.804949100000957,8.921,0.7434166666666666,4.010859409968059,55.1942847049079,49152,1170816,158716928
1d-r0-H,0,1d,H,True,0.1,2000,2000000,4.119454383850098,4.101764678955078,0.1768971979618072,0.0,1.678769826889038,48.68326844400008,41081.876051534666,24.34163422200004,8.952,0.746,3.8387568990389513,46.46767451081664,49152,1170816,158716928
1d-r1-A,1,1d,A,False,0.0,250,250000,4.97739839553833,4.97739839553833,,0.0002954100398908,1.3687002658843994,7.994183218999638,31272.738333771147,31.97673287599855,12.0,1.0,5.060351441303889,157.64590987312474,49152,1170816,157502464
1d-r1-A,1,1d,A,False,0.0,500,500000,4.603163242340088,4.603163242340088,,0.0002683710764094,1.7218245267868042,15.3666931469985,32537.904884087733,30.733386293997,12.0,1.0,4.425797204176585,83.57941052544541,49152,1170816,157502464
1d-r1-A,1,1d,A,False,0.0,1000,1000000,4.155517578125,4.155517578125,,0.0001623869018208,1.684840202331543,30.09115163499837,33232.36053341746,30.09115163499837,12.0,1.0,4.024808605511983,55.96959548437156,49152,1170816,157502464
1d-r1-A,1,1d,A,False,0.0,2000,2000000,4.102339744567871,4.102339744567871,,0.0,1.789939045906067,59.9707771229979,33349.57617604441,29.98538856149895,12.0,1.0,3.864581416050593,47.6833087870365,49152,1170816,157502464
1d-r1-B,1,1d,B,True,0.0,250,250000,5.070606708526611,5.070606708526611,0.2861434519290924,0.0002954100398908,1.2625277042388916,6.350586112999963,39366.44516767321,25.40234445199985,8.84,0.7366666666666667,5.150638580322266,172.54163683846718,49152,1170816,158716928
1d-r1-B,1,1d,B,True,0.0,500,500000,4.633004188537598,4.633004188537598,0.1320113241672516,0.0002683710764094,1.5895965099334717,12.947945031999552,38616.16640820609,25.895890063999104,8.886,0.7404999999999999,4.465992083152135,87.00730521797215,49152,1170816,158716928
1d-r1-B,1,1d,B,True,0.0,1000,1000000,4.184174060821533,4.184174060821533,0.2037629336118698,0.0001623869018208,1.7061363458633425,25.077914980998685,39875.723350912194,25.077914980998685,8.947,0.7455833333333333,4.056491062045097,57.77123930988655,49152,1170816,158716928
1d-r1-B,1,1d,B,True,0.0,2000,2000000,4.122900485992432,4.122900485992432,0.1680504083633422,0.0,1.6813359260559082,48.93699388899893,40868.87732696637,24.468496944499464,8.9785,0.7482083333333334,3.892487754424413,49.03271627650361,49152,1170816,158716928
1d-r1-F,1,1d,F,False,0.1,250,250000,4.974497318267822,4.967005729675293,0.0749166756868362,0.0002954100398908,1.7416324615478516,8.315177005999999,30065.50549911409,33.260708024,12.0,1.0,5.039751023054123,154.4315603406838,49152,1170816,159044608
1d-r1-F,1,1d,F,False,0.1,500,500000,4.585344314575195,4.577518463134766,0.0782588720321655,0.0002683710764094,1.6669002771377563,16.2725963489994,30726.5041961632,32.5451926979988,12.0,1.0,4.406841059525807,82.00998921383946,49152,1170816,159044608
1d-r1-F,1,1d,F,False,0.1,1000,1000000,4.137418270111084,4.129128932952881,0.0828911513090133,0.0001623869018208,1.7236597537994385,31.77389615099833,31472.37579073476,31.77389615099833,12.0,1.0,4.004726101954778,54.85679717168745,49152,1170816,159044608
1d-r1-F,1,1d,F,False,0.1,2000,2000000,4.091359615325928,4.082950115203857,0.0840935111045837,0.0,1.8643244504928589,63.16646132599499,31662.37205656061,31.583230662997494,12.0,1.0,3.838744382063548,46.467092879717896,49152,1170816,159044608
1d-r1-H,1,1d,H,True,0.1,250,250000,5.057976722717285,5.038907527923584,0.1906898319721222,0.0002954100398908,1.4553108215332031,6.928940165998256,36080.55402567939,27.715760663993024,8.84,0.7366666666666667,5.108385860919952,165.40315558594335,49152,1170816,158716928
1d-r1-H,1,1d,H,True,0.1,500,500000,4.6000142097473145,4.590900421142578,0.0911386609077453,0.0002683710764094,1.5684499740600586,13.22806794299754,37798.4148671297,26.45613588599508,8.886,0.7404999999999999,4.425781627496083,83.57810864581062,49152,1170816,158716928
1d-r1-H,1,1d,H,True,0.1,1000,1000000,4.151779651641846,4.13716983795166,0.1460969299077987,0.0001623869018208,1.767063856124878,25.84388191399717,38693.87746499474,25.84388191399717,8.947,0.7455833333333333,4.013251066207886,55.32644844244071,49152,1170816,158716928
1d-r1-H,1,1d,H,True,0.1,2000,2000000,4.083967208862305,4.072863578796387,0.1110344231128692,0.0,1.796205997467041,51.031513801994834,39191.46917256097,25.515756900997417,8.9785,0.7482083333333334,3.846619407335917,46.83446705233764,49152,1170816,158716928
1d-r2-A,2,1d,A,False,0.0,250,250000,5.138283729553223,5.138283729553223,,0.0002954100398908,1.6552026271820068,8.138424741999415,30718.47537151041,32.55369896799766,12.0,1.0,5.072691688934962,159.6033522607181,49152,1170816,157502464
1d-r2-A,2,1d,A,False,0.0,500,500000,4.59798526763916,4.59798526763916,,0.0002683710764094,1.949512004852295,15.644922309000547,31959.251067188052,31.289844618001094,12.0,1.0,4.41120860973994,82.3689552903524,49152,1170816,157502464
1d-r2-A,2,1d,A,False,0.0,1000,1000000,3.893399953842163,3.893399953842163,,0.0001623869018208,1.6397465467453003,30.427365206000783,32865.15257662807,30.427365206000783,12.0,1.0,4.019748657941818,55.68710755546496,49152,1170816,157502464
1d-r2-A,2,1d,A,False,0.0,2000,2000000,3.857069253921509,3.857069253921509,,0.0,1.8021823167800903,59.95618045600236,33357.69531662645,29.97809022800118,12.0,1.0,3.865480810403824,47.72621417724355,49152,1170816,157502464
1d-r2-B,2,1d,B,True,0.0,250,250000,5.217936992645264,5.217936992645264,0.2346230745315551,0.0002954100398908,0.961696207523346,6.802166024998769,36752.99883613841,27.20866409999508,9.176,0.7646666666666667,5.1715773940086365,176.19254346303495,49152,1170816,158716928
1d-r2-B,2,1d,B,True,0.0,500,500000,4.647830009460449,4.647830009460449,0.1465545296669006,0.0002683710764094,1.760250210762024,12.861642700996526,38875.28301196392,25.723285401993053,9.15,0.7625000000000001,4.472511847813924,87.57642562141606,49152,1170816,158716928
1d-r2-B,2,1d,B,True,0.0,1000,1000000,3.947770357131958,3.947770357131958,0.3390132188796997,0.0001623869018208,1.715558409690857,25.260769604994948,39587.07575569133,25.260769604994948,9.147,0.76225,4.06750472386678,58.41102894879144,49152,1170816,158716928
1d-r2-B,2,1d,B,True,0.0,2000,2000000,3.8900341987609854,3.8900341987609854,0.1740180552005767,0.0,1.7123347520828247,49.276068029995486,40587.65400645509,24.638034014997743,9.0505,0.7542083333333333,3.898385549585024,49.32275564894771,49152,1170816,158716928
1d-r2-F,2,1d,F,False,0.1,250,250000,5.115698337554932,5.107982158660889,0.0771632939577102,0.0002954100398908,1.1657633781433103,8.233628510999097,30363.283899198428,32.93451404399639,12.0,1.0,5.0358923474947614,153.83680727072897,49152,1170816,159044608
1d-r2-F,2,1d,F,False,0.1,500,500000,4.568250179290772,4.560139179229736,0.0811120197176933,0.0002683710764094,1.8226399421691892,16.157976179998514,30944.469432931543,32.31595235999703,12.0,1.0,4.382274895906448,80.01986336415496,49152,1170816,159044608
1d-r2-F,2,1d,F,False,0.1,1000,1000000,3.869916439056397,3.8616342544555664,0.0828218385577201,0.0001623869018208,1.6695128679275513,31.67816998799799,31567.4800778856,31.67816998799799,12.0,1.0,3.994879812002182,54.3193117021554,49152,1170816,159044608
