run,replicate,topology,variant,random_depth,stability_loss,stability_weight,parameters,model_seed,schedule_seed,depth_seed,final_ppl_2m,final_nll_2m,training_elapsed_seconds,training_tokens_per_second,seconds_per_million_tokens,peak_vram_gib,avg_recurrent_iterations,depth_robustness_ratio_2_to_4,ppl_depth2,ppl_depth3,ppl_depth4
1d-r0-A,0,1d,A,False,False,0.0,1170816,61011,11011,21011,47.45951279444928,3.859876985351245,59.845883641002615,33419.17402368718,29.922941820501308,0.14668560028076172,12.0,1.935833067095628,92.25870956858155,52.15226507668349,47.65840151031167
1d-r0-B,0,1d,B,True,False,0.0,1170816,61011,11011,21011,48.68396213031177,3.885349656144778,48.597342543002014,41154.51371091481,24.298671271501007,0.14781665802001953,8.952,1.0205923855467207,49.59660525509466,48.59589975142356,48.89096612619634
1d-r0-F,0,1d,F,False,True,0.1,1170816,61011,11011,21011,46.09513330469208,3.830707376201948,63.514857859998756,31488.695202758016,31.757428929999378,0.14812183380126953,12.0,1.468237756143249,68.07917429395074,47.54888130086835,46.367949611090495
1d-r0-H,0,1d,H,True,True,0.1,1170816,61011,11011,21011,46.46767451081664,3.8387568990389513,48.68326844400008,41081.876051534666,24.34163422200004,0.14781665802001953,8.952,1.0184533321193383,47.31839038769383,46.46102957827944,46.635630298726916
1d-r1-A,1,1d,A,False,False,0.0,1170816,62011,12011,22011,47.6833087870365,3.864581416050593,59.9707771229979,33349.57617604441,29.98538856149895,0.14668560028076172,12.0,2.064130420740051,103.01154451431245,55.684708924507234,49.90554059921263
1d-r1-B,1,1d,B,True,False,0.0,1170816,62011,12011,22011,49.03271627650361,3.892487754424413,48.93699388899893,40868.87732696637,24.468496944499464,0.14781665802001953,8.9785,1.0178586214770236,52.00277716772152,51.09037352580443,51.33302902040379
1d-r1-F,1,1d,F,False,True,0.1,1170816,62011,12011,22011,46.467092879717896,3.838744382063548,63.16646132599499,31662.37205656061,31.583230662997494,0.14812183380126953,12.0,1.472772357672919,71.73605106733154,50.03091170155899,48.70817319024062
1d-r1-H,1,1d,H,True,True,0.1,1170816,62011,12011,22011,46.83446705233764,3.846619407335917,51.031513801994834,39191.46917256097,25.515756900997417,0.14781665802001953,8.9785,1.0164154681150253,49.68223017916238,48.87984464787776,49.03491459125992
1d-r2-A,2,1d,A,False,False,0.0,1170816,63011,13011,23011,47.72621417724355,3.865480810403824,59.95618045600236,33357.69531662645,29.97809022800118,0.14668560028076172,12.0,1.7572874994189343,90.94364764993746,56.04888495483849,51.75228736334205
1d-r2-B,2,1d,B,True,False,0.0,1170816,63011,13011,23011,49.32275564894771,3.898385549585024,49.276068029995486,40587.65400645509,24.638034014997743,0.14781665802001953,9.0505,1.0180555420923767,53.995732334985654,53.03810067573521,53.333634795459865
1d-r2-F,2,1d,F,False,True,0.1,1170816,63011,13011,23011,46.34437993605893,3.836100031932195,62.57631856899684,31960.972548981033,31.28815928449842,0.14812183380126953,12.0,1.4452283797549363,72.68794620228428,51.525492900916575,50.29512789847774
1d-r2-H,2,1d,H,True,True,0.1,1170816,63011,13011,23011,47.00823494201185,3.850322797894478,50.946226792999596,39257.0780192659,25.473113396499798,0.14781665802001953,9.0505,1.0148717628612498,51.52777942930237,50.772699876907595,50.99826403579142
1d-r3-A,3,1d,A,False,False,0.0,1170816,64011,14011,24011,48.64343857695605,3.884516929586729,58.95243260200505,33925.65686817778,29.476216301002523,0.14668560028076172,12.0,1.9773349040817516,98.6442978188412,55.08800757529135,49.8875014117299
1d-r3-B,3,1d,B,True,False,0.0,1170816,64011,14011,24011,50.30470585630451,3.9180986285209656,50.94008759100166,39261.80920727924,25.47004379550083,0.14781665802001953,9.034,1.019435600406568,52.0955566833404,51.102351794035656,51.38620789897116
1d-r3-F,3,1d,F,False,True,0.1,1170816,64011,14011,24011,47.27720727208612,3.85602830350399,63.603348461999076,31444.885345854625,31.801674230999538,0.14812183380126953,12.0,1.5782343869913948,76.38465555929967,49.80182004843578,48.398803237909775
1d-r3-H,3,1d,H,True,True,0.1,1170816,64011,14011,24011,47.65519569424527,3.8639916628599167,48.855884781999976,40936.72663844299,24.427942390999988,0.14781665802001953,9.034,1.0168736097343773,49.33521808732113,48.51656844571689,48.67233096820174
1d-r4-A,4,1d,A,False,False,0.0,1170816,65011,15011,25011,49.52132743810031,3.9024034341176352,60.188730192999174,33228.8119983071,30.094365096499587,0.14668560028076172,12.0,1.8793216053060051,94.61393474676714,54.749193366105516,50.344727842024355
1d-r4-B,4,1d,B,True,False,0.0,1170816,65011,15011,25011,50.78228932605748,3.927547658483187,50.766993218999914,39395.675677941974,25.383496609499957,0.14781665802001953,8.9765,1.020186746844679,52.36022861448449,51.32416077392565,51.74164529482516
1d-r4-F,4,1d,F,False,True,0.1,1170816,65011,15011,25011,47.95259565641462,3.870212932427725,62.07669173000363,32218.21176777268,31.038345865001816,0.14812183380126953,12.0,1.4861127101262503,72.53240284687328,50.12635197222968,48.80679799899659
1d-r4-H,4,1d,H,True,True,0.1,1170816,65011,15011,25011,48.38611541597049,3.879212900996208,48.12646322000319,41557.178030251016,24.063231610001594,0.14781665802001953,8.9765,1.0169949286669937,49.94935736776404,49.11465727094056,49.38409607732424
2d-r0-A,0,2d,A,False,False,0.0,1173632,61015,11011,21011,47.61286213888017,3.863102937738101,77.24970077899957,25890.067920414556,38.624850389499784,0.4531702995300293,12.0,1.790568968899472,85.12265932053745,51.70243576560531,47.53944740417117
2d-r0-B,0,2d,B,True,False,0.0,1173632,61015,11011,21011,49.07503201739963,3.893350392580032,63.683217006998916,31405.44862518795,31.841608503499458,0.458707332611084,8.952,1.0186501755224908,49.77115384375472,48.859907983843286,49.062587295702684
2d-r0-F,0,2d,F,False,True,0.1,1173632,61015,11011,21011,46.38832864781543,3.837047889828682,81.28830968199736,24603.783838341187,40.64415484099868,0.45737218856811523,12.0,1.466307771413807,67.86518053756448,48.10257161614663,46.28303952322997
2d-r0-H,0,2d,H,True,True,0.1,1173632,61015,11011,21011,46.80656961704887,3.84602356950442,66.57958475599969,30039.23811374888,33.289792377999845,0.458707332611084,8.952,1.0164044218595973,47.422523822283935,46.657140408264304,46.79503298826967
2d-r1-A,1,2d,A,False,False,0.0,1173632,62015,12011,22011,47.6201734900419,3.863256484270096,79.8599826520009,25043.83213699446,39.92999132600045,0.4531702995300293,12.0,1.7897801157204252,89.47564987543724,54.42989656711475,49.99253768076497
2d-r1-B,1,2d,B,True,False,0.0,1173632,62015,12011,22011,49.17057871763331,3.8952954510847726,64.25665646899824,31125.180018741485,32.12832823449912,0.458707332611084,8.9785,1.0163295750300632,52.279272886279436,51.4392911224029,51.697422074162894
2d-r1-F,1,2d,F,False,True,0.1,1173632,62015,12011,22011,46.55603741722624,3.8406566927830377,80.36845983200351,24885.38419400667,40.184229916001755,0.45737218856811523,12.0,1.4499444824876933,70.91839874455444,50.641742990121415,48.91111321923071
2d-r1-H,1,2d,H,True,True,0.1,1173632,62015,12011,22011,47.07939162381694,3.8518353601296735,63.85781843300083,31319.579169438523,31.928909216500415,0.458707332611084,8.9785,1.0132597274824264,50.01701070374429,49.3624777015642,49.54257981767987
2d-r2-A,2,2d,A,False,False,0.0,1173632,63015,13011,23011,47.5980271867091,3.862791314721108,77.34464565700296,25858.28641415355,38.67232282850148,0.4531702995300293,12.0,1.8653514391635726,96.89047133089747,56.31994833980904,51.942207402130805
2d-r2-B,2,2d,B,True,False,0.0,1173632,63015,13011,23011,49.18497371374727,3.895588164528211,66.92629825999757,29883.619025668082,33.46314912999878,0.45874881744384766,9.0505,1.0162855761884815,54.13456331715504,53.26707825588108,53.605827446851826
2d-r2-F,2,2d,F,False,True,0.1,1173632,63015,13011,23011,46.48585345901469,3.839148039619128,81.95745893800472,24402.90396890983,40.97872946900236,0.45737218856811523,12.0,1.4777925015702225,74.81549914248158,52.35748124297312,50.62652507912084
