topology,replicate,metric,effect,ratio
1d,0,final_ppl_2m,core_recipe_H_over_A,0.9791013808353161
1d,0,final_ppl_2m,random_depth_main,1.016902352092739
1d,0,final_ppl_2m,stability_loss_main,0.9628273342276864
1d,0,seconds_per_million_tokens,core_recipe_H_over_A,0.8134773100859586
1d,0,seconds_per_million_tokens,random_depth_main,0.7889351707271074
1d,0,seconds_per_million_tokens,stability_loss_main,1.0311079291042788
1d,0,depth_robustness_ratio_2_to_4,core_recipe_H_over_A,0.5261059692752049
1d,0,depth_robustness_ratio_2_to_4,random_depth_main,0.6047342729258547
1d,0,depth_robustness_ratio_2_to_4,stability_loss_main,0.8699787540232731
1d,1,final_ppl_2m,core_recipe_H_over_A,0.9821983466271192
1d,1,final_ppl_2m,random_depth_main,1.0180516787529608
1d,1,final_ppl_2m,stability_loss_main,0.9647824045928993
1d,1,seconds_per_million_tokens,core_recipe_H_over_A,0.8509396784592442
1d,1,seconds_per_million_tokens,random_depth_main,0.8119415333264649
1d,1,seconds_per_million_tokens,stability_loss_main,1.0480307307017622
1d,1,depth_robustness_ratio_2_to_4,core_recipe_H_over_A,0.4924182396142443
1d,1,depth_robustness_ratio_2_to_4,random_depth_main,0.5833685111293823
1d,1,depth_robustness_ratio_2_to_4,stability_loss_main,0.8440946506710463
1d,2,final_ppl_2m,core_recipe_H_over_A,0.9849562918909659
1d,2,final_ppl_2m,random_depth_main,1.0238435713267566
1d,2,final_ppl_2m,stability_loss_main,0.9620183390071998
1d,2,seconds_per_million_tokens,core_recipe_H_over_A,0.8497243554463157
1d,2,seconds_per_million_tokens,random_depth_main,0.8179976416006874
1d,2,seconds_per_million_tokens,stability_loss_main,1.03878582557224
1d,2,depth_robustness_ratio_2_to_4,core_recipe_H_over_A,0.5775217562276109
1d,2,depth_robustness_ratio_2_to_4,random_depth_main,0.6378251948543128
1d,2,depth_robustness_ratio_2_to_4,stability_loss_main,0.9054545992958527
1d,3,final_ppl_2m,core_recipe_H_over_A,0.979683942755253
1d,3,final_ppl_2m,random_depth_main,1.0209897798029193
1d,3,final_ppl_2m,stability_loss_main,0.9595433393509193
1d,3,seconds_per_million_tokens,core_recipe_H_over_A,0.8287339915526798
1d,3,seconds_per_million_tokens,random_depth_main,0.8146994625406462
1d,3,seconds_per_million_tokens,stability_loss_main,1.0172266334486915
1d,3,depth_robustness_ratio_2_to_4,core_recipe_H_over_A,0.514264734636139
1d,3,depth_robustness_ratio_2_to_4,random_depth_main,0.5763516210700703
1d,3,depth_robustness_ratio_2_to_4,stability_loss_main,0.8922760270567833
1d,4,final_ppl_2m,core_recipe_H_over_A,0.9770763006393802
1d,4,final_ppl_2m,random_depth_main,1.0172186575529978
1d,4,final_ppl_2m,stability_loss_main,0.9605371405493257
1d,4,seconds_per_million_tokens,core_recipe_H_over_A,0.7995925992404638
1d,4,seconds_per_million_tokens,random_depth_main,0.8086504303887251
1d,4,seconds_per_million_tokens,stability_loss_main,0.9887988297441369
1d,4,depth_robustness_ratio_2_to_4,core_recipe_H_over_A,0.5411500223248905
1d,4,depth_robustness_ratio_2_to_4,random_depth_main,0.6094987296195837
1d,4,depth_robustness_ratio_2_to_4,stability_loss_main,0.8878607879341228
2d,0,final_ppl_2m,core_recipe_H_over_A,0.9830656573536904
2d,0,final_ppl_2m,random_depth_main,1.019805137377731
2d,0,final_ppl_2m,stability_loss_main,0.9639740194695329
2d,0,seconds_per_million_tokens,core_recipe_H_over_A,0.8618749857229148
2d,0,seconds_per_million_tokens,random_depth_main,0.8217138152806207
2d,0,seconds_per_million_tokens,stability_loss_main,1.0488748876986802
2d,0,depth_robustness_ratio_2_to_4,core_recipe_H_over_A,0.5676432684323267
2d,0,depth_robustness_ratio_2_to_4,random_depth_main,0.6279682841252302
2d,0,depth_robustness_ratio_2_to_4,stability_loss_main,0.9039362063054869
2d,1,final_ppl_2m,core_recipe_H_over_A,0.98864384930605
2d,1,final_ppl_2m,random_depth_main,1.0218439783663065
2d,1,final_ppl_2m,stability_loss_main,0.9675095907368013
2d,1,seconds_per_million_tokens,core_recipe_H_over_A,0.7996222427353716
2d,1,seconds_per_million_tokens,random_depth_main,0.7995740157266777
2d,1,seconds_per_million_tokens,stability_loss_main,1.0000603158778867
2d,1,depth_robustness_ratio_2_to_4,core_recipe_H_over_A,0.5661364312758428
2d,1,depth_robustness_ratio_2_to_4,random_depth_main,0.6299442939858172
2d,1,depth_robustness_ratio_2_to_4,stability_loss_main,0.8987087218359486
2d,2,final_ppl_2m,core_recipe_H_over_A,0.9901856135321974
2d,2,final_ppl_2m,random_depth_main,1.0235619275432961
2d,2,final_ppl_2m,stability_loss_main,0.9673919934759521
2d,2,seconds_per_million_tokens,core_recipe_H_over_A,0.8623332475112258
2d,2,seconds_per_million_tokens,random_depth_main,0.8391541085771103
2d,2,seconds_per_million_tokens,stability_loss_main,1.0276220287754039
2d,2,depth_robustness_ratio_2_to_4,core_recipe_H_over_A,0.5433534468090551
2d,2,depth_robustness_ratio_2_to_4,random_depth_main,0.6112830657890836
2d,2,depth_robustness_ratio_2_to_4,stability_loss_main,0.8888737104268697
2d,3,final_ppl_2m,core_recipe_H_over_A,0.9787368460598691
2d,3,final_ppl_2m,random_depth_main,1.021065015474902
2d,3,final_ppl_2m,stability_loss_main,0.9585450791345094
2d,3,seconds_per_million_tokens,core_recipe_H_over_A,0.8278271228729633
2d,3,seconds_per_million_tokens,random_depth_main,0.8078241287295856
2d,3,seconds_per_million_tokens,stability_loss_main,1.0247615705349569
2d,3,depth_robustness_ratio_2_to_4,core_recipe_H_over_A,0.5408817697847524
2d,3,depth_robustness_ratio_2_to_4,random_depth_main,0.6041571620994554
2d,3,depth_robustness_ratio_2_to_4,stability_loss_main,0.8952666685356838
2d,4,final_ppl_2m,core_recipe_H_over_A,0.9819168216161467
2d,4,final_ppl_2m,random_depth_main,1.0202640999196653
2d,4,final_ppl_2m,stability_loss_main,0.9624143608438854
2d,4,seconds_per_million_tokens,core_recipe_H_over_A,0.7887113038903745
2d,4,seconds_per_million_tokens,random_depth_main,0.7925767319785372
2d,4,seconds_per_million_tokens,stability_loss_main,0.9951229604249003
2d,4,depth_robustness_ratio_2_to_4,core_recipe_H_over_A,0.5825071223303564
2d,4,depth_robustness_ratio_2_to_4,random_depth_main,0.6262453242518286
2d,4,depth_robustness_ratio_2_to_4,stability_loss_main,0.9301580383474705
