run,replicate,variant,step,consumed_tokens,train_loss,main_loss,stability_loss,balance_loss,grad_norm,learning_rate,validation_mean_nll,validation_mean_token_accuracy,training_elapsed_seconds,seconds_per_million_tokens,avg_recurrent_iterations
r0-A,0,A,250,240000,1.7142571210861206,1.703099489212036,0.1115767583250999,0.0,3.028625726699829,0.0002683710764094,1.708155718258449,0.2471666666666666,14.70548645800008,61.27286024166701,8.868
r0-A,0,A,500,480000,1.4531885385513306,1.4437980651855469,0.0939052328467369,0.0,2.348855972290039,0.0001623869018208,1.4448632273674014,0.3456666666666667,26.6391983809998,55.49832996041626,8.956
r0-A,0,A,1000,960000,1.0358164310455322,1.0246102809906006,0.1120611354708671,0.0,2.952942132949829,0.0,1.038864130667278,0.5854999999999999,50.94315641999998,53.065787937499984,8.99
r0-B,0,B,250,240000,1.73438823223114,1.7244442701339722,0.0994383320212364,1.2421403880580328e-05,2.7734146118164062,0.0002683710764094,1.7530805689266749,0.2266666666666666,15.454013724000106,64.39172385000045,8.868
r0-B,0,B,500,480000,1.4613981246948242,1.453682541847229,0.0771547704935073,6.192428372742143e-06,3.053232192993164,0.0001623869018208,1.4500460406712123,0.3511666666666667,29.379102757,61.20646407708333,8.956
r0-B,0,B,1000,960000,1.0501132011413574,1.0407655239105225,0.0934770256280899,5.895198228245135e-06,3.0004165172576904,0.0,1.049059429168701,0.5814999999999999,57.041109968999535,59.41782288437452,8.99
r0-C,0,C,250,240000,1.81793224811554,1.8063784837722776,0.1155317947268486,6.08918780926615e-05,4.078238487243652,0.0002683710764094,1.8033953978674755,0.2081666666666666,18.56674022699997,77.36141761249988,8.868
r0-C,0,C,500,480000,1.5191259384155271,1.5109052658081057,0.0821823254227638,0.0002406568819424,3.886538982391357,0.0001623869018208,1.5111506138529098,0.3066666666666666,35.93410233699933,74.86271320208195,8.956
r0-C,0,C,1000,960000,1.2703919410705566,1.2596435546875,0.1074364185333252,0.0004822245100513,2.453517198562622,0.0,1.2573137999262127,0.4836666666666666,70.34142909399952,73.27232197291617,8.99
r1-A,1,A,250,240000,1.698412299156189,1.6876087188720703,0.1080361157655716,0.0,3.617060661315918,0.0002683710764094,1.6858673206056871,0.2631666666666666,15.058978185000116,62.74574243750048,9.004
r1-A,1,A,500,480000,1.4429377317428589,1.4318252801895142,0.1111251041293144,0.0,3.385515689849853,0.0001623869018208,1.3728191744259426,0.4186666666666666,27.03754048900004,56.32820935208341,8.984
r1-A,1,A,1000,960000,0.9998598098754884,0.9882298111915588,0.1162998527288436,0.0,2.0782253742218018,0.0,0.956147181885583,0.63,51.54770547099975,53.6955265322914,8.971
r1-B,1,B,250,240000,1.7196674346923828,1.7103118896484375,0.0935277268290519,0.0002796751796267,2.6261532306671143,0.0002683710764094,1.7028593225479127,0.2553333333333333,15.83788760400023,65.99119835000096,9.004
r1-B,1,B,500,480000,1.4684369564056396,1.4595199823379517,0.0891410559415817,0.0002895792131312,1.5981941223144531,0.0001623869018208,1.448327070917402,0.3576666666666666,29.9438798559998,62.38308303333291,8.984
r1-B,1,B,1000,960000,1.0883090496063232,1.079171895980835,0.0913603752851486,0.0001037092442857,2.131437301635742,0.0,1.0552041518688202,0.5704999999999999,57.890293853999935,60.302389431249935,8.971
r1-C,1,C,250,240000,1.823109984397888,1.812211275100708,0.10898457467556,2.8025748179061335e-05,2.844588279724121,0.0002683710764094,1.8123737739835464,0.207,19.037016886999425,79.32090369583094,9.004
r1-C,1,C,500,480000,1.55805242061615,1.5487263202667236,0.0931935533881187,0.0006786842714063,3.4948787689208984,0.0001623869018208,1.5376427771704535,0.3118333333333333,36.556781640999816,76.15996175208295,8.984
r1-C,1,C,1000,960000,1.459296941757202,1.4509220123291016,0.0836586952209472,0.0009113822015933,2.117741346359253,0.0,1.421364889894213,0.3429999999999999,71.14149135400015,74.10572016041682,8.971
r2-A,2,A,250,240000,1.6676175594329834,1.655441164970398,0.1217645332217216,0.0,3.9167113304138175,0.0002683710764094,1.7108823551450456,0.2478333333333333,13.456662410999911,56.069426712499634,8.92
