replicate,variant,baseline,metric,ratio
0,B,A,mean_nll,1.0098138901906974
0,B,A,seconds_per_million_tokens,1.1197011331360207
0,C,A,mean_nll,1.2102774201267508
0,C,A,seconds_per_million_tokens,1.3807827005078133
1,B,A,mean_nll,1.1036001275325527
1,B,A,seconds_per_million_tokens,1.1230430787373935
1,C,A,mean_nll,1.4865544937246913
1,C,A,seconds_per_million_tokens,1.380109758600675
2,B,A,mean_nll,1.0746328336649336
2,B,A,seconds_per_million_tokens,1.114511512549603
2,C,A,mean_nll,1.7801960545780884
2,C,A,seconds_per_million_tokens,1.3880630016445248
