run,task,source,receiver,mean_edge_usage
r0-C,REVERSE,0,2,0.0052380957081913
r0-C,REVERSE,0,3,0.0047619051672518
r0-C,REVERSE,0,4,0.0797619108669459
r0-C,REVERSE,0,5,0.0064285719953477
r0-C,REVERSE,0,7,0.001904762070626
r0-C,REVERSE,1,4,0.0134523821249604
r0-C,REVERSE,1,5,0.0410714314877986
r0-C,REVERSE,1,6,0.0008333334140479
r0-C,REVERSE,1,7,0.0038095241226255
r0-C,REVERSE,2,0,0.0534523847140371
r0-C,REVERSE,2,4,0.0535714324750006
r0-C,REVERSE,2,5,0.0067857148125767
r0-C,REVERSE,2,6,0.0610714331082999
r0-C,REVERSE,3,0,0.0579761944338679
r0-C,REVERSE,3,1,0.2594047817587852
r0-C,REVERSE,3,5,0.3090476408600807
r0-C,REVERSE,3,6,0.1095238180458545
r0-C,REVERSE,3,7,0.0508333367668092
r0-C,REVERSE,4,0,0.5504762265086174
r0-C,REVERSE,4,1,0.0265476212650537
r0-C,REVERSE,4,2,0.054523813650012
r0-C,REVERSE,4,6,0.0247619065642356
r0-C,REVERSE,4,7,0.0050000004470348
r0-C,REVERSE,5,0,0.0788095289841294
r0-C,REVERSE,5,1,0.2270238274335861
r0-C,REVERSE,5,3,0.0364285744167864
r0-C,REVERSE,5,7,0.0819047684222459
r0-C,REVERSE,6,0,0.0605952423438429
r0-C,REVERSE,6,1,0.0222619066014885
r0-C,REVERSE,6,2,0.0921428648754954
r0-C,REVERSE,6,3,0.051785717792809
r0-C,REVERSE,6,4,0.080833338946104
r0-C,REVERSE,7,0,0.1986904882639646
r0-C,REVERSE,7,1,0.0319047643058002
r0-C,REVERSE,7,2,0.1177381010353565
r0-C,REVERSE,7,3,0.0994047686457633
r0-C,REVERSE,7,4,0.0117857153713703
r0-C,REVERSE,7,5,0.0284523830749094
r0-C,ROTATE,0,2,0.0039285717904567
r0-C,ROTATE,0,3,0.0047619052045047
r0-C,ROTATE,0,4,0.081190482545644
r0-C,ROTATE,0,5,0.0072619053535163
r0-C,ROTATE,0,7,0.002738095447421
r0-C,ROTATE,1,3,0.0002380952611565
r0-C,ROTATE,1,4,0.0145238106697797
r0-C,ROTATE,1,5,0.0428571460023522
r0-C,ROTATE,1,6,0.0014285715669393
r0-C,ROTATE,1,7,0.0039285717718303
r0-C,ROTATE,2,0,0.0632142905890941
r0-C,ROTATE,2,4,0.0558333373069763
r0-C,ROTATE,2,5,0.0073809529654681
r0-C,ROTATE,2,6,0.0600000045634806
r0-C,ROTATE,3,0,0.0683333382010459
r0-C,ROTATE,3,1,0.2721428772807121
r0-C,ROTATE,3,5,0.2992857360839844
r0-C,ROTATE,3,6,0.1079761990904808
r0-C,ROTATE,3,7,0.0541666701249778
r0-C,ROTATE,4,0,0.5278571838140488
r0-C,ROTATE,4,1,0.0216666683554649
r0-C,ROTATE,4,2,0.0553571467287838
r0-C,ROTATE,4,6,0.0291666689701378
r0-C,ROTATE,4,7,0.0027380954846739
r0-C,ROTATE,5,0,0.0819047673977911
r0-C,ROTATE,5,1,0.2317857322841882
r0-C,ROTATE,5,2,0.0001190476305782
r0-C,ROTATE,5,3,0.0339285740628838
r0-C,ROTATE,5,7,0.079523815177381
r0-C,ROTATE,6,0,0.055119051542133
r0-C,ROTATE,6,1,0.0201190492138266
r0-C,ROTATE,6,2,0.0861904841661453
r0-C,ROTATE,6,3,0.0542857180163264
r0-C,ROTATE,6,4,0.0758333387598395
r0-C,ROTATE,7,0,0.2035714417695999
r0-C,ROTATE,7,1,0.0267857162468135
r0-C,ROTATE,7,2,0.1192857214808464
r0-C,ROTATE,7,3,0.1017857220768928
r0-C,ROTATE,7,4,0.0121428582631051
r0-C,ROTATE,7,5,0.0296428594924509
r0-C,INC,0,2,0.0023809526115655
r0-C,INC,0,4,0.0638095282763242
r0-C,INC,0,5,0.0065476196445524
r0-C,INC,1,3,0.0001190476305782
r0-C,INC,1,4,0.020357144549489
r0-C,INC,1,5,0.043452384378761
r0-C,INC,1,7,0.0030952383950352
r0-C,INC,2,0,0.0234523826092481
r0-C,INC,2,4,0.0591666708327829
r0-C,INC,2,5,0.0079761911183595
r0-C,INC,2,6,0.0550000041164457
r0-C,INC,3,0,0.0550000037439167
r0-C,INC,3,1,0.2660714477300644
r0-C,INC,3,5,0.3111904998123646
r0-C,INC,3,6,0.1092857229709625
r0-C,INC,3,7,0.0522619082778692
r0-C,INC,4,0,0.2839285954087973
r0-C,INC,4,1,0.0220238112099468
r0-C,INC,4,2,0.0547619084641337
r0-C,INC,4,6,0.0264285735040903
r0-C,INC,4,7,0.004166666958481
r0-C,INC,5,0,0.2551190691813826
r0-C,INC,5,1,0.2282143025100231
r0-C,INC,5,3,0.03666666964069
r0-C,INC,5,7,0.0852381013892591
r0-C,INC,6,0,0.0670238143019378
r0-C,INC,6,1,0.0267857161164283
r0-C,INC,6,2,0.0839285786636173
r0-C,INC,6,3,0.0542857182770967
r0-C,INC,6,4,0.087261911407113
r0-C,INC,7,0,0.3154762182384729
r0-C,INC,7,1,0.034047621525824
r0-C,INC,7,2,0.1166666734218597
r0-C,INC,7,3,0.0988095311075449
r0-C,INC,7,4,0.0119047630392014
r0-C,INC,7,5,0.0280952401831746
r0-C,SWAP,0,2,0.0050000004470348
r0-C,SWAP,0,3,0.0077380959130823
r0-C,SWAP,0,4,0.0829761969856917
r0-C,SWAP,0,5,0.0075000006519258
r0-C,SWAP,0,7,0.0026190478540956
r0-C,SWAP,1,3,0.0004761905223131
r0-C,SWAP,1,4,0.0130952392891049
r0-C,SWAP,1,5,0.040119050592184
r0-C,SWAP,1,6,0.0007142857834696
r0-C,SWAP,1,7,0.0039285717904567
r0-C,SWAP,2,0,0.053214289471507
r0-C,SWAP,2,4,0.0580952427722513
r0-C,SWAP,2,5,0.0069047624990344
r0-C,SWAP,2,6,0.0597619084641337
r0-C,SWAP,3,0,0.0696428614854812
r0-C,SWAP,3,1,0.2709524022042751
r0-C,SWAP,3,5,0.2954762111604214
r0-C,SWAP,3,6,0.1135714364796876
r0-C,SWAP,3,7,0.0563095277175307
r0-C,SWAP,4,0,0.5338095650076866
r0-C,SWAP,4,1,0.0228571446239948
r0-C,SWAP,4,2,0.0486904798448085
r0-C,SWAP,4,6,0.0239285733737051
r0-C,SWAP,4,7,0.0055952385626733
r0-C,SWAP,5,0,0.0815476244501769
r0-C,SWAP,5,1,0.2248809683322906
r0-C,SWAP,5,3,0.0322619073651731
r0-C,SWAP,5,7,0.0810714345611631
r0-C,SWAP,6,0,0.0541666703298687
r0-C,SWAP,6,1,0.0209523825719952
r0-C,SWAP,6,2,0.0926190561801195
r0-C,SWAP,6,3,0.0588095276430249
r0-C,SWAP,6,4,0.0784523870050907
r0-C,SWAP,7,0,0.207619062513113
r0-C,SWAP,7,1,0.0253571448661386
r0-C,SWAP,7,2,0.1146428635716438
r0-C,SWAP,7,3,0.104523817077279
r0-C,SWAP,7,4,0.0105952391214668
r0-C,SWAP,7,5,0.0295238116383552
r0-C,REVERSE_ROTATE,0,2,0.0052380956150591
r0-C,REVERSE_ROTATE,0,3,0.0042857146076858
r0-C,REVERSE_ROTATE,0,4,0.0725000056438148
r0-C,REVERSE_ROTATE,0,5,0.0085714293271303
r0-C,REVERSE_ROTATE,0,7,0.001904762070626
r0-C,REVERSE_ROTATE,1,3,0.0003571428917348
r0-C,REVERSE_ROTATE,1,4,0.0133333344571292
r0-C,REVERSE_ROTATE,1,5,0.0383333362452685
r0-C,REVERSE_ROTATE,1,6,0.0004761905223131
r0-C,REVERSE_ROTATE,1,7,0.0019047620892524
r0-C,REVERSE_ROTATE,2,0,0.0645238138921558
r0-C,REVERSE_ROTATE,2,4,0.0613095281273126
r0-C,REVERSE_ROTATE,2,5,0.0078571435250341
r0-C,REVERSE_ROTATE,2,6,0.0600000043213367
r0-C,REVERSE_ROTATE,3,0,0.0616666714474558
r0-C,REVERSE_ROTATE,3,1,0.2616666866838932
r0-C,REVERSE_ROTATE,3,5,0.3022619257867336
r0-C,REVERSE_ROTATE,3,6,0.1105952470749616
r0-C,REVERSE_ROTATE,3,7,0.049642860237509
r0-C,REVERSE_ROTATE,4,0,0.5234524226188659
r0-C,REVERSE_ROTATE,4,1,0.0247619066387414
r0-C,REVERSE_ROTATE,4,2,0.0454761937446892
r0-C,REVERSE_ROTATE,4,6,0.0272619069181382
r0-C,REVERSE_ROTATE,4,7,0.0052380956895649
r0-C,REVERSE_ROTATE,5,0,0.0846428630128502
r0-C,REVERSE_ROTATE,5,1,0.2470238277316093
r0-C,REVERSE_ROTATE,5,2,0.0002380952611565
r0-C,REVERSE_ROTATE,5,3,0.0376190504617989
r0-C,REVERSE_ROTATE,5,7,0.0765476248040795
r0-C,REVERSE_ROTATE,6,0,0.0592857187800109
r0-C,REVERSE_ROTATE,6,1,0.0203571444004774
r0-C,REVERSE_ROTATE,6,2,0.0892857225239276
r0-C,REVERSE_ROTATE,6,3,0.0503571464121341
r0-C,REVERSE_ROTATE,6,4,0.0829761970415711
r0-C,REVERSE_ROTATE,7,0,0.2064285865426063
r0-C,REVERSE_ROTATE,7,1,0.0270238115638494
r0-C,REVERSE_ROTATE,7,2,0.1192857207357883
r0-C,REVERSE_ROTATE,7,3,0.1034523893892765
r0-C,REVERSE_ROTATE,7,4,0.0119047630392014
r0-C,REVERSE_ROTATE,7,5,0.0309523833915591
r0-C,REVERSE_INC,0,2,0.0034523812681436
r0-C,REVERSE_INC,0,4,0.0628571473248302
r0-C,REVERSE_INC,0,5,0.0069047623872756
r0-C,REVERSE_INC,0,7,0.0001190476305782
r0-C,REVERSE_INC,1,3,0.0002380952611565
r0-C,REVERSE_INC,1,4,0.0238095254823565
r0-C,REVERSE_INC,1,5,0.0446428606659174
r0-C,REVERSE_INC,1,7,0.003809524141252
r0-C,REVERSE_INC,2,0,0.027142859250307
r0-C,REVERSE_INC,2,4,0.0667857191525399
r0-C,REVERSE_INC,2,5,0.0096428579650819
r0-C,REVERSE_INC,2,6,0.0547619084082543
r0-C,REVERSE_INC,3,0,0.0632142896018922
r0-C,REVERSE_INC,3,1,0.2594047817587852
r0-C,REVERSE_INC,3,5,0.3048809731006622
r0-C,REVERSE_INC,3,6,0.1084523886442184
r0-C,REVERSE_INC,3,7,0.0539285751618444
r0-C,REVERSE_INC,4,0,0.2780952602624893
r0-C,REVERSE_INC,4,1,0.0317857167124748
r0-C,REVERSE_INC,4,2,0.0561904801987111
r0-C,REVERSE_INC,4,6,0.0296428596414625
r0-C,REVERSE_INC,4,7,0.0058333338424563
r0-C,REVERSE_INC,5,0,0.2567857339419424
r0-C,REVERSE_INC,5,1,0.227380970492959
r0-C,REVERSE_INC,5,2,0.0001190476305782
r0-C,REVERSE_INC,5,3,0.03630952661857
r0-C,REVERSE_INC,5,7,0.0860714353248476
r0-C,REVERSE_INC,6,0,0.0648809569515287
r0-C,REVERSE_INC,6,1,0.0207142871990799
r0-C,REVERSE_INC,6,2,0.0820238156616687
r0-C,REVERSE_INC,6,3,0.0541666703298687
r0-C,REVERSE_INC,6,4,0.0857142917439341
r0-C,REVERSE_INC,7,0,0.3098809795081615
r0-C,REVERSE_INC,7,1,0.0345238118991255
r0-C,REVERSE_INC,7,2,0.1109523872286081
r0-C,REVERSE_INC,7,3,0.0982142934203147
r0-C,REVERSE_INC,7,4,0.0114285724796354
r0-C,REVERSE_INC,7,5,0.0252380971424281
r0-C,REVERSE_SWAP,0,2,0.0039285717345774
r0-C,REVERSE_SWAP,0,3,0.004166666958481
r0-C,REVERSE_SWAP,0,4,0.0785714343562722
r0-C,REVERSE_SWAP,0,5,0.0064285719953477
r0-C,REVERSE_SWAP,0,7,0.0013095239177346
r0-C,REVERSE_SWAP,1,3,0.0001190476305782
r0-C,REVERSE_SWAP,1,4,0.0138095249049365
r0-C,REVERSE_SWAP,1,5,0.0377380979061126
r0-C,REVERSE_SWAP,1,6,0.0008333334140479
r0-C,REVERSE_SWAP,1,7,0.0047619051299989
r0-C,REVERSE_SWAP,2,0,0.0479761938564479
r0-C,REVERSE_SWAP,2,4,0.0569047662243247
r0-C,REVERSE_SWAP,2,5,0.0078571434877812
r0-C,REVERSE_SWAP,2,6,0.0598809562437236
r0-C,REVERSE_SWAP,3,0,0.0503571465983986
r0-C,REVERSE_SWAP,3,1,0.2684523996710777
r0-C,REVERSE_SWAP,3,5,0.3059524035453796
r0-C,REVERSE_SWAP,3,6,0.1108333413302898
r0-C,REVERSE_SWAP,3,7,0.0496428607963025
r0-C,REVERSE_SWAP,4,0,0.5586905202269554
r0-C,REVERSE_SWAP,4,1,0.0246428588964045
r0-C,REVERSE_SWAP,4,2,0.0542857183143496
r0-C,REVERSE_SWAP,4,6,0.0278571450337767
r0-C,REVERSE_SWAP,4,7,0.0027380955033004
r0-C,REVERSE_SWAP,5,0,0.0750000055134296
r0-C,REVERSE_SWAP,5,1,0.2284523969143629
r0-C,REVERSE_SWAP,5,2,0.0002380952611565
r0-C,REVERSE_SWAP,5,3,0.0385714316740632
r0-C,REVERSE_SWAP,5,7,0.0758333391696214
