run,replicate,variant,task_id,task,nll,ppl,token_accuracy,exact_match,examples
r0-A,0,A,0,REVERSE,1.029020392213549,2.798323232353676,0.575,0.02,100
r0-A,0,A,1,ROTATE,0.8360345309121268,2.3071996834605657,0.665,0.05,100
r0-A,0,A,2,INC,1.216770361491612,3.376265987820431,0.515,0.01,100
r0-A,0,A,3,SWAP,0.8882117690358843,2.430778968218267,0.675,0.02,100
r0-A,0,A,4,REVERSE_ROTATE,1.1815410120146614,3.25939309873272,0.4983333333333333,0.0,100
r0-A,0,A,5,REVERSE_INC,1.1135405690329416,3.045120791063189,0.535,0.0,100
r0-A,0,A,6,REVERSE_SWAP,1.173553089414324,3.2334610285078345,0.5083333333333333,0.0,100
r0-A,0,A,7,ROTATE_INC,0.9293774339130948,2.5329317692283526,0.6383333333333333,0.03,100
r0-A,0,A,8,ROTATE_SWAP,1.154459835461208,3.172309385603464,0.5416666666666666,0.01,100
r0-A,0,A,9,INC_SWAP,0.8661323131833758,2.377696859790699,0.7033333333333334,0.08,100
r0-B,0,B,0,REVERSE,1.043998349734715,2.840551858685607,0.5633333333333334,0.02,100
r0-B,0,B,1,ROTATE,0.8717199155262538,2.391019670957625,0.6533333333333333,0.03,100
r0-B,0,B,2,INC,1.2164918490818568,3.3753257867790945,0.505,0.01,100
r0-B,0,B,3,SWAP,0.8791032402856009,2.408738677791566,0.6983333333333334,0.05,100
r0-B,0,B,4,REVERSE_ROTATE,1.2421648338862827,3.463102397111606,0.47,0.0,100
r0-B,0,B,5,REVERSE_INC,1.1155285501480103,3.051180454941919,0.5383333333333333,0.01,100
r0-B,0,B,6,REVERSE_SWAP,1.2005601508276804,3.321977209950884,0.4883333333333333,0.0,100
r0-B,0,B,7,ROTATE_INC,0.9209753199986048,2.511738944904125,0.6483333333333333,0.02,100
r0-B,0,B,8,ROTATE_SWAP,1.175959162712097,3.241250339817076,0.5083333333333333,0.02,100
r0-B,0,B,9,INC_SWAP,0.8240929194859096,2.2798118542279258,0.7416666666666667,0.15,100
r0-C,0,C,0,REVERSE,1.2596923998423986,3.5243372339270707,0.4883333333333333,0.01,100
r0-C,0,C,1,ROTATE,1.1123122351510184,3.041382662326077,0.525,0.0,100
