run,task,row,mean_activity
r0-A,REVERSE,0,1.0
r0-A,REVERSE,1,1.0
r0-A,REVERSE,2,1.0
r0-A,REVERSE,3,1.0
r0-A,REVERSE,4,1.0
r0-A,REVERSE,5,1.0
r0-A,REVERSE,6,1.0
r0-A,REVERSE,7,1.0
r0-A,ROTATE,0,1.0
r0-A,ROTATE,1,1.0
r0-A,ROTATE,2,1.0
r0-A,ROTATE,3,1.0
r0-A,ROTATE,4,1.0
r0-A,ROTATE,5,1.0
r0-A,ROTATE,6,1.0
r0-A,ROTATE,7,1.0
r0-A,INC,0,1.0
r0-A,INC,1,1.0
r0-A,INC,2,1.0
r0-A,INC,3,1.0
r0-A,INC,4,1.0
r0-A,INC,5,1.0
r0-A,INC,6,1.0
r0-A,INC,7,1.0
r0-A,SWAP,0,1.0
r0-A,SWAP,1,1.0
r0-A,SWAP,2,1.0
r0-A,SWAP,3,1.0
r0-A,SWAP,4,1.0
r0-A,SWAP,5,1.0
r0-A,SWAP,6,1.0
r0-A,SWAP,7,1.0
r0-A,REVERSE_ROTATE,0,1.0
r0-A,REVERSE_ROTATE,1,1.0
r0-A,REVERSE_ROTATE,2,1.0
r0-A,REVERSE_ROTATE,3,1.0
r0-A,REVERSE_ROTATE,4,1.0
r0-A,REVERSE_ROTATE,5,1.0
r0-A,REVERSE_ROTATE,6,1.0
r0-A,REVERSE_ROTATE,7,1.0
r0-A,REVERSE_INC,0,1.0
r0-A,REVERSE_INC,1,1.0
r0-A,REVERSE_INC,2,1.0
r0-A,REVERSE_INC,3,1.0
r0-A,REVERSE_INC,4,1.0
r0-A,REVERSE_INC,5,1.0
r0-A,REVERSE_INC,6,1.0
r0-A,REVERSE_INC,7,1.0
r0-A,REVERSE_SWAP,0,1.0
r0-A,REVERSE_SWAP,1,1.0
r0-A,REVERSE_SWAP,2,1.0
r0-A,REVERSE_SWAP,3,1.0
r0-A,REVERSE_SWAP,4,1.0
r0-A,REVERSE_SWAP,5,1.0
r0-A,REVERSE_SWAP,6,1.0
r0-A,REVERSE_SWAP,7,1.0
r0-A,ROTATE_INC,0,1.0
r0-A,ROTATE_INC,1,1.0
r0-A,ROTATE_INC,2,1.0
r0-A,ROTATE_INC,3,1.0
r0-A,ROTATE_INC,4,1.0
r0-A,ROTATE_INC,5,1.0
r0-A,ROTATE_INC,6,1.0
r0-A,ROTATE_INC,7,1.0
r0-A,ROTATE_SWAP,0,1.0
r0-A,ROTATE_SWAP,1,1.0
r0-A,ROTATE_SWAP,2,1.0
r0-A,ROTATE_SWAP,3,1.0
r0-A,ROTATE_SWAP,4,1.0
r0-A,ROTATE_SWAP,5,1.0
r0-A,ROTATE_SWAP,6,1.0
r0-A,ROTATE_SWAP,7,1.0
r0-A,INC_SWAP,0,1.0
r0-A,INC_SWAP,1,1.0
r0-A,INC_SWAP,2,1.0
r0-A,INC_SWAP,3,1.0
r0-A,INC_SWAP,4,1.0
r0-A,INC_SWAP,5,1.0
r0-A,INC_SWAP,6,1.0
r0-A,INC_SWAP,7,1.0
r0-B,REVERSE,0,1.0
r0-B,REVERSE,1,0.3321428817510605
r0-B,REVERSE,2,0.1889285857230425
r0-B,REVERSE,3,0.2979762113094329
r0-B,REVERSE,4,0.2247619213163852
r0-B,REVERSE,5,0.3394047902524471
r0-B,REVERSE,6,0.338690502345562
r0-B,REVERSE,7,0.2780952602624893
r0-B,ROTATE,0,1.0
r0-B,ROTATE,1,0.3402381221950054
r0-B,ROTATE,2,0.1946428708732128
r0-B,ROTATE,3,0.2867857356369495
r0-B,ROTATE,4,0.2232143008708954
r0-B,ROTATE,5,0.3403571741282939
r0-B,ROTATE,6,0.3329762148857116
r0-B,ROTATE,7,0.2817857368290424
r0-B,INC,0,1.0
r0-B,INC,1,0.3305952639877796
r0-B,INC,2,0.1922619191557169
r0-B,INC,3,0.2808333545923233
r0-B,INC,4,0.2245238246023655
r0-B,INC,5,0.3515476493537426
r0-B,INC,6,0.3382143139839172
r0-B,INC,7,0.2820238322019577
r0-B,SWAP,0,1.0
r0-B,SWAP,1,0.3402381238341331
r0-B,SWAP,2,0.1963095393031835
r0-B,SWAP,3,0.2940476410090923
r0-B,SWAP,4,0.2230952531099319
r0-B,SWAP,5,0.3364286032319069
r0-B,SWAP,6,0.3316666924953461
r0-B,SWAP,7,0.2782143084704876
r0-B,REVERSE_ROTATE,0,1.0
r0-B,REVERSE_ROTATE,1,0.3294047860056162
r0-B,REVERSE_ROTATE,2,0.1967857284843921
r0-B,REVERSE_ROTATE,3,0.2907143065333366
r0-B,REVERSE_ROTATE,4,0.2278571577370166
r0-B,REVERSE_ROTATE,5,0.345595266520977
r0-B,REVERSE_ROTATE,6,0.3310714584589004
r0-B,REVERSE_ROTATE,7,0.2785714519023895
r0-B,REVERSE_INC,0,1.0
r0-B,REVERSE_INC,1,0.3379762171208858
r0-B,REVERSE_INC,2,0.1850000143051147
r0-B,REVERSE_INC,3,0.3072619248926639
r0-B,REVERSE_INC,4,0.2109523957967758
r0-B,REVERSE_INC,5,0.3396428869664669
r0-B,REVERSE_INC,6,0.3339285975694656
r0-B,REVERSE_INC,7,0.2852381180226803
r0-B,REVERSE_SWAP,0,1.0
r0-B,REVERSE_SWAP,1,0.3294047847390174
r0-B,REVERSE_SWAP,2,0.2017857286334037
r0-B,REVERSE_SWAP,3,0.2967857348918915
r0-B,REVERSE_SWAP,4,0.2271428745985031
r0-B,REVERSE_SWAP,5,0.3413095556199551
r0-B,REVERSE_SWAP,6,0.3313095492124557
r0-B,REVERSE_SWAP,7,0.2722619260847568
r0-B,ROTATE_INC,0,1.0
r0-B,ROTATE_INC,1,0.3198809775710106
r0-B,ROTATE_INC,2,0.1879762040823698
r0-B,ROTATE_INC,3,0.2925000172853469
r0-B,ROTATE_INC,4,0.2278571589291095
r0-B,ROTATE_INC,5,0.3494047930836677
r0-B,ROTATE_INC,6,0.3351190736889839
r0-B,ROTATE_INC,7,0.287261925637722
r0-B,ROTATE_SWAP,0,1.0
r0-B,ROTATE_SWAP,1,0.3239285948872566
r0-B,ROTATE_SWAP,2,0.2108333477377891
r0-B,ROTATE_SWAP,3,0.2890476369857788
r0-B,ROTATE_SWAP,4,0.2271428729593753
r0-B,ROTATE_SWAP,5,0.3425000298023224
r0-B,ROTATE_SWAP,6,0.3326190760731697
r0-B,ROTATE_SWAP,7,0.2739285960793495
r0-B,INC_SWAP,0,1.0
r0-B,INC_SWAP,1,0.32940478682518
r0-B,INC_SWAP,2,0.1876190606504678
r0-B,INC_SWAP,3,0.2903571626543998
r0-B,INC_SWAP,4,0.2259523978829384
r0-B,INC_SWAP,5,0.3459524103999138
r0-B,INC_SWAP,6,0.3410714542865753
r0-B,INC_SWAP,7,0.279642879217863
r0-C,REVERSE,0,1.0
r0-C,REVERSE,1,0.5671429014205933
r0-C,REVERSE,2,0.2696428741514682
