run,row,task,baseline_nll,ablated_nll,delta_nll
r0-D,1,REVERSE,1.0451308175495693,1.5015806790760586,0.4564498615264893
r0-D,1,ROTATE,0.9523684923989432,1.4306219918387275,0.4782534994397845
r0-D,1,INC,1.3447809042249408,1.7962522711072648,0.451471366882324
r0-D,1,SWAP,1.0391920621054511,1.4278412178584508,0.3886491557529994
r0-D,1,REVERSE_ROTATE,1.2566336400168283,1.6253827394757951,0.3687490994589668
r0-D,1,REVERSE_INC,1.1870351321356638,1.8358195958818708,0.648784463746207
r0-D,1,REVERSE_SWAP,1.160793307168143,1.5717900964191982,0.4109967892510551
r0-D,1,ROTATE_INC,1.0754789338793074,1.7269507122039796,0.6514717783246722
r0-D,1,ROTATE_SWAP,1.2407689952850345,1.596673900059291,0.355904904774257
r0-D,1,INC_SWAP,1.0462623160226003,1.6644633286339896,0.6182010126113893
r0-D,2,REVERSE,1.0451308175495693,1.1064896965026856,0.0613588789531163
r0-D,2,ROTATE,0.9523684923989432,1.0245988464355469,0.0722303540366037
r0-D,2,INC,1.3447809042249408,1.3986365141187396,0.0538556098937987
r0-D,2,SWAP,1.0391920621054511,1.0668901770455497,0.0276981149400983
r0-D,2,REVERSE_ROTATE,1.2566336400168283,1.2936959287098475,0.0370622886930191
r0-D,2,REVERSE_INC,1.1870351321356638,1.2460869101115637,0.0590517779758996
r0-D,2,REVERSE_SWAP,1.160793307168143,1.20762802532741,0.0468347181592669
r0-D,2,ROTATE_INC,1.0754789338793074,1.1593446561268397,0.0838657222475323
r0-D,2,ROTATE_SWAP,1.2407689952850345,1.2707229144232617,0.0299539191382272
r0-D,2,INC_SWAP,1.0462623160226003,1.130873659678868,0.0846113436562676
r0-D,3,REVERSE,1.0451308175495693,1.1061671032224385,0.061036285672869
r0-D,3,ROTATE,0.9523684923989432,1.0169044698987688,0.0645359774998256
r0-D,3,INC,1.3447809042249408,1.403405855042594,0.058624950817653
r0-D,3,SWAP,1.0391920621054511,1.0656778492246357,0.0264857871191841
r0-D,3,REVERSE_ROTATE,1.2566336400168283,1.3120060648236955,0.0553724248068672
r0-D,3,REVERSE_INC,1.1870351321356638,1.248899416923523,0.0618642847878592
r0-D,3,REVERSE_SWAP,1.160793307168143,1.2149153062275475,0.0541219990594046
r0-D,3,ROTATE_INC,1.0754789338793074,1.151831306729998,0.0763523728506905
r0-D,3,ROTATE_SWAP,1.2407689952850345,1.2883875921794343,0.0476185968944002
r0-D,3,INC_SWAP,1.0462623160226003,1.1240798970631192,0.0778175810405188
r0-D,4,REVERSE,1.0451308175495693,1.1139114938463484,0.068780676296779
r0-D,4,ROTATE,0.9523684923989432,1.0268339027677265,0.0744654103687832
r0-D,4,INC,1.3447809042249408,1.39800628389631,0.0532253796713693
r0-D,4,SWAP,1.0391920621054511,1.0782937594822477,0.0391016973767961
r0-D,4,REVERSE_ROTATE,1.2566336400168283,1.3074991921016148,0.0508655520847864
r0-D,4,REVERSE_INC,1.1870351321356638,1.277959736415318,0.0909246042796543
r0-D,4,REVERSE_SWAP,1.160793307168143,1.2169170958655222,0.0561237886973791
r0-D,4,ROTATE_INC,1.0754789338793074,1.1530757216044836,0.0775967877251762
r0-D,4,ROTATE_SWAP,1.2407689952850345,1.3064057561329432,0.0656367608479089
r0-D,4,INC_SWAP,1.0462623160226003,1.1182226508004325,0.0719603347778321
r0-D,5,REVERSE,1.0451308175495693,1.1699273872375489,0.1247965696879795
r0-D,5,ROTATE,0.9523684923989432,1.0730644246510097,0.1206959322520665
