run,task,row,mean_activity
r0-D,REVERSE,0,0.5915613770484924
r0-D,REVERSE,1,0.4019399881362915
r0-D,REVERSE,2,0.3171964883804321
r0-D,REVERSE,3,0.250701904296875
r0-D,REVERSE,4,0.2947848439216614
r0-D,REVERSE,5,0.2580583393573761
r0-D,REVERSE,6,0.562387228012085
r0-D,REVERSE,7,0.3233701586723327
r0-D,ROTATE,0,0.5734775066375732
r0-D,ROTATE,1,0.3955152928829193
r0-D,ROTATE,2,0.3241983652114868
r0-D,ROTATE,3,0.2542696297168731
r0-D,ROTATE,4,0.3005961179733276
r0-D,ROTATE,5,0.2622294127941131
r0-D,ROTATE,6,0.5681895017623901
r0-D,ROTATE,7,0.3215242028236389
r0-D,INC,0,0.4085871875286102
r0-D,INC,1,0.2974560558795929
r0-D,INC,2,0.395304262638092
r0-D,INC,3,0.3149639070034027
r0-D,INC,4,0.3710342347621918
r0-D,INC,5,0.3133386373519897
r0-D,INC,6,0.5069863796234131
r0-D,INC,7,0.3923297822475433
r0-D,SWAP,0,0.5721937417984009
r0-D,SWAP,1,0.3883927464485168
r0-D,SWAP,2,0.3284335732460022
r0-D,SWAP,3,0.2563612461090088
r0-D,SWAP,4,0.3034500777721405
r0-D,SWAP,5,0.262858897447586
r0-D,SWAP,6,0.5637269020080566
r0-D,SWAP,7,0.3245829641819
r0-D,REVERSE_ROTATE,0,0.5593481659889221
r0-D,REVERSE_ROTATE,1,0.4030488133430481
r0-D,REVERSE_ROTATE,2,0.3245150744915008
r0-D,REVERSE_ROTATE,3,0.2545899152755737
r0-D,REVERSE_ROTATE,4,0.3052782118320465
r0-D,REVERSE_ROTATE,5,0.2640401721000671
r0-D,REVERSE_ROTATE,6,0.5639124512672424
r0-D,REVERSE_ROTATE,7,0.3252671062946319
r0-D,REVERSE_INC,0,0.4077301025390625
r0-D,REVERSE_INC,1,0.2887469232082367
r0-D,REVERSE_INC,2,0.4021036028861999
r0-D,REVERSE_INC,3,0.3183993101119995
r0-D,REVERSE_INC,4,0.3674514293670654
r0-D,REVERSE_INC,5,0.3139638304710388
r0-D,REVERSE_INC,6,0.5087510943412781
r0-D,REVERSE_INC,7,0.3928537666797638
r0-D,REVERSE_SWAP,0,0.5642974376678467
r0-D,REVERSE_SWAP,1,0.3968803882598877
r0-D,REVERSE_SWAP,2,0.3204834461212158
r0-D,REVERSE_SWAP,3,0.2544516623020172
r0-D,REVERSE_SWAP,4,0.3067550361156463
r0-D,REVERSE_SWAP,5,0.2642287313938141
r0-D,REVERSE_SWAP,6,0.5654377937316895
r0-D,REVERSE_SWAP,7,0.3274656236171722
r0-D,ROTATE_INC,0,0.3908556699752807
r0-D,ROTATE_INC,1,0.3011803328990936
r0-D,ROTATE_INC,2,0.3991104960441589
r0-D,ROTATE_INC,3,0.3192009925842285
r0-D,ROTATE_INC,4,0.3692830204963684
r0-D,ROTATE_INC,5,0.3177061378955841
r0-D,ROTATE_INC,6,0.5086063146591187
r0-D,ROTATE_INC,7,0.3940571248531341
r0-D,ROTATE_SWAP,0,0.5830436944961548
r0-D,ROTATE_SWAP,1,0.3931867480278015
r0-D,ROTATE_SWAP,2,0.318623423576355
r0-D,ROTATE_SWAP,3,0.2521596252918243
r0-D,ROTATE_SWAP,4,0.3029505014419555
r0-D,ROTATE_SWAP,5,0.2631463706493377
r0-D,ROTATE_SWAP,6,0.5611762404441833
r0-D,ROTATE_SWAP,7,0.3257136046886444
r0-D,INC_SWAP,0,0.4074506759643554
r0-D,INC_SWAP,1,0.3073591291904449
r0-D,INC_SWAP,2,0.3899341225624084
r0-D,INC_SWAP,3,0.3128272891044616
r0-D,INC_SWAP,4,0.3693167865276336
r0-D,INC_SWAP,5,0.313899964094162
r0-D,INC_SWAP,6,0.5065440535545349
r0-D,INC_SWAP,7,0.3926679491996765
r1-D,REVERSE,0,0.5805883407592773
r1-D,REVERSE,1,0.4936867952346802
r1-D,REVERSE,2,0.2779888808727264
r1-D,REVERSE,3,0.3196451663970947
r1-D,REVERSE,4,0.3262789845466614
r1-D,REVERSE,5,0.2609351575374603
r1-D,REVERSE,6,0.304040789604187
r1-D,REVERSE,7,0.4368360936641693
r1-D,ROTATE,0,0.5589167475700378
r1-D,ROTATE,1,0.5008980631828308
r1-D,ROTATE,2,0.2784983515739441
r1-D,ROTATE,3,0.3215296566486358
r1-D,ROTATE,4,0.3241403102874756
r1-D,ROTATE,5,0.2647510766983032
r1-D,ROTATE,6,0.3058660328388214
r1-D,ROTATE,7,0.4454002380371094
r1-D,INC,0,0.1881730258464813
r1-D,INC,1,0.4371281862258911
r1-D,INC,2,0.3088583946228027
r1-D,INC,3,0.373673677444458
r1-D,INC,4,0.3745262622833252
r1-D,INC,5,0.3533140420913696
r1-D,INC,6,0.3567996919155121
r1-D,INC,7,0.6075268387794495
r1-D,SWAP,0,0.5729624629020691
r1-D,SWAP,1,0.4976764917373657
r1-D,SWAP,2,0.2793605327606201
r1-D,SWAP,3,0.3162957429885864
r1-D,SWAP,4,0.3224115669727325
r1-D,SWAP,5,0.261407196521759
r1-D,SWAP,6,0.3036327660083771
r1-D,SWAP,7,0.446253091096878
r1-D,REVERSE_ROTATE,0,0.5652177333831787
r1-D,REVERSE_ROTATE,1,0.4973476529121399
r1-D,REVERSE_ROTATE,2,0.2811352014541626
r1-D,REVERSE_ROTATE,3,0.3212214708328247
r1-D,REVERSE_ROTATE,4,0.322601705789566
r1-D,REVERSE_ROTATE,5,0.2642556428909302
r1-D,REVERSE_ROTATE,6,0.3063943982124328
r1-D,REVERSE_ROTATE,7,0.4418264031410217
r1-D,REVERSE_INC,0,0.1985172480344772
r1-D,REVERSE_INC,1,0.4379349946975708
r1-D,REVERSE_INC,2,0.3080169856548309
r1-D,REVERSE_INC,3,0.375164270401001
r1-D,REVERSE_INC,4,0.3776473999023437
r1-D,REVERSE_INC,5,0.3468445837497711
r1-D,REVERSE_INC,6,0.3571529686450958
r1-D,REVERSE_INC,7,0.5987217426300049
r1-D,REVERSE_SWAP,0,0.5558123588562012
r1-D,REVERSE_SWAP,1,0.4941978752613067
r1-D,REVERSE_SWAP,2,0.2819827795028686
r1-D,REVERSE_SWAP,3,0.3221599161624908
r1-D,REVERSE_SWAP,4,0.3245019614696502
r1-D,REVERSE_SWAP,5,0.2649779915809631
r1-D,REVERSE_SWAP,6,0.3083230555057525
r1-D,REVERSE_SWAP,7,0.4480439722537994
r1-D,ROTATE_INC,0,0.1832242161035537
r1-D,ROTATE_INC,1,0.4416540861129761
r1-D,ROTATE_INC,2,0.3144453167915344
r1-D,ROTATE_INC,3,0.3819296956062317
r1-D,ROTATE_INC,4,0.3685927987098694
r1-D,ROTATE_INC,5,0.3520173132419586
r1-D,ROTATE_INC,6,0.361732929944992
r1-D,ROTATE_INC,7,0.5964038372039795
r1-D,ROTATE_SWAP,0,0.5654391050338745
r1-D,ROTATE_SWAP,1,0.4972799718379974
