run,replicate,variant,step,consumed_tokens,train_loss,main_loss,stability_loss,auxiliary_loss,grad_norm,learning_rate,validation_mean_nll,validation_mean_token_accuracy,training_elapsed_seconds,seconds_per_million_tokens,avg_recurrent_iterations
r0-B,0,B,250,240000,1.73438823223114,1.7244442701339722,0.0994383320212364,1.2421403994267166e-07,2.7734146118164062,0.0002683710764094,1.7530805689266749,0.2266666666666666,15.922281735000126,66.34284056250053,8.868
r0-B,0,B,500,480000,1.4613981246948242,1.453682541847229,0.0771547704935073,6.192428259055306e-08,3.053232192993164,0.0001623869018208,1.4500460406712123,0.3511666666666667,29.564135062000304,61.591948045833966,8.956
r0-B,0,B,1000,960000,1.0501132011413574,1.0407655239105225,0.0934770256280899,5.895197929817186e-08,3.0004165172576904,0.0,1.049059429168701,0.5814999999999999,57.24775794400029,59.63308119166697,8.99
r0-D,0,D,250,240000,1.7768807411193848,1.7676734924316406,0.092071995139122,0.0,2.7614166736602783,0.0002683710764094,1.7783101387023923,0.2188333333333333,18.55046226400043,77.29359276666847,8.868
r0-D,0,D,500,480000,1.4627552032470703,1.453734040260315,0.0902120992541313,0.0,4.164939880371094,0.0001623869018208,1.444220435891833,0.3411666666666667,35.65273732200046,74.27653608750097,8.956
r0-D,0,D,1000,960000,1.1433533430099487,1.1333444118499756,0.1000896096229553,0.0,3.7354023456573486,0.0,1.134844460078648,0.5368333333333333,69.84833305100028,72.75868026145864,8.99
r1-B,1,B,250,240000,1.7196674346923828,1.7103118896484375,0.0935277268290519,2.7967516871285625e-06,2.6261532306671143,0.0002683710764094,1.7028593225479127,0.2553333333333333,16.08572039600014,67.02383498333393,9.004
r1-B,1,B,500,480000,1.4684369564056396,1.4595199823379517,0.0891410559415817,2.8957920221728277e-06,1.5981941223144531,0.0001623869018208,1.448327070917402,0.3576666666666666,29.56941897700028,61.60295620208392,8.984
r1-B,1,B,1000,960000,1.0883090496063232,1.079171895980835,0.0913603752851486,1.037092374644999e-06,2.131437301635742,0.0,1.0552041518688202,0.5704999999999999,57.0026299230002,59.37773950312521,8.971
r1-D,1,D,250,240000,1.7882400751113892,1.7793623208999634,0.0887773558497428,0.0,1.8298518657684328,0.0002683710764094,1.7742912524087089,0.2251666666666666,18.98468595899976,79.10285816249902,9.004
r1-D,1,D,500,480000,1.5078001022338867,1.4983681440353394,0.09431953728199,0.0,2.71058201789856,0.0001623869018208,1.4706131674902778,0.3381666666666666,36.09821751599969,75.20461982499937,8.984
r1-D,1,D,1000,960000,1.1981005668640137,1.188313364982605,0.0978717133402824,0.0,3.163151979446411,0.0,1.1534514092036656,0.5438333333333333,70.5250215530005,73.46356411770886,8.971
r2-B,2,B,250,240000,1.689967393875122,1.6801912784576416,0.0977584570646286,2.646948473739031e-07,3.4004926681518555,0.0002683710764094,1.7072319796425954,0.2426666666666666,15.303570537999803,63.76487724166585,8.92
r2-B,2,B,500,480000,1.43422532081604,1.4259682893753052,0.082554779946804,1.5966061255312525e-06,1.9594396352767944,0.0001623869018208,1.395473086493356,0.3806666666666666,29.45405330399961,61.3626110499992,8.986
r2-B,2,B,1000,960000,0.8071395754814148,0.7986997961997986,0.0843830630183219,1.4653538755737827e-06,2.7001852989196777,0.0,0.7560516664300645,0.7294999999999999,57.16409200099923,59.545929167707534,9.008
r2-D,2,D,250,240000,1.8047356605529783,1.794858694076538,0.0987698659300804,0.0,3.514970541000366,0.0002683710764094,1.7687695952824185,0.223,18.44405084799996,76.85021186666651,8.92
r2-D,2,D,500,480000,1.5030022859573364,1.4936243295669556,0.0937795490026474,0.0,2.497055530548096,0.0001623869018208,1.4585268569673808,0.3299999999999999,35.7899415120001,74.56237815000021,8.986
r2-D,2,D,1000,960000,1.1573286056518557,1.1485822200775146,0.0874633193016052,0.0,2.788515329360962,0.0,1.077763229915074,0.5646666666666667,70.01905595599993,72.93651662083326,9.008
