run,task,receiver,source,mean_weight
r0-D,REVERSE,0,0,0.0
r0-D,REVERSE,0,1,0.0916640982031822
r0-D,REVERSE,0,2,0.0251300446689128
r0-D,REVERSE,0,3,0.0236374121159315
r0-D,REVERSE,0,4,0.0257876105606555
r0-D,REVERSE,0,5,0.0246648676693439
r0-D,REVERSE,0,6,0.0267343688756227
r0-D,REVERSE,0,7,0.0323816016316413
r0-D,REVERSE,1,0,0.0883949473500251
r0-D,REVERSE,1,1,0.0
r0-D,REVERSE,1,2,0.0710663199424743
r0-D,REVERSE,1,3,0.0172633118927478
r0-D,REVERSE,1,4,0.0201548486948013
r0-D,REVERSE,1,5,0.0180605836212635
r0-D,REVERSE,1,6,0.0169149413704872
r0-D,REVERSE,1,7,0.0181450378149747
r0-D,REVERSE,2,0,0.0238496083766222
r0-D,REVERSE,2,1,0.0698405727744102
r0-D,REVERSE,2,2,0.0
r0-D,REVERSE,2,3,0.0783892795443534
r0-D,REVERSE,2,4,0.017729727551341
r0-D,REVERSE,2,5,0.0182954799383878
r0-D,REVERSE,2,6,0.0227324552834033
r0-D,REVERSE,2,7,0.0191628783941268
r0-D,REVERSE,3,0,0.022251421585679
r0-D,REVERSE,3,1,0.0167694073170423
r0-D,REVERSE,3,2,0.0774467065930366
r0-D,REVERSE,3,3,0.0
r0-D,REVERSE,3,4,0.0777494832873344
r0-D,REVERSE,3,5,0.0198342222720384
r0-D,REVERSE,3,6,0.0179820712655782
r0-D,REVERSE,3,7,0.0179667063057422
r0-D,REVERSE,4,0,0.0235950425267219
r0-D,REVERSE,4,1,0.0190369859337806
r0-D,REVERSE,4,2,0.0170603934675455
r0-D,REVERSE,4,3,0.0756914839148521
r0-D,REVERSE,4,4,0.0
r0-D,REVERSE,4,5,0.0763469710946083
r0-D,REVERSE,4,6,0.02137391269207
r0-D,REVERSE,4,7,0.0168952159583568
r0-D,REVERSE,5,0,0.0224861241877079
r0-D,REVERSE,5,1,0.0170042756944894
r0-D,REVERSE,5,2,0.0175242144614458
r0-D,REVERSE,5,3,0.0192292444407939
r0-D,REVERSE,5,4,0.0760116577148437
r0-D,REVERSE,5,5,0.0
r0-D,REVERSE,5,6,0.0789285749197006
r0-D,REVERSE,5,7,0.0188159178942441
r0-D,REVERSE,6,0,0.0238121561706066
r0-D,REVERSE,6,1,0.0155996140092611
r0-D,REVERSE,6,2,0.0213241912424564
r0-D,REVERSE,6,3,0.0170623175799846
r0-D,REVERSE,6,4,0.0208805315196514
r0-D,REVERSE,6,5,0.0773299559950828
r0-D,REVERSE,6,6,0.0
r0-D,REVERSE,6,7,0.0739912390708923
r0-D,REVERSE,7,0,0.0379722602665424
r0-D,REVERSE,7,1,0.0221223216503858
r0-D,REVERSE,7,2,0.0237514041364192
r0-D,REVERSE,7,3,0.0224893186241388
r0-D,REVERSE,7,4,0.0217244978994131
r0-D,REVERSE,7,5,0.0243434198200702
r0-D,REVERSE,7,6,0.0975967943668365
r0-D,REVERSE,7,7,0.0
r0-D,ROTATE,0,0,0.0
r0-D,ROTATE,0,1,0.0924358144402504
r0-D,ROTATE,0,2,0.0248057600110769
r0-D,ROTATE,0,3,0.023758290335536
r0-D,ROTATE,0,4,0.0259123984724283
r0-D,ROTATE,0,5,0.0247625336050987
r0-D,ROTATE,0,6,0.0260315965861082
r0-D,ROTATE,0,7,0.0322935879230499
r0-D,ROTATE,1,0,0.0890937969088554
r0-D,ROTATE,1,1,0.0
r0-D,ROTATE,1,2,0.0706676468253135
r0-D,ROTATE,1,3,0.0171943139284849
r0-D,ROTATE,1,4,0.0201111529022455
r0-D,ROTATE,1,5,0.0180188193917274
r0-D,ROTATE,1,6,0.0168357416987419
r0-D,ROTATE,1,7,0.0180785357952117
r0-D,ROTATE,2,0,0.0236472338438034
r0-D,ROTATE,2,1,0.0698054879903793
r0-D,ROTATE,2,2,0.0
r0-D,ROTATE,2,3,0.0785732343792915
r0-D,ROTATE,2,4,0.0177416950464248
r0-D,ROTATE,2,5,0.0183013938367366
r0-D,ROTATE,2,6,0.0227734874933958
r0-D,ROTATE,2,7,0.0191574972122907
r0-D,ROTATE,3,0,0.0224099997431039
r0-D,ROTATE,3,1,0.0167449787259101
r0-D,ROTATE,3,2,0.077438861131668
r0-D,ROTATE,3,3,0.0
