run,row,mean_activity
r0-D,0,0.5058544278144836
r0-D,1,0.3573707044124603
r0-D,2,0.3519906103610992
r0-D,3,0.2787924706935882
r0-D,4,0.3290902376174927
r0-D,5,0.2833468317985534
r0-D,6,0.541571855545044
r0-D,7,0.3519832491874695
r1-D,0,0.4149123132228851
r1-D,1,0.4746431708335876
r1-D,2,0.2922793626785278
r1-D,3,0.3435705304145813
r1-D,4,0.3435452282428741
r1-D,5,0.2980911135673523
r1-D,6,0.3270774185657501
r1-D,7,0.5058807134628296
r2-D,0,0.3305858373641968
r2-D,1,0.3147102296352386
r2-D,2,0.3745659291744232
r2-D,3,0.3664021790027618
r2-D,4,0.3853874504566192
r2-D,5,0.3528712093830108
r2-D,6,0.3548504710197449
r2-D,7,0.5206266045570374
