run,receiver,source,mean_weight
r0-D,0,0,0.0
r0-D,0,1,0.0952627584338188
r0-D,0,2,0.0239096991717815
r0-D,0,3,0.024250729009509
r0-D,0,4,0.0261499788612127
r0-D,0,5,0.0248967763036489
r0-D,0,6,0.0245840102434158
r0-D,0,7,0.0309461113065481
r0-D,1,0,0.0900349244475364
r0-D,1,1,0.0
r0-D,1,2,0.0702397674322128
r0-D,1,3,0.017176117748022
r0-D,1,4,0.01981764100492
r0-D,1,5,0.0179709047079086
r0-D,1,6,0.0167760197073221
r0-D,1,7,0.0179846696555614
r0-D,2,0,0.0226056035608053
r0-D,2,1,0.0700859427452087
r0-D,2,2,0.0
r0-D,2,3,0.0795126035809516
r0-D,2,4,0.0178175549954175
r0-D,2,5,0.0183188058435916
r0-D,2,6,0.0225363261997699
r0-D,2,7,0.0191232226788997
r0-D,3,0,0.022426376119256
r0-D,3,1,0.0167310591787099
r0-D,3,2,0.0775844380259513
r0-D,3,3,0.0
r0-D,3,4,0.0776103660464286
r0-D,3,5,0.0198037717491388
r0-D,3,6,0.0178732238709926
r0-D,3,7,0.0179707445204257
r0-D,4,0,0.0236481595784425
r0-D,4,1,0.0188880711793899
r0-D,4,2,0.0170407481491565
r0-D,4,3,0.0760348066687583
r0-D,4,4,0.0
r0-D,4,5,0.0763897448778152
r0-D,4,6,0.0210509672760963
r0-D,4,7,0.0169475339353084
r0-D,5,0,0.0225089825689792
r0-D,5,1,0.0171310771256685
r0-D,5,2,0.0175007246434688
r0-D,5,3,0.0193895138800144
r0-D,5,4,0.0763179063796997
r0-D,5,5,0.0
r0-D,5,6,0.0782185718417167
r0-D,5,7,0.0189331285655498
r0-D,6,0,0.0220975633710622
r0-D,6,1,0.0159164629876613
r0-D,6,2,0.0214133691042661
r0-D,6,3,0.0173972602933645
r0-D,6,4,0.0209501720964908
r0-D,6,5,0.0778277739882469
r0-D,6,6,0.0
r0-D,6,7,0.0743974149227142
r0-D,7,0,0.036425270140171
r0-D,7,1,0.0224062465131282
r0-D,7,2,0.0238650701940059
r0-D,7,3,0.0229391399770975
r0-D,7,4,0.0220818314701318
r0-D,7,5,0.0247267391532659
r0-D,7,6,0.0975556969642639
r0-D,7,7,0.0
r1-D,0,0,0.0
r1-D,0,1,0.095438614487648
r1-D,0,2,0.022723589092493
r1-D,0,3,0.0263842456042766
r1-D,0,4,0.0263797529041767
r1-D,0,5,0.0258103925734758
r1-D,0,6,0.0225410740822553
r1-D,0,7,0.0307223554700613
r1-D,1,0,0.0885490849614143
r1-D,1,1,0.0
r1-D,1,2,0.0780099555850029
r1-D,1,3,0.0194086506962776
r1-D,1,4,0.0176688991487026
r1-D,1,5,0.0150681352242827
r1-D,1,6,0.0157060343772172
r1-D,1,7,0.0155892148613929
r1-D,2,0,0.0204234067350626
r1-D,2,1,0.0751459524035453
r1-D,2,2,0.0
r1-D,2,3,0.0804034769535064
r1-D,2,4,0.0181783158332109
r1-D,2,5,0.0197777692228555
r1-D,2,6,0.0195714998990297
r1-D,2,7,0.0164996571838855
r1-D,3,0,0.0222449898719787
r1-D,3,1,0.0175000913441181
r1-D,3,2,0.0753287449479103
r1-D,3,3,0.0
r1-D,3,4,0.0824603587388992
r1-D,3,5,0.016789611428976
r1-D,3,6,0.0194592922925949
r1-D,3,7,0.0162168033421039
r1-D,4,0,0.022763717919588
r1-D,4,1,0.0163285005837678
r1-D,4,2,0.0174400173127651
r1-D,4,3,0.0843964368104934
r1-D,4,4,0.0
r1-D,4,5,0.0762327462434768
r1-D,4,6,0.0180204026401042
r1-D,4,7,0.0148182027041912
r1-D,5,0,0.0214639361947774
r1-D,5,1,0.0135505096986889
r1-D,5,2,0.0184076782315969
r1-D,5,3,0.0166159197688102
r1-D,5,4,0.0739311575889587
r1-D,5,5,0.0
r1-D,5,6,0.0874561294913292
r1-D,5,7,0.0185747183859348
r1-D,6,0,0.0188761856406927
r1-D,6,1,0.0141345830634236
r1-D,6,2,0.0182888526469469
r1-D,6,3,0.0193969886749982
r1-D,6,4,0.0175594799220561
r1-D,6,5,0.0876751244068145
r1-D,6,6,0.0
r1-D,6,7,0.0740687921643257
r1-D,7,0,0.0356381423771381
r1-D,7,1,0.0196684822440147
r1-D,7,2,0.0216024592518806
r1-D,7,3,0.0226295683532953
r1-D,7,4,0.0202256347984075
r1-D,7,5,0.0261474903672933
r1-D,7,6,0.1040881872177124
r1-D,7,7,0.0
r2-D,0,0,0.0
r2-D,0,1,0.0954378843307495
r2-D,0,2,0.0239293109625577
r2-D,0,3,0.0259760171175003
r2-D,0,4,0.0251554306596517
r2-D,0,5,0.0253018382936716
r2-D,0,6,0.0249241031706333
r2-D,0,7,0.0292754117399454
r2-D,1,0,0.0830390229821205
r2-D,1,1,0.0
r2-D,1,2,0.0832113251090049
r2-D,1,3,0.0152203068137168
r2-D,1,4,0.0170076191425323
r2-D,1,5,0.0164178796112537
r2-D,1,6,0.0175405349582433
r2-D,1,7,0.0175634250044822
r2-D,2,0,0.0210713595151901
r2-D,2,1,0.0840045064687728
r2-D,2,2,0.0
r2-D,2,3,0.077374055981636
r2-D,2,4,0.0170596297830343
r2-D,2,5,0.0162629447877407
r2-D,2,6,0.0170298479497432
r2-D,2,7,0.0171976927667856
r2-D,3,0,0.0236172247678041
r2-D,3,1,0.0158690977841615
r2-D,3,2,0.0801174938678741
r2-D,3,3,0.0
r2-D,3,4,0.0751622691750526
r2-D,3,5,0.0183876659721136
r2-D,3,6,0.0185128878802061
r2-D,3,7,0.0183332823216915
r2-D,4,0,0.0223000682890415
r2-D,4,1,0.0174046233296394
r2-D,4,2,0.0172486454248428
r2-D,4,3,0.0736731961369514
r2-D,4,4,0.0
r2-D,4,5,0.082469493150711
r2-D,4,6,0.0180119406431913
r2-D,4,7,0.018891992047429
r2-D,5,0,0.0215342231094837
r2-D,5,1,0.0160581450909376
r2-D,5,2,0.0157627947628498
r2-D,5,3,0.0172537863254547
r2-D,5,4,0.0789374485611915
r2-D,5,5,0.0
r2-D,5,6,0.0832759737968444
r2-D,5,7,0.0171776730567216
r2-D,6,0,0.0220437105745077
r2-D,6,1,0.0177926067262887
r2-D,6,2,0.017132120206952
r2-D,6,3,0.0180204324424266
r2-D,6,4,0.0178830977529287
r2-D,6,5,0.0863571763038635
r2-D,6,6,0.0
r2-D,6,7,0.0707708895206451
r2-D,7,0,0.0348401367664337
r2-D,7,1,0.0239224955439567
r2-D,7,2,0.0231554638594388
r2-D,7,3,0.0239466223865747
r2-D,7,4,0.0252103488892316
r2-D,7,5,0.0239221174269914
r2-D,7,6,0.0950028598308563
r2-D,7,7,0.0
