run,replicate,variant,task_id,task,nll,ppl,token_accuracy,exact_match,examples
r0-B,0,B,0,REVERSE,1.043998349734715,2.840551858685607,0.5633333333333334,0.02,100
r0-B,0,B,1,ROTATE,0.8717199155262538,2.391019670957625,0.6533333333333333,0.03,100
r0-B,0,B,2,INC,1.2164918490818568,3.3753257867790945,0.505,0.01,100
r0-B,0,B,3,SWAP,0.8791032402856009,2.408738677791566,0.6983333333333334,0.05,100
r0-B,0,B,4,REVERSE_ROTATE,1.2421648338862827,3.463102397111606,0.47,0.0,100
r0-B,0,B,5,REVERSE_INC,1.1155285501480103,3.051180454941919,0.5383333333333333,0.01,100
r0-B,0,B,6,REVERSE_SWAP,1.2005601508276804,3.321977209950884,0.4883333333333333,0.0,100
r0-B,0,B,7,ROTATE_INC,0.9209753199986048,2.511738944904125,0.6483333333333333,0.02,100
r0-B,0,B,8,ROTATE_SWAP,1.175959162712097,3.241250339817076,0.5083333333333333,0.02,100
r0-B,0,B,9,INC_SWAP,0.8240929194859096,2.2798118542279258,0.7416666666666667,0.15,100
r0-D,0,D,0,REVERSE,1.0451308175495693,2.843770514410011,0.595,0.01,100
r0-D,0,D,1,ROTATE,0.9523684923989432,2.5918411513195645,0.6033333333333334,0.01,100
r0-D,0,D,2,INC,1.3447809042249408,3.837345702260437,0.4333333333333333,0.0,100
r0-D,0,D,3,SWAP,1.0391920621054511,2.826932105870129,0.595,0.01,100
r0-D,0,D,4,REVERSE_ROTATE,1.2566336400168283,3.513573602857373,0.4616666666666666,0.0,100
r0-D,0,D,5,REVERSE_INC,1.1870351321356638,3.2773498791236566,0.505,0.01,100
r0-D,0,D,6,REVERSE_SWAP,1.160793307168143,3.192464877085855,0.5166666666666667,0.01,100
r0-D,0,D,7,ROTATE_INC,1.0754789338793074,2.9313965094910093,0.575,0.01,100
r0-D,0,D,8,ROTATE_SWAP,1.2407689952850345,3.4582718372309227,0.5083333333333333,0.0,100
r0-D,0,D,9,INC_SWAP,1.0462623160226003,2.846990057515276,0.575,0.01,100
r1-B,1,B,0,REVERSE,1.0205383004461015,2.774687977805648,0.6166666666666667,0.02,100
r1-B,1,B,1,ROTATE,0.9247055728094918,2.5211258630677564,0.5733333333333334,0.02,100
r1-B,1,B,2,INC,1.162963046346392,3.199399213334932,0.5316666666666666,0.0,100
r1-B,1,B,3,SWAP,1.0312774126870292,2.804646238073005,0.5833333333333334,0.04,100
r1-B,1,B,4,REVERSE_ROTATE,1.2275979273659845,3.413021356714366,0.5383333333333333,0.0,100
r1-B,1,B,5,REVERSE_INC,1.1295135474205018,3.0941509762476604,0.51,0.01,100
r1-B,1,B,6,REVERSE_SWAP,1.178992612702506,3.2510974384189524,0.4733333333333333,0.0,100
r1-B,1,B,7,ROTATE_INC,0.992547824042184,2.6981000066137844,0.6016666666666667,0.03,100
r1-B,1,B,8,ROTATE_SWAP,1.1588406671796527,3.1862372246653154,0.495,0.0,100
r1-B,1,B,9,INC_SWAP,0.7250646076883589,2.064864501779283,0.7816666666666666,0.21,100
r1-D,1,D,0,REVERSE,1.1078253167016163,3.0277667958314587,0.585,0.02,100
r1-D,1,D,1,ROTATE,0.9551480054855348,2.599055228885045,0.6266666666666667,0.02,100
r1-D,1,D,2,INC,1.420607647895813,4.139635116723194,0.4516666666666666,0.0,100
r1-D,1,D,3,SWAP,1.0603532675334386,2.887390830555728,0.595,0.0,100
r1-D,1,D,4,REVERSE_ROTATE,1.2778013208934238,3.5887405560025067,0.4683333333333333,0.0,100
r1-D,1,D,5,REVERSE_INC,1.1638117946897235,3.202115850824608,0.5283333333333333,0.01,100
r1-D,1,D,6,REVERSE_SWAP,1.2490677513395037,3.4870906061507,0.47,0.0,100
r1-D,1,D,7,ROTATE_INC,1.0503609071459088,2.858682650904777,0.6166666666666667,0.01,100
r1-D,1,D,8,ROTATE_SWAP,1.199666086605617,3.319008476297984,0.5083333333333333,0.02,100
r1-D,1,D,9,INC_SWAP,1.0498719937460763,2.857285344259686,0.5883333333333334,0.04,100
r2-B,2,B,0,REVERSE,0.6257247229984828,1.8696004089862093,0.7883333333333333,0.22,100
r2-B,2,B,1,ROTATE,0.7165979378564017,2.047455776753004,0.6966666666666667,0.09,100
r2-B,2,B,2,INC,0.7707921317645482,2.1614777510147043,0.7333333333333333,0.09,100
r2-B,2,B,3,SWAP,0.4251278047902243,1.5297859211388394,0.9266666666666666,0.61,100
r2-B,2,B,4,REVERSE_ROTATE,1.191679961681366,3.2926080189710576,0.5833333333333334,0.02,100
r2-B,2,B,5,REVERSE_INC,0.6627058165413993,1.9400346166331948,0.7566666666666667,0.18,100
r2-B,2,B,6,REVERSE_SWAP,0.8832919781548636,2.4188494135360625,0.61,0.01,100
r2-B,2,B,7,ROTATE_INC,0.7843969692502702,2.1910852504820166,0.6916666666666667,0.04,100
r2-B,2,B,8,ROTATE_SWAP,1.0199198303903851,2.772972446934338,0.6183333333333333,0.01,100
r2-B,2,B,9,INC_SWAP,0.4802795108727046,1.6165261756942677,0.89,0.43,100
r2-D,2,D,0,REVERSE,1.0007691308430262,2.720373347075984,0.6166666666666667,0.01,100
r2-D,2,D,1,ROTATE,0.973843456677028,2.6481027936539414,0.6,0.03,100
r2-D,2,D,2,INC,1.1418119198935373,3.1324389547651483,0.54,0.01,100
r2-D,2,D,3,SWAP,1.147967769759042,3.151781251741163,0.5116666666666667,0.0,100
r2-D,2,D,4,REVERSE_ROTATE,1.2161040435518538,3.374017070553516,0.505,0.0,100
r2-D,2,D,5,REVERSE_INC,1.120182089805603,3.065412332812387,0.5383333333333333,0.02,100
r2-D,2,D,6,REVERSE_SWAP,1.157756143978664,3.1827835496051926,0.5033333333333333,0.01,100
r2-D,2,D,7,ROTATE_INC,0.9909022501536778,2.693663734801937,0.6116666666666667,0.01,100
r2-D,2,D,8,ROTATE_SWAP,1.172133470943996,3.228874004191259,0.505,0.0,100
r2-D,2,D,9,INC_SWAP,0.8561620235443115,2.35410832111062,0.715,0.09,100
