run,task,row,mean_activity
r0-E,REVERSE,0,2.1491494178771973
r0-E,REVERSE,1,0.3175778090953827
r0-E,REVERSE,2,0.1413057595491409
r0-E,REVERSE,3,0.0807887241244316
r0-E,REVERSE,4,0.1014610305428505
r0-E,REVERSE,5,0.0779460817575454
r0-E,REVERSE,6,0.0544435866177082
r0-E,REVERSE,7,0.077328436076641
r0-E,ROTATE,0,2.010749101638794
r0-E,ROTATE,1,0.3789433538913727
r0-E,ROTATE,2,0.1615399718284607
r0-E,ROTATE,3,0.0856199264526367
r0-E,ROTATE,4,0.116966113448143
r0-E,ROTATE,5,0.0896028354763984
r0-E,ROTATE,6,0.0632078498601913
r0-E,ROTATE,7,0.0933710560202598
r0-E,INC,0,2.1326470375061035
r0-E,INC,1,0.2506068348884582
r0-E,INC,2,0.1339673548936844
r0-E,INC,3,0.090549498796463
r0-E,INC,4,0.1043759360909462
r0-E,INC,5,0.1380098760128021
r0-E,INC,6,0.0610141232609748
r0-E,INC,7,0.0888292416930198
r0-E,SWAP,0,2.051232099533081
r0-E,SWAP,1,0.3699229955673218
r0-E,SWAP,2,0.152108684182167
r0-E,SWAP,3,0.0875291228294372
r0-E,SWAP,4,0.111478067934513
r0-E,SWAP,5,0.0822614133358001
r0-E,SWAP,6,0.0615783482789993
r0-E,SWAP,7,0.083889253437519
r0-E,REVERSE_ROTATE,0,2.0507190227508545
r0-E,REVERSE_ROTATE,1,0.3348271548748016
r0-E,REVERSE_ROTATE,2,0.164354920387268
r0-E,REVERSE_ROTATE,3,0.0825968086719513
r0-E,REVERSE_ROTATE,4,0.1159505769610405
r0-E,REVERSE_ROTATE,5,0.0889604315161705
r0-E,REVERSE_ROTATE,6,0.0619870983064174
r0-E,REVERSE_ROTATE,7,0.1006043851375579
r0-E,REVERSE_INC,0,2.3658347129821777
r0-E,REVERSE_INC,1,0.1786717921495437
r0-E,REVERSE_INC,2,0.0961022078990936
r0-E,REVERSE_INC,3,0.0707165077328682
r0-E,REVERSE_INC,4,0.0850514099001884
r0-E,REVERSE_INC,5,0.0985813736915588
r0-E,REVERSE_INC,6,0.0439261198043823
r0-E,REVERSE_INC,7,0.0611158981919288
r0-E,REVERSE_SWAP,0,2.1571974754333496
r0-E,REVERSE_SWAP,1,0.3093639314174652
r0-E,REVERSE_SWAP,2,0.1411351561546325
r0-E,REVERSE_SWAP,3,0.0798387601971626
r0-E,REVERSE_SWAP,4,0.1125352308154106
r0-E,REVERSE_SWAP,5,0.0715098083019256
r0-E,REVERSE_SWAP,6,0.0550787076354026
r0-E,REVERSE_SWAP,7,0.0733404606580734
r0-E,ROTATE_INC,0,2.104982852935791
r0-E,ROTATE_INC,1,0.2617424428462982
r0-E,ROTATE_INC,2,0.1384325176477432
r0-E,ROTATE_INC,3,0.0906588658690452
r0-E,ROTATE_INC,4,0.1052233427762985
r0-E,ROTATE_INC,5,0.1271498650312423
r0-E,ROTATE_INC,6,0.0685839727520942
r0-E,ROTATE_INC,7,0.1032264530658721
r0-E,ROTATE_SWAP,0,2.142306327819824
r0-E,ROTATE_SWAP,1,0.3149862587451935
r0-E,ROTATE_SWAP,2,0.1439350843429565
r0-E,ROTATE_SWAP,3,0.0817595273256301
r0-E,ROTATE_SWAP,4,0.1124259158968925
r0-E,ROTATE_SWAP,5,0.0735659524798393
r0-E,ROTATE_SWAP,6,0.055377222597599
r0-E,ROTATE_SWAP,7,0.0756438225507736
r0-E,INC_SWAP,0,2.092039108276367
r0-E,INC_SWAP,1,0.2607707381248474
r0-E,INC_SWAP,2,0.1392261236906051
r0-E,INC_SWAP,3,0.0944675728678703
r0-E,INC_SWAP,4,0.1200852319598198
r0-E,INC_SWAP,5,0.1369218975305557
r0-E,INC_SWAP,6,0.0673856064677238
r0-E,INC_SWAP,7,0.0891038626432418
r1-E,REVERSE,0,1.0602858066558838
r1-E,REVERSE,1,0.0180753115564584
r1-E,REVERSE,2,0.1119183376431465
r1-E,REVERSE,3,0.1027568131685257
r1-E,REVERSE,4,0.1180410459637641
r1-E,REVERSE,5,0.1168588176369667
r1-E,REVERSE,6,0.0674144923686981
r1-E,REVERSE,7,1.4046499729156494
r1-E,ROTATE,0,0.9645950794219972
r1-E,ROTATE,1,0.0213907025754451
r1-E,ROTATE,2,0.1262038648128509
r1-E,ROTATE,3,0.1119107455015182
r1-E,ROTATE,4,0.1254038214683532
r1-E,ROTATE,5,0.1219089776277542
r1-E,ROTATE,6,0.0729029178619384
r1-E,ROTATE,7,1.455683946609497
r1-E,INC,0,0.8965802192687988
r1-E,INC,1,0.0325967632234096
r1-E,INC,2,0.1392655372619629
r1-E,INC,3,0.1298799365758896
r1-E,INC,4,0.1101177334785461
r1-E,INC,5,0.1756768822669983
r1-E,INC,6,0.0754378139972686
r1-E,INC,7,1.4404453039169312
r1-E,SWAP,0,1.0027153491973877
r1-E,SWAP,1,0.0209198240190744
