run,replicate,variant,step,consumed_tokens,train_loss,main_loss,stability_loss,grad_norm,learning_rate,validation_mean_nll,validation_mean_token_accuracy,training_elapsed_seconds,seconds_per_million_tokens,avg_recurrent_iterations
r0-L,0,L,250,240000,1.815798282623291,1.809633016586304,0.0616529881954193,4.000960350036621,0.0002683710764094,1.8011258159364971,0.2236666666666666,18.911129901999345,78.79637459166395,9.004
r0-L,0,L,500,480000,1.4552843570709229,1.448311448097229,0.0697288215160369,3.4312751293182373,0.0001623869018208,1.4338621127946036,0.3551666666666667,34.79189127399934,72.48310682083196,8.984
r0-L,0,L,1000,960000,1.0227335691452026,1.0162278413772583,0.0650569200515747,3.819623470306397,0.0,0.9897572019781384,0.6145,67.20121822800002,70.00126898750003,8.971
r0-E,0,E,250,240000,1.8030203580856323,1.7972875833511353,0.0573275797069072,1.651551365852356,0.0002683710764094,1.838725996017456,0.1918333333333333,21.844827268999666,91.02011362083196,9.004
r0-E,0,E,500,480000,1.4846709966659546,1.4774526357650757,0.0721838027238845,3.261474370956421,0.0001623869018208,1.471459968294416,0.3363333333333334,42.24804834699984,88.016767389583,8.984
r0-E,0,E,1000,960000,1.1353625059127808,1.128569483757019,0.067930094897747,2.7240445613861084,0.0,1.098390062740871,0.567,82.45962977599902,85.89544768333232,8.971
r1-L,1,L,250,240000,1.8062689304351809,1.7993202209472656,0.0694876387715339,1.813811182975769,0.0002683710764094,1.7843899522508897,0.2146666666666667,18.71781091699995,77.99087882083313,8.92
r1-L,1,L,500,480000,1.4817767143249512,1.4747554063796997,0.0702130272984504,2.420231819152832,0.0001623869018208,1.4434983415603635,0.3408333333333333,34.68890556800022,72.26855326666714,8.986
r1-L,1,L,1000,960000,1.2506884336471558,1.2438093423843384,0.068790465593338,2.2875943183898926,0.0,1.2383552940232414,0.4566666666666666,67.1684196630003,69.96710381562531,9.008
r1-E,1,E,250,240000,1.8038650751113887,1.7973363399505615,0.065287098288536,1.5356049537658691,0.0002683710764094,1.7690835074016025,0.2221666666666666,21.306444481999332,88.77685200833056,8.92
r1-E,1,E,500,480000,1.371410608291626,1.3639981746673584,0.0741240978240966,2.445762872695923,0.0001623869018208,1.3416403388295854,0.4208333333333334,41.21246937099954,85.85931118958239,8.986
r1-E,1,E,1000,960000,0.904616355895996,0.8978480696678162,0.0676827281713485,2.9124317169189453,0.0,0.8343785676956177,0.6758333333333334,80.89936920400004,84.27017625416671,9.008
r2-L,2,L,250,240000,1.7106497287750244,1.7029999494552612,0.0764975994825363,4.409163475036621,0.0002683710764094,1.719067236627851,0.2451666666666666,17.188492701000257,71.61871958750108,9.004
r2-L,2,L,500,480000,1.1565020084381104,1.146934151649475,0.0956791043281555,3.4992923736572266,0.0001623869018208,1.1662104345389777,0.5238333333333334,32.568459521000364,67.85095733541743,8.882
r2-L,2,L,1000,960000,0.6813213229179382,0.6736735105514526,0.0764782428741455,4.383846282958984,0.0,0.7165889191286905,0.7306666666666667,64.36164519000033,67.04338040625035,8.941
r2-E,2,E,250,240000,1.7491458654403689,1.741506814956665,0.076390340924263,3.89004898071289,0.0002683710764094,1.765184175355094,0.2188333333333333,21.562316401000203,89.84298500416752,9.004
r2-E,2,E,500,480000,1.239655375480652,1.2307413816452026,0.0891400575637817,3.6200454235076895,0.0001623869018208,1.2202669297627042,0.5076666666666666,40.98884780300023,85.39343292291714,8.882
r2-E,2,E,1000,960000,0.7518144249916077,0.7442725300788879,0.0754190310835838,3.7209322452545166,0.0,0.7858240938186645,0.7005000000000001,80.78088705599839,84.14675734999832,8.941
