run,receiver,source,mean_weight
r0-E,0,0,0.0
r0-E,0,1,0.0
r0-E,0,2,0.0005394566105678
r0-E,0,3,0.0028485534712672
r0-E,0,4,0.0009518060833215
r0-E,0,5,0.0006064813933335
r0-E,0,6,0.0005155670223757
r0-E,0,7,0.0011407800484448
r0-E,1,0,0.0
r0-E,1,1,0.0
r0-E,1,2,0.0
r0-E,1,3,0.0006101469043642
r0-E,1,4,0.0002421635581413
r0-E,1,5,0.0002763799857348
r0-E,1,6,0.0001808704691939
r0-E,1,7,0.0001785144559107
r0-E,2,0,0.0012488719075918
r0-E,2,1,0.0
r0-E,2,2,0.0
r0-E,2,3,0.0
r0-E,2,4,0.0005630436353385
r0-E,2,5,0.0004474510496947
r0-E,2,6,0.000572325894609
r0-E,2,7,0.0003635205794125
r0-E,3,0,0.0063709546811878
r0-E,3,1,0.0013795207487419
r0-E,3,2,0.0
r0-E,3,3,0.0
r0-E,3,4,0.0
r0-E,3,5,0.0009524580673314
r0-E,3,6,0.0008974902448244
r0-E,3,7,0.0008087684982456
r0-E,4,0,0.002826235955581
r0-E,4,1,0.0009094540728256
r0-E,4,2,0.0010136164491996
r0-E,4,3,0.0
r0-E,4,4,0.0
r0-E,4,5,0.0
r0-E,4,6,0.0009580804617144
r0-E,4,7,0.0006276572821661
r0-E,5,0,0.0007975701591931
r0-E,5,1,0.0004466155660338
r0-E,5,2,0.0003831996873486
r0-E,5,3,0.0004495361354202
r0-E,5,4,0.0
r0-E,5,5,0.0
r0-E,5,6,0.0
r0-E,5,7,0.0002823344257194
r0-E,6,0,0.0008103497093543
r0-E,6,1,0.0003349804319441
r0-E,6,2,0.0004441190394572
r0-E,6,3,0.0003214458411093
r0-E,6,4,0.0004139148804824
r0-E,6,5,0.0
r0-E,6,6,0.0
r0-E,6,7,0.0
r0-E,7,0,0.0042217760346829
r0-E,7,1,0.0010247505269944
r0-E,7,2,0.0009351306362077
r0-E,7,3,0.0010375761194154
r0-E,7,4,0.0009104491327889
r0-E,7,5,0.0008656676509417
r0-E,7,6,0.0
r0-E,7,7,0.0
r1-E,0,0,0.0
r1-E,0,1,0.0
r1-E,0,2,0.0008722019847482
r1-E,0,3,0.000850522192195
r1-E,0,4,0.0019554311875253
r1-E,0,5,0.0009180663037113
r1-E,0,6,0.0008840740192681
r1-E,0,7,0.0072251809760928
r1-E,1,0,0.0
r1-E,1,1,0.0
r1-E,1,2,0.0
r1-E,1,3,6.585494702449068e-05
r1-E,1,4,5.412860991782509e-05
r1-E,1,5,5.191985110286623e-05
r1-E,1,6,7.359723531408235e-05
r1-E,1,7,8.838077337713912e-05
r1-E,2,0,0.0004928117268718
r1-E,2,1,0.0
r1-E,2,2,0.0
r1-E,2,3,0.0
r1-E,2,4,0.0008645174675621
r1-E,2,5,0.0004112547030672
r1-E,2,6,0.0003304098499938
r1-E,2,7,0.0004798791196662
r1-E,3,0,0.0003140304179396
r1-E,3,1,0.0002117879485012
r1-E,3,2,0.0
r1-E,3,3,0.0
r1-E,3,4,0.0
r1-E,3,5,0.0002367754350416
r1-E,3,6,0.0002413541078567
r1-E,3,7,0.000375705276383
r1-E,4,0,0.0018423680448904
r1-E,4,1,0.0006248622084967
r1-E,4,2,0.0014177686534821
r1-E,4,3,0.0
r1-E,4,4,0.0
r1-E,4,5,0.0
r1-E,4,6,0.000835545186419
r1-E,4,7,0.0033132501412183
r1-E,5,0,0.0004400951147545
r1-E,5,1,0.0002192254323745
r1-E,5,2,0.0002516412350814
r1-E,5,3,0.0002389848523307
r1-E,5,4,0.0
r1-E,5,5,0.0
r1-E,5,6,0.0
r1-E,5,7,0.000435995432781
r1-E,6,0,0.0002929881447926
r1-E,6,1,0.0001811818219721
r1-E,6,2,0.0001642446150071
r1-E,6,3,0.0001972286117961
r1-E,6,4,0.000231493890169
r1-E,6,5,0.0
r1-E,6,6,0.0
r1-E,6,7,0.0
r1-E,7,0,0.0072837080806493
r1-E,7,1,0.0007375901332125
r1-E,7,2,0.0009293043985962
r1-E,7,3,0.0010951925069093
r1-E,7,4,0.0033566842321306
r1-E,7,5,0.0010331770172342
r1-E,7,6,0.0
r1-E,7,7,0.0
r2-E,0,0,0.0
r2-E,0,1,0.0
r2-E,0,2,0.0005295174778439
r2-E,0,3,0.0012197538744658
r2-E,0,4,0.0008730196859687
r2-E,0,5,0.0005079865804873
r2-E,0,6,0.0017450249288231
r2-E,0,7,0.0032155471853911
r2-E,1,0,0.0
r2-E,1,1,0.0
r2-E,1,2,0.0
r2-E,1,3,0.0001375289721181
r2-E,1,4,0.000103752274299
r2-E,1,5,0.0001101588131859
r2-E,1,6,9.768575546331704e-05
r2-E,1,7,8.7457534391433e-05
r2-E,2,0,0.000497800996527
r2-E,2,1,0.0
r2-E,2,2,0.0
r2-E,2,3,0.0
r2-E,2,4,0.0003029840590897
r2-E,2,5,0.000267902330961
r2-E,2,6,0.0004162752302363
r2-E,2,7,0.0002722433418966
r2-E,3,0,0.002218599896878
r2-E,3,1,0.0006312201730906
r2-E,3,2,0.0
r2-E,3,3,0.0
r2-E,3,4,0.0
r2-E,3,5,0.0006913321558386
r2-E,3,6,0.0010119882645085
r2-E,3,7,0.0006511411629617
r2-E,4,0,0.0020901549141854
r2-E,4,1,0.0005875189672224
r2-E,4,2,0.0005978975677862
r2-E,4,3,0.0
r2-E,4,4,0.0
r2-E,4,5,0.0
r2-E,4,6,0.0008054868085309
r2-E,4,7,0.0006397253018803
r2-E,5,0,0.0005019131349399
r2-E,5,1,0.0002990552748087
r2-E,5,2,0.0002766296092886
r2-E,5,3,0.0003991608973592
r2-E,5,4,0.0
r2-E,5,5,0.0
r2-E,5,6,0.0
r2-E,5,7,0.0002537145337555
r2-E,6,0,0.0035470130387693
r2-E,6,1,0.0004986679414287
r2-E,6,2,0.0007307568448595
r2-E,6,3,0.0011810830328613
r2-E,6,4,0.000821182038635
r2-E,6,5,0.0
r2-E,6,6,0.0
r2-E,6,7,0.0
r2-E,7,0,0.0088280420750379
r2-E,7,1,0.0008397520869038
r2-E,7,2,0.0008667603251524
r2-E,7,3,0.0011713292915374
r2-E,7,4,0.0010153774637728
r2-E,7,5,0.0007947110570967
r2-E,7,6,0.0
r2-E,7,7,0.0
