run,intervention,mean_delta_nll,bootstrap_95_lower,bootstrap_95_upper,positive_fraction
r0-E,plastic_diffusion_off,-0.0002601323127746,-0.0004631871610879,-4.760585874319079e-05,0.47
r0-E,plasticity_off,-0.0002601323127746,-0.0004573570355772,-5.659425705671316e-05,0.47
r0-E,topology_shuffled,-0.0001191446781158,-0.0001922653257846,-4.6853007376194016e-05,0.463
r0-E,local_diffusion_off,0.189648178577423,0.1815512252822518,0.1977912270858883,0.945
r1-E,plastic_diffusion_off,0.0007457763254642,0.0002972372703254,0.001176253324747,0.529
r1-E,plasticity_off,0.0007457763254642,0.0003098660737276,0.0011588291719555,0.529
r1-E,topology_shuffled,-2.137181162834168e-05,-0.0003077132262289,0.0002684122838079,0.544
r1-E,local_diffusion_off,0.4560790415406227,0.4420650181792676,0.4699849415086209,0.988
r2-E,plastic_diffusion_off,0.0002608938515186,-2.168619781732559e-05,0.0005553565271198,0.518
r2-E,plasticity_off,0.0002608938515186,-1.664060279726982e-05,0.0005545689463615,0.518
r2-E,topology_shuffled,4.298990964889526e-05,-5.40508508682251e-05,0.0001400933496654,0.515
r2-E,local_diffusion_off,0.377420381963253,0.3640659349411725,0.3901306717276573,0.989
