run,task,receiver,source,mean_weight
r0-E,REVERSE,0,0,0.0
r0-E,REVERSE,0,1,0.0
r0-E,REVERSE,0,2,0.0005665324861183
r0-E,REVERSE,0,3,0.0026088166050612
r0-E,REVERSE,0,4,0.0010271853534504
r0-E,REVERSE,0,5,0.0006094084819778
r0-E,REVERSE,0,6,0.0005521282437257
r0-E,REVERSE,0,7,0.0012074800906702
r0-E,REVERSE,1,0,0.0
r0-E,REVERSE,1,1,0.0
r0-E,REVERSE,1,2,0.0
r0-E,REVERSE,1,3,0.0005440026288852
r0-E,REVERSE,1,4,0.0002429819869576
r0-E,REVERSE,1,5,0.0002586508344393
r0-E,REVERSE,1,6,0.0001810014364309
r0-E,REVERSE,1,7,0.0001696148683549
r0-E,REVERSE,2,0,0.0011454827617853
r0-E,REVERSE,2,1,0.0
r0-E,REVERSE,2,2,0.0
r0-E,REVERSE,2,3,0.0
r0-E,REVERSE,2,4,0.0005452578770928
r0-E,REVERSE,2,5,0.0004156926006544
r0-E,REVERSE,2,6,0.0005479655810631
r0-E,REVERSE,2,7,0.0003375368542037
r0-E,REVERSE,3,0,0.0055952044203877
r0-E,REVERSE,3,1,0.0012382171116769
r0-E,REVERSE,3,2,0.0
r0-E,REVERSE,3,3,0.0
r0-E,REVERSE,3,4,0.0
r0-E,REVERSE,3,5,0.000832452904433
r0-E,REVERSE,3,6,0.0007843651692382
r0-E,REVERSE,3,7,0.0007021382334642
r0-E,REVERSE,4,0,0.002911944175139
r0-E,REVERSE,4,1,0.0009325833525508
r0-E,REVERSE,4,2,0.0010473378933966
r0-E,REVERSE,4,3,0.0
r0-E,REVERSE,4,4,0.0
r0-E,REVERSE,4,5,0.0
r0-E,REVERSE,4,6,0.0009864339372143
r0-E,REVERSE,4,7,0.0006335527286864
r0-E,REVERSE,5,0,0.0006790945190005
r0-E,REVERSE,5,1,0.0003913755062967
r0-E,REVERSE,5,2,0.0003352706262376
r0-E,REVERSE,5,3,0.0003942022449336
r0-E,REVERSE,5,4,0.0
r0-E,REVERSE,5,5,0.0
r0-E,REVERSE,5,6,0.0
r0-E,REVERSE,5,7,0.000245659117354
r0-E,REVERSE,6,0,0.0007961826049722
r0-E,REVERSE,6,1,0.0003242760431021
r0-E,REVERSE,6,2,0.0004429750260896
r0-E,REVERSE,6,3,0.0003108412784058
r0-E,REVERSE,6,4,0.0004150020249653
r0-E,REVERSE,6,5,0.0
r0-E,REVERSE,6,6,0.0
r0-E,REVERSE,6,7,0.0
r0-E,REVERSE,7,0,0.0044139456003904
r0-E,REVERSE,7,1,0.0010264124721288
r0-E,REVERSE,7,2,0.0009509929805062
r0-E,REVERSE,7,3,0.0010405115317553
r0-E,REVERSE,7,4,0.0009239940554834
r0-E,REVERSE,7,5,0.0008671879768371
r0-E,REVERSE,7,6,0.0
r0-E,REVERSE,7,7,0.0
r0-E,ROTATE,0,0,0.0
r0-E,ROTATE,0,1,0.0
r0-E,ROTATE,0,2,0.0006314978818409
r0-E,ROTATE,0,3,0.0027467079926282
r0-E,ROTATE,0,4,0.001176104764454
r0-E,ROTATE,0,5,0.000628599722404
r0-E,ROTATE,0,6,0.0005932393250986
r0-E,ROTATE,0,7,0.0012621300993487
r0-E,ROTATE,1,0,0.0
r0-E,ROTATE,1,1,0.0
r0-E,ROTATE,1,2,0.0
r0-E,ROTATE,1,3,0.0005705512594431
r0-E,ROTATE,1,4,0.0002567832416389
r0-E,ROTATE,1,5,0.0002753260487224
r0-E,ROTATE,1,6,0.0001940303627634
r0-E,ROTATE,1,7,0.0001802843180485
r0-E,ROTATE,2,0,0.0013227963354438
r0-E,ROTATE,2,1,0.0
r0-E,ROTATE,2,2,0.0
r0-E,ROTATE,2,3,0.0
r0-E,ROTATE,2,4,0.00057741580531
r0-E,ROTATE,2,5,0.0004433870199136
r0-E,ROTATE,2,6,0.0005881118122488
r0-E,ROTATE,2,7,0.0003648521087598
r0-E,ROTATE,3,0,0.0060671376995742
r0-E,ROTATE,3,1,0.0013086349936202
r0-E,ROTATE,3,2,0.0
r0-E,ROTATE,3,3,0.0
r0-E,ROTATE,3,4,0.0
r0-E,ROTATE,3,5,0.0008724888903088
r0-E,ROTATE,3,6,0.0008317296742461
r0-E,ROTATE,3,7,0.0007437440799549
r0-E,ROTATE,4,0,0.0034178046043962
r0-E,ROTATE,4,1,0.0010155100608244
r0-E,ROTATE,4,2,0.0011365741956979
r0-E,ROTATE,4,3,0.0
r0-E,ROTATE,4,4,0.0
r0-E,ROTATE,4,5,0.0
r0-E,ROTATE,4,6,0.0010673865908756
r0-E,ROTATE,4,7,0.0006886696792207
r0-E,ROTATE,5,0,0.0006805173470638
r0-E,ROTATE,5,1,0.0003989477700088
r0-E,ROTATE,5,2,0.000339098914992
r0-E,ROTATE,5,3,0.0003981005284003
r0-E,ROTATE,5,4,0.0
r0-E,ROTATE,5,5,0.0
r0-E,ROTATE,5,6,0.0
r0-E,ROTATE,5,7,0.0002469508908689
r0-E,ROTATE,6,0,0.0008238822338171
r0-E,ROTATE,6,1,0.0003311912005301
r0-E,ROTATE,6,2,0.0004463849181775
r0-E,ROTATE,6,3,0.0003132981946691
r0-E,ROTATE,6,4,0.0004133043694309
r0-E,ROTATE,6,5,0.0
r0-E,ROTATE,6,6,0.0
r0-E,ROTATE,6,7,0.0
r0-E,ROTATE,7,0,0.0045182551257312
r0-E,ROTATE,7,1,0.0010441204067319
r0-E,ROTATE,7,2,0.0009783981367945
r0-E,ROTATE,7,3,0.0010628856252878
r0-E,ROTATE,7,4,0.0009420086280442
r0-E,ROTATE,7,5,0.000880105770193
r0-E,ROTATE,7,6,0.0
r0-E,ROTATE,7,7,0.0
r0-E,INC,0,0,0.0
r0-E,INC,0,1,0.0
r0-E,INC,0,2,0.0004612735356204
r0-E,INC,0,3,0.0030980033334344
r0-E,INC,0,4,0.000707997533027
r0-E,INC,0,5,0.0006228892016224
r0-E,INC,0,6,0.0004375614516902
r0-E,INC,0,7,0.0010334851685911
r0-E,INC,1,0,0.0
r0-E,INC,1,1,0.0
r0-E,INC,1,2,0.0
r0-E,INC,1,3,0.0007952741580083
r0-E,INC,1,4,0.0002600848383735
