run,replicate,variant,task_id,task,nll,ppl,token_accuracy,exact_match,examples
r0-L,0,L,0,REVERSE,1.0029355437414986,2.726273187421363,0.615,0.04,100
r0-L,0,L,1,ROTATE,0.8273703391211373,2.287296012027217,0.6866666666666666,0.04,100
r0-L,0,L,2,INC,1.169843316759382,3.221487845827959,0.5116666666666667,0.0,100
r0-L,0,L,3,SWAP,0.990855165209089,2.693536906780112,0.6016666666666667,0.01,100
r0-L,0,L,4,REVERSE_ROTATE,1.0028621986934116,2.726073236116142,0.6,0.02,100
r0-L,0,L,5,REVERSE_INC,1.074234287398202,2.9277502267779387,0.5966666666666667,0.02,100
r0-L,0,L,6,REVERSE_SWAP,1.0568823841639927,2.877386405880108,0.5783333333333334,0.02,100
r0-L,0,L,7,ROTATE_INC,0.8877767535618374,2.4297217717181945,0.6766666666666666,0.02,100
r0-L,0,L,8,ROTATE_SWAP,1.0739724830218724,2.926983829283255,0.5666666666666667,0.02,100
r0-L,0,L,9,INC_SWAP,0.8108395481109619,2.2497960060109388,0.7116666666666667,0.07,100
r0-E,0,E,0,REVERSE,1.0543746812003,2.870179815233352,0.5933333333333334,0.0,100
r0-E,0,E,1,ROTATE,0.9180463443483624,2.504392886160085,0.6633333333333333,0.03,100
r0-E,0,E,2,INC,1.263149230139596,3.53654135128323,0.485,0.0,100
r0-E,0,E,3,SWAP,1.043289645739964,2.8385394614172803,0.575,0.0,100
r0-E,0,E,4,REVERSE_ROTATE,1.1965364170074464,3.308637313994637,0.5033333333333333,0.0,100
r0-E,0,E,5,REVERSE_INC,1.1869561086382183,3.2770909017066416,0.545,0.03,100
r0-E,0,E,6,REVERSE_SWAP,1.17820839541299,3.2485488710437567,0.5266666666666666,0.02,100
r0-E,0,E,7,ROTATE_INC,1.0215113612583706,2.7773892319722715,0.6166666666666667,0.02,100
r0-E,0,E,8,ROTATE_SWAP,1.1810889904839652,3.2579201158101685,0.5283333333333333,0.01,100
r0-E,0,E,9,INC_SWAP,0.9407394531794956,2.561875104788454,0.6333333333333333,0.06,100
r1-L,1,L,0,REVERSE,1.0283710132326398,2.7965066499538462,0.625,0.06,100
r1-L,1,L,1,ROTATE,1.015520601953779,2.760800301347196,0.5833333333333334,0.0,100
r1-L,1,L,2,INC,1.5570876639229911,4.744982120214606,0.285,0.0,100
r1-L,1,L,3,SWAP,1.0701854038238523,2.91592007259484,0.575,0.02,100
r1-L,1,L,4,REVERSE_ROTATE,1.1901069348199027,3.287432729614684,0.52,0.01,100
r1-L,1,L,5,REVERSE_INC,1.4593910237721035,4.303338099629059,0.2883333333333333,0.0,100
r1-L,1,L,6,REVERSE_SWAP,1.178635405812945,3.2499363314053733,0.5033333333333333,0.0,100
r1-L,1,L,7,ROTATE_INC,1.2952338314056395,3.6518497914826544,0.345,0.0,100
r1-L,1,L,8,ROTATE_SWAP,1.2387627363204956,3.4513406036053595,0.5066666666666667,0.0,100
r1-L,1,L,9,INC_SWAP,1.3502583251680649,3.8584221295132246,0.335,0.0,100
r1-E,1,E,0,REVERSE,0.8513736987113952,2.3428630303158995,0.6333333333333333,0.04,100
r1-E,1,E,1,ROTATE,0.6586214876174927,1.932127036706488,0.7716666666666666,0.11,100
r1-E,1,E,2,INC,1.15232777765819,3.165553043639445,0.5066666666666667,0.0,100
r1-E,1,E,3,SWAP,0.7086138960293361,2.0311738883220225,0.7483333333333333,0.14,100
r1-E,1,E,4,REVERSE_ROTATE,0.9316229254858834,2.5386258367683743,0.6666666666666666,0.06,100
