phase,step,cell,alive,activity,memory_norm,in_degree,out_degree,parent,birth_step,replicate,variant
language,100,0,1,2.9324727058410645,0.1887724548578262,1,1,0,0,0,F
language,100,1,1,0.0187526158988475,0.2080164551734924,2,2,1,0,0,F
language,100,2,1,0.0283519756048917,0.1929266899824142,2,2,2,0,0,F
language,100,3,1,0.0204228609800338,0.1805669963359832,1,1,3,0,0,F
language,250,0,1,2.8841776847839355,0.1748982816934585,1,1,0,0,0,F
language,250,1,1,0.0282533839344978,0.2045574337244033,2,2,1,0,0,F
language,250,2,1,0.0505959056317806,0.1877090632915496,2,2,2,0,0,F
language,250,3,1,0.0369731783866882,0.1752498894929886,1,1,3,0,0,F
language,500,0,1,2.8763558864593506,0.1698505580425262,1,1,0,0,0,F
language,500,1,1,0.0432547405362129,0.2021598815917968,2,2,1,0,0,F
language,500,2,1,0.0655533373355865,0.1825298219919204,2,2,2,0,0,F
language,500,3,1,0.0148360813036561,0.1751408278942108,1,1,3,0,0,F
language,750,0,1,2.7532613277435303,0.1680874228477478,1,1,0,0,0,F
language,750,1,1,0.10236456990242,0.2012207806110382,2,2,1,0,0,F
language,750,2,1,0.0967618823051452,0.1809386909008026,2,2,2,0,0,F
language,750,3,1,0.0476120635867118,0.1789865493774414,1,1,3,0,0,F
language,1000,0,1,2.7246007919311523,0.1679422855377197,1,1,0,0,0,F
language,1000,1,1,0.0718379542231559,0.2008948177099228,2,2,1,0,0,F
language,1000,2,1,0.125220313668251,0.1807020157575607,2,2,2,0,0,F
language,1000,3,1,0.0783409625291824,0.1793272048234939,1,1,3,0,0,F
language,100,0,1,2.9324727058410645,0.1887724548578262,1,1,0,0,0,G
language,100,1,1,0.0187526158988475,0.2080164551734924,2,2,1,0,0,G
language,100,2,1,0.0283519756048917,0.1929266899824142,2,2,2,0,0,G
language,100,3,1,0.0204228609800338,0.1805669963359832,1,1,3,0,0,G
language,250,0,1,2.8841776847839355,0.1748982816934585,1,1,0,0,0,G
language,250,1,1,0.0282533839344978,0.2045574337244033,2,2,1,0,0,G
language,250,2,1,0.0505959056317806,0.1877090632915496,2,2,2,0,0,G
language,250,3,1,0.0369731783866882,0.1752498894929886,1,1,3,0,0,G
language,500,0,1,2.867518186569214,0.170432835817337,2,1,0,0,0,G
language,500,1,1,0.03019898571074,0.2035010904073715,3,3,1,0,0,G
language,500,2,1,0.0346456728875637,0.1805017292499542,2,2,2,0,0,G
language,500,3,1,0.0123341940343379,0.1679221540689468,1,2,3,0,0,G
language,500,4,1,0.0553029030561447,0.2047635167837143,1,1,1,400,0,G
language,750,0,1,2.7641446590423584,0.168693259358406,3,1,0,0,0,G
language,750,1,1,0.0139760095626115,0.1999624818563461,4,4,1,0,0,G
language,750,2,1,0.0619613416492939,0.1781715005636215,2,2,2,0,0,G
language,750,3,1,0.0256286039948463,0.168386697769165,1,2,3,0,0,G
language,750,4,1,0.0572164356708526,0.2023218423128128,1,2,1,400,0,G
