phase,step,receiver,source,protected,replicate,variant
language,100,0,1,1,0,F
language,100,1,0,1,0,F
language,100,1,2,1,0,F
language,100,2,1,1,0,F
language,100,2,3,1,0,F
language,100,3,2,1,0,F
language,250,0,1,1,0,F
language,250,1,0,1,0,F
language,250,1,2,1,0,F
language,250,2,1,1,0,F
language,250,2,3,1,0,F
language,250,3,2,1,0,F
language,500,0,1,1,0,F
language,500,1,0,1,0,F
language,500,1,2,1,0,F
language,500,2,1,1,0,F
language,500,2,3,1,0,F
language,500,3,2,1,0,F
language,750,0,1,1,0,F
language,750,1,0,1,0,F
language,750,1,2,1,0,F
language,750,2,1,1,0,F
language,750,2,3,1,0,F
language,750,3,2,1,0,F
language,1000,0,1,1,0,F
language,1000,1,0,1,0,F
language,1000,1,2,1,0,F
language,1000,2,1,1,0,F
language,1000,2,3,1,0,F
language,1000,3,2,1,0,F
language,100,0,1,1,0,G
language,100,1,0,1,0,G
language,100,1,2,1,0,G
language,100,2,1,1,0,G
language,100,2,3,1,0,G
language,100,3,2,1,0,G
language,250,0,1,1,0,G
language,250,1,0,1,0,G
language,250,1,2,1,0,G
language,250,2,1,1,0,G
language,250,2,3,1,0,G
language,250,3,2,1,0,G
language,500,0,1,1,0,G
language,500,0,3,0,0,G
language,500,1,0,1,0,G
language,500,1,2,1,0,G
language,500,1,4,1,0,G
language,500,2,1,1,0,G
language,500,2,3,1,0,G
language,500,3,2,1,0,G
language,500,4,1,1,0,G
language,750,0,1,1,0,G
language,750,0,3,0,0,G
language,750,0,4,0,0,G
language,750,1,0,1,0,G
language,750,1,2,1,0,G
language,750,1,4,1,0,G
language,750,1,5,1,0,G
language,750,2,1,1,0,G
language,750,2,3,1,0,G
language,750,3,2,1,0,G
language,750,4,1,1,0,G
language,750,5,1,1,0,G
language,1000,0,1,1,0,G
language,1000,0,3,0,0,G
language,1000,0,4,0,0,G
language,1000,1,0,1,0,G
language,1000,1,2,1,0,G
language,1000,1,4,1,0,G
language,1000,1,5,1,0,G
language,1000,1,6,1,0,G
language,1000,2,1,1,0,G
language,1000,2,3,1,0,G
language,1000,3,2,1,0,G
language,1000,4,1,1,0,G
language,1000,5,1,1,0,G
language,1000,6,1,1,0,G
language,100,0,1,1,1,F
