replicate,step,skill_nll,language_nll,alive_cells,edges
0,1,9.204786028180804,4.753634691238403,7,14
0,25,6.760659558432443,7.434135377407074,7,14
0,50,6.564832823617118,7.14449343085289,7,14
0,100,6.485198429652622,7.239451020956039,8,16
0,150,6.4621396745954245,7.41724818944931,8,16
0,200,6.435278211321149,7.306396573781967,9,18
1,1,9.069359302520752,4.631578683853149,7,14
1,25,6.423332691192627,7.321946054697037,7,14
1,50,6.265604223523821,7.224520415067673,7,14
1,100,6.202079159872873,7.375681072473526,8,16
1,150,6.180685860770089,7.466836184263229,8,16
1,200,6.165267467498779,7.369427353143692,9,18
2,1,9.253552981785363,4.768221974372864,7,14
2,25,6.609033584594727,7.258684605360031,7,14
2,50,6.430745601654053,7.051532030105591,7,14
2,100,6.365882805415562,6.863919824361801,7,14
2,150,6.339420318603516,6.654580384492874,7,14
2,200,6.327997548239572,6.520311921834946,7,14
