replicate,comparison,metric,ratio
0,G_over_T,final_nll,1.0535281112129675
0,G_over_T,parameters,1.001457725947522
0,G_over_T,core_seconds_per_million_tokens,5.717291277638543
0,G_over_T,wall_seconds_per_million_tokens,5.721854615114394
0,G_over_T,peak_vram_gib,11.0498883295519
0,F_over_T,final_nll,1.054178428495057
0,F_over_T,parameters,1.001457725947522
0,F_over_T,core_seconds_per_million_tokens,5.468187965253301
0,F_over_T,wall_seconds_per_million_tokens,5.277835406684671
0,F_over_T,peak_vram_gib,4.339504750425411
0,G_over_F,final_nll,0.9993831051134124
0,G_over_F,parameters,1.0
0,G_over_F,core_seconds_per_million_tokens,1.045555001760753
0,G_over_F,wall_seconds_per_million_tokens,1.0841290366628993
0,G_over_F,peak_vram_gib,2.546347789680068
1,G_over_T,final_nll,1.0541867239375011
1,G_over_T,parameters,1.001457725947522
1,G_over_T,core_seconds_per_million_tokens,5.546046804561538
1,G_over_T,wall_seconds_per_million_tokens,5.571244271190676
1,G_over_T,peak_vram_gib,9.587776517300057
1,F_over_T,final_nll,1.053815843148206
1,F_over_T,parameters,1.001457725947522
1,F_over_T,core_seconds_per_million_tokens,5.310655744115686
1,F_over_T,wall_seconds_per_million_tokens,5.151654772711445
1,F_over_T,peak_vram_gib,4.339504750425411
1,G_over_F,final_nll,1.0003519407984862
1,G_over_F,parameters,1.0
1,G_over_F,core_seconds_per_million_tokens,1.0443242928534144
1,G_over_F,wall_seconds_per_million_tokens,1.081447518708322
1,G_over_F,peak_vram_gib,2.2094172189488086
2,G_over_T,final_nll,1.0523490519709304
2,G_over_T,parameters,1.001457725947522
2,G_over_T,core_seconds_per_million_tokens,6.4125403613411605
2,G_over_T,wall_seconds_per_million_tokens,6.402862295175435
2,G_over_T,peak_vram_gib,9.587776517300057
2,F_over_T,final_nll,1.0520989439475223
2,F_over_T,parameters,1.001457725947522
2,F_over_T,core_seconds_per_million_tokens,6.292945437181862
2,F_over_T,wall_seconds_per_million_tokens,6.063252810982618
2,F_over_T,peak_vram_gib,4.339504750425411
2,G_over_F,final_nll,1.000237722910803
2,G_over_F,parameters,1.0
2,G_over_F,core_seconds_per_million_tokens,1.0190046021140866
2,G_over_F,wall_seconds_per_million_tokens,1.056011104069035
2,G_over_F,peak_vram_gib,2.2094172189488086
