phase,replicate,step,event,receiver,source,parent,child,utility_score,pressure_score,conflict
language,0,300,connect,0.0,3.0,,,2.9447169303894043,,
language,0,400,fork,,,1.0,4.0,0.0173322595655918,1.330549716949463,0.4067432284355163
language,0,600,connect,0.0,4.0,,,2.2505664825439453,,
language,0,700,fork,,,1.0,5.0,0.0178352948278188,1.2112406492233276,0.6189033389091492
language,0,900,fork,,,1.0,6.0,0.1057394966483116,1.1316155195236206,0.6046498417854309
local-skill,0,100,fork,,,1.0,7.0,0.3492347598075866,1.0986979007720947,0.4186560213565826
local-skill,0,200,fork,,,1.0,8.0,0.3253179788589477,1.2128593921661377,0.511271059513092
language,1,500,connect,0.0,3.0,,,3.276988983154297,,
language,1,600,fork,,,1.0,4.0,-0.0664705857634544,1.3946716785430908,0.5168306231498718
language,1,800,fork,,,1.0,5.0,-0.0847953483462333,1.4810734987258911,0.6407802104949951
language,1,900,connect,0.0,2.0,,,4.326975345611572,,
language,1,1000,fork,,,1.0,6.0,0.0577049851417541,1.4996336698532104,0.6733214259147644
local-skill,1,100,fork,,,2.0,7.0,0.2342935055494308,0.5720899105072021,0.3700322806835174
local-skill,1,200,fork,,,2.0,8.0,0.2185901552438736,0.9801065921783448,0.6052834391593933
language,2,300,connect,0.0,3.0,,,3.228490114212036,,
language,2,500,connect,0.0,2.0,,,1.0010532140731812,,
language,2,600,fork,,,1.0,4.0,-0.1778518259525299,1.1033588647842407,0.4088189303874969
language,2,800,fork,,,1.0,5.0,0.1779934465885162,0.9496133327484132,0.619109570980072
language,2,1000,fork,,,1.0,6.0,0.1538576334714889,0.8980188965797424,0.6634873151779175
