replicate,step,skill_nll,language_nll,alive_cells,edges,policy,newborn_cells,base_memory_drift
0,1,9.204786028180804,4.753634691238403,7,14,B,,
0,25,6.760659558432443,7.434135377407074,7,14,B,,
0,50,6.564832823617118,7.14449343085289,7,14,B,,
0,100,6.485198429652622,7.239451020956039,8,16,B,,
0,150,6.4621396745954245,7.41724818944931,8,16,B,,
0,200,6.435278211321149,7.306396573781967,9,18,B,,
0,1,9.99231365748814,4.638216137886047,8,16,L,1.0,0.0
0,25,9.980279105050224,4.640003263950348,8,16,L,1.0,0.0
0,50,8.68502174104963,4.853403866291046,8,17,L,1.0,0.0
0,100,7.289163725716727,5.570533841848373,8,17,L,1.0,0.0
0,150,7.027990273066929,5.562680780887604,8,17,L,1.0,0.0
0,200,6.98032147543771,5.546702176332474,8,17,L,1.0,0.0
1,1,9.069359302520752,4.631578683853149,7,14,B,,
1,25,6.423332691192627,7.321946054697037,7,14,B,,
1,50,6.265604223523821,7.224520415067673,7,14,B,,
1,100,6.202079159872873,7.375681072473526,8,16,B,,
1,150,6.180685860770089,7.466836184263229,8,16,B,,
1,200,6.165267467498779,7.369427353143692,9,18,B,,
1,1,9.915309497288296,4.583033919334412,8,16,L,1.0,0.0
1,25,9.869467462812151,4.593010038137436,8,16,L,1.0,0.0
1,50,9.4712096623012,4.605194300413132,8,17,L,1.0,0.0
1,100,6.992884499686105,5.199121326208115,8,17,L,1.0,0.0
1,150,6.83700772694179,5.418415457010269,8,17,L,1.0,0.0
1,200,6.80231659752982,5.4974930584430695,8,17,L,1.0,0.0
2,1,9.253552981785363,4.768221974372864,7,14,B,,
2,25,6.609033584594727,7.258684605360031,7,14,B,,
2,50,6.430745601654053,7.051532030105591,7,14,B,,
2,100,6.365882805415562,6.863919824361801,7,14,B,,
2,150,6.339420318603516,6.654580384492874,7,14,B,,
2,200,6.327997548239572,6.520311921834946,7,14,B,,
2,1,9.974984986441475,4.653356462717056,8,16,L,1.0,0.0
2,25,9.798845836094449,4.8400169014930725,8,16,L,1.0,0.0
2,50,9.046949114118304,5.5030816197395325,8,17,L,1.0,0.0
2,100,7.717530046190534,6.158829152584076,8,17,L,1.0,0.0
2,150,7.273822716304234,5.891182452440262,8,17,L,1.0,0.0
2,200,7.062877518790109,5.748355180025101,8,17,L,1.0,0.0
