replicate,cell,memory_delta_norm,selected,base_alive,donor_alive,newborn,base_in_degree,donor_in_degree,policy,trainable_tissue
0,0,1.1384578943252563,0.0,1,1,0,3.0,3.0,B,
0,1,0.7334420680999756,1.0,1,1,0,5.0,7.0,B,
0,2,0.4488080143928528,0.0,1,1,0,2.0,2.0,B,
0,3,0.776733934879303,1.0,1,1,0,1.0,1.0,B,
0,4,0.7331176996231079,1.0,1,1,0,1.0,1.0,B,
0,5,0.4010704755783081,0.0,1,1,0,1.0,1.0,B,
0,6,0.6374514698982239,1.0,1,1,0,1.0,1.0,B,
0,7,0.9348434805870056,1.0,0,1,1,0.0,1.0,B,
0,8,0.8073378801345825,1.0,0,1,1,0.0,1.0,B,
0,9,0.0,0.0,0,0,0,0.0,0.0,B,
0,10,0.0,0.0,0,0,0,0.0,0.0,B,
0,11,0.0,0.0,0,0,0,0.0,0.0,B,
0,0,0.0,,1,1,0,,,L,0.0
0,1,0.0,,1,1,0,,,L,0.0
0,2,0.0,,1,1,0,,,L,0.0
0,3,0.0,,1,1,0,,,L,0.0
0,4,0.0,,1,1,0,,,L,0.0
0,5,0.0,,1,1,0,,,L,0.0
0,6,0.0,,1,1,0,,,L,0.0
0,7,2.0741078853607178,,0,1,1,,,L,1.0
0,8,0.0,,0,0,0,,,L,0.0
0,9,0.0,,0,0,0,,,L,0.0
0,10,0.0,,0,0,0,,,L,0.0
0,11,0.0,,0,0,0,,,L,0.0
1,0,1.118910789489746,0.0,1,1,0,3.0,3.0,B,
1,1,0.9455727338790894,1.0,1,1,0,5.0,5.0,B,
1,2,0.960042417049408,1.0,1,1,0,2.0,4.0,B,
1,3,0.9380915760993958,1.0,1,1,0,1.0,1.0,B,
1,4,0.432997316122055,0.0,1,1,0,1.0,1.0,B,
1,5,0.3255155086517334,0.0,1,1,0,1.0,1.0,B,
1,6,0.3309546709060669,0.0,1,1,0,1.0,1.0,B,
1,7,0.6745561957359314,1.0,0,1,1,0.0,1.0,B,
1,8,0.9880461096763612,1.0,0,1,1,0.0,1.0,B,
1,9,0.0,0.0,0,0,0,0.0,0.0,B,
1,10,0.0,0.0,0,0,0,0.0,0.0,B,
1,11,0.0,0.0,0,0,0,0.0,0.0,B,
1,0,0.0,,1,1,0,,,L,0.0
1,1,0.0,,1,1,0,,,L,0.0
1,2,0.0,,1,1,0,,,L,0.0
1,3,0.0,,1,1,0,,,L,0.0
1,4,0.0,,1,1,0,,,L,0.0
1,5,0.0,,1,1,0,,,L,0.0
1,6,0.0,,1,1,0,,,L,0.0
1,7,2.1523995399475098,,0,1,1,,,L,1.0
1,8,0.0,,0,0,0,,,L,0.0
1,9,0.0,,0,0,0,,,L,0.0
1,10,0.0,,0,0,0,,,L,0.0
1,11,0.0,,0,0,0,,,L,0.0
2,0,0.9400263428688048,0.0,1,1,0,3.0,3.0,B,
2,1,0.9494266510009766,1.0,1,1,0,5.0,5.0,B,
2,2,0.9490656852722168,1.0,1,1,0,2.0,2.0,B,
2,3,0.9807912707328796,1.0,1,1,0,1.0,1.0,B,
2,4,0.2753200829029083,0.0,1,1,0,1.0,1.0,B,
2,5,0.2581013739109039,0.0,1,1,0,1.0,1.0,B,
2,6,0.4562415480613708,1.0,1,1,0,1.0,1.0,B,
2,7,0.0,0.0,0,0,0,0.0,0.0,B,
2,8,0.0,0.0,0,0,0,0.0,0.0,B,
2,9,0.0,0.0,0,0,0,0.0,0.0,B,
2,10,0.0,0.0,0,0,0,0.0,0.0,B,
2,11,0.0,0.0,0,0,0,0.0,0.0,B,
2,0,0.0,,1,1,0,,,L,0.0
2,1,0.0,,1,1,0,,,L,0.0
2,2,0.0,,1,1,0,,,L,0.0
2,3,0.0,,1,1,0,,,L,0.0
2,4,0.0,,1,1,0,,,L,0.0
2,5,0.0,,1,1,0,,,L,0.0
2,6,0.0,,1,1,0,,,L,0.0
2,7,2.2927558422088623,,0,1,1,,,L,1.0
2,8,0.0,,0,0,0,,,L,0.0
2,9,0.0,,0,0,0,,,L,0.0
2,10,0.0,,0,0,0,,,L,0.0
2,11,0.0,,0,0,0,,,L,0.0
