replicate,policy,step,skill_nll,language_nll,alive_cells,edges,newborn_cells,base_memory_drift,skill_recruitment,language_recruitment
0,S,1,9.99231365748814,4.638216137886047,8,16,1,0.0,,
0,S,25,9.980279105050224,4.640003263950348,8,16,1,0.0,,
0,S,50,8.68502174104963,4.853403866291046,8,17,1,0.0,,
0,S,100,7.289163725716727,5.570533841848373,8,17,1,0.0,,
0,S,150,7.027990273066929,5.562680780887604,8,17,1,0.0,,
0,S,200,6.98032147543771,5.546702176332474,8,17,1,0.0,,
0,C,1,9.986045156206403,4.638426631689072,8,16,1,0.0,0.7421526089310646,0.2407588846981525
0,C,25,9.97773197719029,4.639001935720444,8,16,1,0.0,0.7945509701967239,0.2604088056832552
0,C,50,8.72988407952445,4.671277463436127,8,17,1,0.0,0.8157567158341408,0.313159042969346
0,C,100,7.311035973685128,5.399665027856827,9,19,2,0.0,0.9014746695756912,0.8060147725045681
0,C,150,6.952966758183071,5.394633203744888,9,19,2,0.0,0.9066388458013536,0.859751895070076
0,C,200,6.906641006469727,5.359673589468002,10,21,3,0.0,0.9013822078704834,0.8425496853888035
1,S,1,9.915309497288296,4.583033919334412,8,16,1,0.0,,
1,S,25,9.869467462812151,4.593010038137436,8,16,1,0.0,,
1,S,50,9.4712096623012,4.605194300413132,8,17,1,0.0,,
1,S,100,6.992884499686105,5.199121326208115,8,17,1,0.0,,
1,S,150,6.83700772694179,5.418415457010269,8,17,1,0.0,,
1,S,200,6.80231659752982,5.4974930584430695,8,17,1,0.0,,
1,C,1,9.909492220197404,4.582892715930939,8,16,1,0.0,0.3263349868357181,0.4408850874751806
1,C,25,9.889473370143346,4.589620560407639,8,16,1,0.0,0.594563364982605,0.6991587281227112
1,C,50,9.759360313415527,4.595780551433563,8,17,1,0.0,0.6931007504463196,0.7982543110847473
1,C,100,7.018327372414725,5.120840698480606,9,19,2,0.0,0.9163739904761314,0.9162366129457952
1,C,150,6.8367471013750345,5.188492506742477,9,19,2,0.0,0.9175207391381264,0.9175531566143036
1,C,200,6.8118727547781805,5.206954389810562,10,21,3,0.0,0.9159679487347604,0.9160303883254528
2,S,1,9.974984986441475,4.653356462717056,8,16,1,0.0,,
2,S,25,9.798845836094449,4.8400169014930725,8,16,1,0.0,,
2,S,50,9.046949114118304,5.5030816197395325,8,17,1,0.0,,
2,S,100,7.717530046190534,6.158829152584076,8,17,1,0.0,,
2,S,150,7.273822716304234,5.891182452440262,8,17,1,0.0,,
2,S,200,7.062877518790109,5.748355180025101,8,17,1,0.0,,
2,C,1,9.972097941807338,4.652583330869675,8,16,1,0.0,0.5816253945231438,0.6431019753217697
2,C,25,9.879978043692452,4.763046145439148,8,16,1,0.0,0.8916099369525909,0.8917238004505634
2,C,50,8.89926106589181,5.477561056613922,8,17,1,0.0,0.9176417887210846,0.9175204709172248
2,C,100,7.617419038500104,5.83236962556839,9,19,2,0.0,0.9178548976778984,0.9178048446774484
2,C,150,7.210872718266079,5.760341972112656,9,19,2,0.0,0.9182770252227784,0.9182775802910328
2,C,200,7.031851087297712,5.65659162402153,10,21,3,0.0,0.9182503446936608,0.9182523861527444
