replicate,policy,cell,memory_delta_norm,base_alive,donor_alive,newborn,trainable_tissue
0,S,0,0.0,1,1,0,0
0,S,1,0.0,1,1,0,0
0,S,2,0.0,1,1,0,0
0,S,3,0.0,1,1,0,0
0,S,4,0.0,1,1,0,0
0,S,5,0.0,1,1,0,0
0,S,6,0.0,1,1,0,0
0,S,7,2.0741078853607178,0,1,1,1
0,S,8,0.0,0,0,0,0
0,S,9,0.0,0,0,0,0
0,S,10,0.0,0,0,0,0
0,S,11,0.0,0,0,0,0
0,C,0,0.0,1,1,0,0
0,C,1,0.0,1,1,0,0
0,C,2,0.0,1,1,0,0
0,C,3,0.0,1,1,0,0
0,C,4,0.0,1,1,0,0
0,C,5,0.0,1,1,0,0
0,C,6,0.0,1,1,0,0
0,C,7,1.998348832130432,0,1,1,1
0,C,8,0.2949564754962921,0,1,1,1
0,C,9,0.2983534932136535,0,1,1,1
0,C,10,0.0,0,0,0,0
0,C,11,0.0,0,0,0,0
1,S,0,0.0,1,1,0,0
1,S,1,0.0,1,1,0,0
1,S,2,0.0,1,1,0,0
1,S,3,0.0,1,1,0,0
1,S,4,0.0,1,1,0,0
1,S,5,0.0,1,1,0,0
1,S,6,0.0,1,1,0,0
1,S,7,2.1523995399475098,0,1,1,1
1,S,8,0.0,0,0,0,0
1,S,9,0.0,0,0,0,0
1,S,10,0.0,0,0,0,0
1,S,11,0.0,0,0,0,0
1,C,0,0.0,1,1,0,0
1,C,1,0.0,1,1,0,0
1,C,2,0.0,1,1,0,0
1,C,3,0.0,1,1,0,0
1,C,4,0.0,1,1,0,0
1,C,5,0.0,1,1,0,0
1,C,6,0.0,1,1,0,0
1,C,7,1.786979079246521,0,1,1,1
1,C,8,0.3057659566402435,0,1,1,1
1,C,9,0.2504947483539581,0,1,1,1
1,C,10,0.0,0,0,0,0
1,C,11,0.0,0,0,0,0
2,S,0,0.0,1,1,0,0
2,S,1,0.0,1,1,0,0
2,S,2,0.0,1,1,0,0
2,S,3,0.0,1,1,0,0
2,S,4,0.0,1,1,0,0
2,S,5,0.0,1,1,0,0
2,S,6,0.0,1,1,0,0
2,S,7,2.2927558422088623,0,1,1,1
2,S,8,0.0,0,0,0,0
2,S,9,0.0,0,0,0,0
2,S,10,0.0,0,0,0,0
2,S,11,0.0,0,0,0,0
2,C,0,0.0,1,1,0,0
2,C,1,0.0,1,1,0,0
2,C,2,0.0,1,1,0,0
2,C,3,0.0,1,1,0,0
2,C,4,0.0,1,1,0,0
2,C,5,0.0,1,1,0,0
2,C,6,0.0,1,1,0,0
2,C,7,2.3149254322052,0,1,1,1
2,C,8,0.4206829965114593,0,1,1,1
2,C,9,0.2368968427181244,0,1,1,1
2,C,10,0.0,0,0,0,0
2,C,11,0.0,0,0,0,0
