replicate,step,tokens,validation_nll,validation_ppl,alive_cells,edges
0,100,102400,6.193845301866531,489.725633115453,4,6
0,250,256000,5.43832802772522,230.05721243907533,4,6
0,500,512000,4.848230630159378,127.51456969140553,5,9
0,750,768000,4.666177123785019,106.29062883895968,6,12
0,1000,1024000,4.638154059648514,103.35338719887304,7,14
1,100,102400,6.193013668060303,489.3185300269862,4,6
1,250,256000,5.376509457826614,216.26607057027363,4,6
1,500,512000,4.80133843421936,121.67316010537934,4,7
1,750,768000,4.611020982265472,100.58679456153683,5,9
1,1000,1024000,4.582965970039368,97.80404831904816,7,14
2,100,102400,6.211165577173233,498.2816987168189,4,6
2,250,256000,5.509465157985687,247.01897560421088,4,6
2,500,512000,4.8801062405109406,131.6446491377039,4,8
2,750,768000,4.681723445653915,107.955968579416,5,10
2,1000,1024000,4.652176767587662,104.81289074217212,7,14
