phase,policy,replicate,step,event,receiver,source,parent,child,utility_score,pressure_score,conflict
language,phase1,0,300,connect,0.0,3.0,,,2.9447169303894043,,
language,phase1,0,400,fork,,,1.0,4.0,0.0173322595655918,1.330549716949463,0.4067432284355163
language,phase1,0,600,connect,0.0,4.0,,,2.2505664825439453,,
language,phase1,0,700,fork,,,1.0,5.0,0.0178352948278188,1.2112406492233276,0.6189033389091492
language,phase1,0,900,fork,,,1.0,6.0,0.1057394966483116,1.1316155195236206,0.6046498417854309
local-skill,S,0,0,localized_fork,,,1.0,7.0,,0.6035858988761902,0.0109496712684631
local-skill,S,0,50,localized_connect,0.0,7.0,,,3.5975043773651123,,
local-skill,C,0,0,localized_fork,,,1.0,7.0,,0.6035858988761902,0.0109496712684631
local-skill,C,0,50,localized_connect,0.0,7.0,,,3.6009984016418457,,
local-skill,C,0,100,localized_fork,,,1.0,8.0,,1.942975997924805,0.0404590368270874
local-skill,C,0,200,localized_fork,,,1.0,9.0,,2.7680346965789795,0.1581379175186157
language,phase1,1,500,connect,0.0,3.0,,,3.276988983154297,,
language,phase1,1,600,fork,,,1.0,4.0,-0.0664705857634544,1.3946716785430908,0.5168306231498718
language,phase1,1,800,fork,,,1.0,5.0,-0.0847953483462333,1.4810734987258911,0.6407802104949951
language,phase1,1,900,connect,0.0,2.0,,,4.326975345611572,,
language,phase1,1,1000,fork,,,1.0,6.0,0.0577049851417541,1.4996336698532104,0.6733214259147644
local-skill,S,1,0,localized_fork,,,2.0,7.0,,0.6382566690444946,0.0023808479309082
local-skill,S,1,50,localized_connect,0.0,7.0,,,3.593792200088501,,
local-skill,C,1,0,localized_fork,,,2.0,7.0,,0.6382566690444946,0.0023808479309082
local-skill,C,1,50,localized_connect,0.0,7.0,,,3.59792423248291,,
local-skill,C,1,100,localized_fork,,,2.0,8.0,,1.2223387956619265,0.4662330150604248
local-skill,C,1,200,localized_fork,,,2.0,9.0,,1.499717354774475,0.1607527136802673
language,phase1,2,300,connect,0.0,3.0,,,3.228490114212036,,
language,phase1,2,500,connect,0.0,2.0,,,1.0010532140731812,,
language,phase1,2,600,fork,,,1.0,4.0,-0.1778518259525299,1.1033588647842407,0.4088189303874969
language,phase1,2,800,fork,,,1.0,5.0,0.1779934465885162,0.9496133327484132,0.619109570980072
language,phase1,2,1000,fork,,,1.0,6.0,0.1538576334714889,0.8980188965797424,0.6634873151779175
local-skill,S,2,0,localized_fork,,,2.0,7.0,,0.5929305553436279,0.0032185316085815
local-skill,S,2,50,localized_connect,0.0,7.0,,,3.180755615234375,,
local-skill,C,2,0,localized_fork,,,2.0,7.0,,0.5929305553436279,0.0032185316085815
local-skill,C,2,50,localized_connect,0.0,7.0,,,3.541271686553955,,
local-skill,C,2,100,localized_fork,,,2.0,8.0,,5.311168670654297,0.7172387838363647
local-skill,C,2,200,localized_fork,,,2.0,9.0,,3.892423868179321,0.1688070893287658
