replicate,policy,step,skill_nll,language_nll,skill_recruitment,language_recruitment,skill_shadow_pressure,language_shadow_pressure,alive_cells,edges,newborn_cells,base_memory_drift
0,N,1,9.986045156206403,4.638426631689072,0.7421526089310646,0.2407588846981525,,,8,16,1,0.0
0,N,25,9.97773197719029,4.639001935720444,0.7945509701967239,0.2604088056832552,,,8,16,1,0.0
0,N,50,8.72988407952445,4.671277463436127,0.8157567158341408,0.313159042969346,,,8,17,1,0.0
0,N,100,7.30996915272304,5.487237125635147,0.908961571753025,0.8563131913542747,,,8,17,1,0.0
0,N,150,6.98265096119472,5.451160401105881,0.911462314426899,0.8804950676858425,,,8,17,1,0.0
0,N,200,6.936309814453125,5.436072111129761,0.9116893038153648,0.8844223618507385,,,8,17,1,0.0
0,P,1,9.993799073355538,4.638041794300079,0.1802636459469795,0.083044059574604,0.0038352373521775,0.0038151998160174,8,16,1,0.0
0,P,25,9.957350049700056,4.658158153295517,0.1802636459469795,0.083044059574604,0.0038352373521775,0.0038151998160174,8,16,1,0.0
0,P,50,9.536468233381,4.690154641866684,0.1802636459469795,0.083044059574604,0.0038352373521775,0.0038151998160174,8,17,1,0.0
0,P,100,8.834466866084508,4.73857581615448,0.1802636459469795,0.083044059574604,0.0038352373521775,0.0038151998160174,8,18,1,0.0
0,P,150,8.441189902169365,4.781259506940842,0.1802636459469795,0.083044059574604,0.0038352373521775,0.0038151998160174,8,19,1,0.0
0,P,200,8.21025630405971,4.819564521312714,0.1802636459469795,0.083044059574604,0.0038352373521775,0.0038151998160174,8,19,1,0.0
1,N,1,9.909492220197404,4.582892715930939,0.3263349868357181,0.4408850874751806,,,8,16,1,0.0
1,N,25,9.889473370143346,4.589620560407639,0.594563364982605,0.6991587281227112,,,8,16,1,0.0
1,N,50,9.759360313415527,4.595780551433563,0.6931007504463196,0.7982543110847473,,,8,17,1,0.0
1,N,100,7.015310151236398,5.133512020111084,0.9179988279938698,0.9179582074284554,,,8,17,1,0.0
1,N,150,6.84458099092756,5.339754462242127,0.9182946160435675,0.9182937517762184,,,8,17,1,0.0
1,N,200,6.80155440739223,5.473649621009827,0.918322280049324,0.9183227382600307,,,8,17,1,0.0
1,P,1,9.909236363002233,4.583033174276352,0.1067249411717057,0.1716131092980504,0.0041958652436733,0.0042311266588512,8,16,1,0.0
1,P,25,9.875652721949988,4.638241052627564,0.1067249411717057,0.1716131092980504,0.0041958652436733,0.0042311266588512,8,16,1,0.0
1,P,50,9.768555232456752,4.671519428491592,0.1067249411717057,0.1716131092980504,0.0041958652436733,0.0042311266588512,8,17,1,0.0
1,P,100,9.176644120897564,4.759185165166855,0.1067249411717057,0.1716131092980504,0.0041958652436733,0.0042311266588512,8,18,1,0.0
1,P,150,8.817074298858643,4.859290689229965,0.1067249411717057,0.1716131092980504,0.0041958652436733,0.0042311266588512,8,18,1,0.0
1,P,200,8.529450961521693,4.950571626424789,0.1067249411717057,0.1716131092980504,0.0041958652436733,0.0042311266588512,8,18,1,0.0
2,N,1,9.972097941807338,4.652583330869675,0.5816253945231438,0.6431019753217697,,,8,16,1,0.0
2,N,25,9.879978043692452,4.763046145439148,0.8916099369525909,0.8917238004505634,,,8,16,1,0.0
2,N,50,8.89926106589181,5.477561056613922,0.9176417887210846,0.9175204709172248,,,8,17,1,0.0
2,N,100,7.590949944087437,5.873713314533234,0.9182659983634948,0.918262790888548,,,8,17,1,0.0
2,N,150,7.215397494179862,5.751189947128296,0.9183239340782166,0.9183241724967957,,,8,17,1,0.0
2,N,200,7.021109104156494,5.673046916723251,0.9183314442634584,0.9183316119015216,,,8,17,1,0.0
2,P,1,9.97202982221331,4.652766764163971,0.1412573270499706,0.2441373523324728,0.0038276075501926,0.003852396417642,8,16,1,0.0
2,P,25,9.929854665483749,4.70246496796608,0.1412573270499706,0.2441373523324728,0.0038276075501926,0.003852396417642,8,16,1,0.0
2,P,50,9.839699881417411,4.767092287540436,0.1412573270499706,0.2441373523324728,0.0038276075501926,0.003852396417642,8,17,1,0.0
2,P,100,9.19409465789795,4.974126130342484,0.1412573270499706,0.2441373523324728,0.0038276075501926,0.003852396417642,8,18,1,0.0
2,P,150,8.852700097220284,5.1817691922187805,0.1412573270499706,0.2441373523324728,0.0038276075501926,0.003852396417642,8,18,1,0.0
2,P,200,8.674147401537214,5.324948251247406,0.1412573270499706,0.2441373523324728,0.0038276075501926,0.003852396417642,8,18,1,0.0
