replicate,policy,cell,memory_delta_norm,base_alive,donor_alive,newborn,trainable_tissue
0,N,0,0.0,1,1,0,0
0,N,1,0.0,1,1,0,0
0,N,2,0.0,1,1,0,0
0,N,3,0.0,1,1,0,0
0,N,4,0.0,1,1,0,0
0,N,5,0.0,1,1,0,0
0,N,6,0.0,1,1,0,0
0,N,7,1.998185515403748,0,1,1,1
0,N,8,0.0,0,0,0,0
0,N,9,0.0,0,0,0,0
0,N,10,0.0,0,0,0,0
0,N,11,0.0,0,0,0,0
0,P,0,0.0,1,1,0,0
0,P,1,0.0,1,1,0,0
0,P,2,0.0,1,1,0,0
0,P,3,0.0,1,1,0,0
0,P,4,0.0,1,1,0,0
0,P,5,0.0,1,1,0,0
0,P,6,0.0,1,1,0,0
0,P,7,4.37827730178833,0,1,1,1
0,P,8,0.0,0,0,0,0
0,P,9,0.0,0,0,0,0
0,P,10,0.0,0,0,0,0
0,P,11,0.0,0,0,0,0
1,N,0,0.0,1,1,0,0
1,N,1,0.0,1,1,0,0
1,N,2,0.0,1,1,0,0
1,N,3,0.0,1,1,0,0
1,N,4,0.0,1,1,0,0
1,N,5,0.0,1,1,0,0
1,N,6,0.0,1,1,0,0
1,N,7,2.1394693851470947,0,1,1,1
1,N,8,0.0,0,0,0,0
1,N,9,0.0,0,0,0,0
1,N,10,0.0,0,0,0,0
1,N,11,0.0,0,0,0,0
1,P,0,0.0,1,1,0,0
1,P,1,0.0,1,1,0,0
1,P,2,0.0,1,1,0,0
1,P,3,0.0,1,1,0,0
1,P,4,0.0,1,1,0,0
1,P,5,0.0,1,1,0,0
1,P,6,0.0,1,1,0,0
1,P,7,4.95557165145874,0,1,1,1
1,P,8,0.0,0,0,0,0
1,P,9,0.0,0,0,0,0
1,P,10,0.0,0,0,0,0
1,P,11,0.0,0,0,0,0
2,N,0,0.0,1,1,0,0
2,N,1,0.0,1,1,0,0
2,N,2,0.0,1,1,0,0
2,N,3,0.0,1,1,0,0
2,N,4,0.0,1,1,0,0
2,N,5,0.0,1,1,0,0
2,N,6,0.0,1,1,0,0
2,N,7,2.2915070056915283,0,1,1,1
2,N,8,0.0,0,0,0,0
2,N,9,0.0,0,0,0,0
2,N,10,0.0,0,0,0,0
2,N,11,0.0,0,0,0,0
2,P,0,0.0,1,1,0,0
2,P,1,0.0,1,1,0,0
2,P,2,0.0,1,1,0,0
2,P,3,0.0,1,1,0,0
2,P,4,0.0,1,1,0,0
2,P,5,0.0,1,1,0,0
2,P,6,0.0,1,1,0,0
2,P,7,4.141064643859863,0,1,1,1
2,P,8,0.0,0,0,0,0
2,P,9,0.0,0,0,0,0
2,P,10,0.0,0,0,0,0
2,P,11,0.0,0,0,0,0
