replicate,policy,intervention,normal_nll,altered_nll,delta_nll,causal_fraction,ablated_language_nll
0,N,recruitment_off_skill,6.936309814453125,9.978476796831403,3.042166982378278,1.0000282144637822,
0,N,recruitment_forced_on_language,5.436072111129761,5.50758570432663,0.0715135931968689,,
0,N,newborn_tissue_off,6.936309814453125,9.978390966142928,3.0420811516898016,1.0,4.638154059648514
0,P,recruitment_off_skill,8.21025630405971,9.978476796831403,1.7682204927716931,1.0000485430721524,
0,P,recruitment_forced_on_language,4.819564521312714,7.050296872854233,2.230732351541519,,
0,P,newborn_tissue_off,8.21025630405971,9.978390966142928,1.7681346620832166,1.0,4.638154059648514
1,N,recruitment_off_skill,6.80155440739223,9.90294987814767,3.10139547075544,1.0000264016358291,
1,N,recruitment_forced_on_language,5.473649621009827,5.45604607462883,-0.0176035463809967,,
1,N,newborn_tissue_off,6.80155440739223,9.902867998395648,3.101313591003418,1.0,4.582965970039368
1,P,recruitment_off_skill,8.529450961521693,9.90294987814767,1.3734989166259766,1.0000596175450165,
1,P,recruitment_forced_on_language,4.950571626424789,7.293028324842453,2.342456698417664,,
1,P,newborn_tissue_off,8.529450961521693,9.902867998395648,1.3734170368739544,1.0,4.582965970039368
2,N,recruitment_off_skill,7.021109104156494,9.968165397644045,2.947056293487549,0.9999519242492586,
2,N,recruitment_forced_on_language,5.673046916723251,5.691617637872696,0.0185707211494445,,
2,N,newborn_tissue_off,7.021109104156494,9.968307086399625,2.9471979822431287,1.0,4.652176767587662
2,P,recruitment_off_skill,8.674147401537214,9.968165397644045,1.2940179961068292,0.9998905167907508,
2,P,recruitment_forced_on_language,5.324948251247406,7.031506985425949,1.706558734178543,,
2,P,newborn_tissue_off,8.674147401537214,9.968307086399625,1.294159684862409,1.0,4.652176767587662
