replicate,family,step,event,receiver,source,parent,child,utility_score,pressure_score,conflict
0,REVERSE_INC,0,localized_fork,,,3.0,7.0,,0.4317232370376587,0.006927490234375
0,REVERSE_INC,50,localized_connect,0.0,7.0,,,3.594372034072876,,
0,MOD_ADD,0,localized_fork,,,3.0,7.0,,0.4502306580543518,0.0039286017417907
0,MOD_ADD,50,localized_connect,0.0,7.0,,,3.593949317932129,,
0,PARITY,0,localized_fork,,,1.0,7.0,,0.8760524988174438,0.0005987286567687
0,PARITY,50,localized_connect,0.0,7.0,,,3.597270965576172,,
0,LOOKUP,0,localized_fork,,,1.0,7.0,,0.4217318296432495,0.0101709365844726
0,LOOKUP,50,localized_connect,0.0,7.0,,,3.5718636512756348,,
0,DELAY_COPY,0,localized_fork,,,3.0,7.0,,0.4411369562149048,0.0131696462631225
0,DELAY_COPY,50,localized_connect,0.0,7.0,,,3.5962305068969727,,
0,LOCAL_RULE,0,localized_fork,,,3.0,7.0,,0.4551906287670135,0.0065461993217468
0,LOCAL_RULE,50,localized_connect,0.0,7.0,,,3.5945425033569336,,
0,RANDOM,0,localized_fork,,,3.0,7.0,,0.4434451758861542,0.011246919631958
1,REVERSE_INC,0,localized_fork,,,2.0,7.0,,0.4249305129051208,0.0127285122871398
1,REVERSE_INC,50,localized_connect,0.0,7.0,,,2.682593822479248,,
1,MOD_ADD,0,localized_fork,,,2.0,7.0,,0.388797253370285,0.0126035809516906
1,MOD_ADD,50,localized_connect,0.0,7.0,,,3.473804712295532,,
1,PARITY,0,localized_fork,,,2.0,7.0,,1.0044020414352417,0.0003333091735839
1,PARITY,50,localized_connect,0.0,7.0,,,3.594508171081543,,
1,LOOKUP,0,localized_fork,,,2.0,7.0,,0.427253246307373,0.0120452046394348
1,LOOKUP,50,localized_connect,0.0,7.0,,,3.581697940826416,,
1,DELAY_COPY,0,localized_fork,,,2.0,7.0,,0.3937932550907135,0.017158031463623
1,DELAY_COPY,50,localized_connect,0.0,7.0,,,3.5479531288146973,,
1,LOCAL_RULE,0,localized_fork,,,2.0,7.0,,0.3856821954250335,0.0014974474906921
1,LOCAL_RULE,50,localized_connect,7.0,0.0,,,2.2263753414154053,,
1,LOCAL_RULE,100,localized_connect,0.0,7.0,,,3.4887964725494385,,
1,LOCAL_RULE,150,localized_prune,7.0,0.0,,,-0.724856436252594,,
1,RANDOM,0,localized_fork,,,2.0,7.0,,0.4283433854579925,0.0046995282173156
2,REVERSE_INC,0,localized_fork,,,2.0,7.0,,0.3422647416591644,0.0786464810371398
2,REVERSE_INC,50,localized_connect,0.0,7.0,,,3.511194467544556,,
2,MOD_ADD,0,localized_fork,,,2.0,7.0,,0.3233630657196045,0.0058838725090026
2,MOD_ADD,50,localized_connect,0.0,7.0,,,3.501585006713867,,
2,PARITY,0,localized_fork,,,2.0,7.0,,1.0241695642471311,0.0004644393920898
2,PARITY,50,localized_connect,0.0,7.0,,,3.597750186920166,,
2,LOOKUP,0,localized_fork,,,2.0,7.0,,0.4862991273403168,0.0760363340377807
2,LOOKUP,50,localized_connect,0.0,7.0,,,3.4838879108428955,,
2,DELAY_COPY,0,localized_fork,,,2.0,7.0,,0.3684789836406708,0.0506426095962524
2,DELAY_COPY,50,localized_connect,0.0,7.0,,,3.5758216381073,,
2,LOCAL_RULE,0,localized_fork,,,2.0,7.0,,0.3088433742523193,0.0080344080924987
2,LOCAL_RULE,50,localized_connect,0.0,7.0,,,3.5188140869140625,,
2,RANDOM,0,localized_fork,,,2.0,7.0,,0.3437022268772125,0.0060725212097167
