replicate,family,candidate_kind,parent,child,base_skill_nll,donor_skill_nll,skill_improvement,ablated_skill_nll,tissue_causal_fraction,newborn_count,base_memory_drift,edges,elapsed_seconds
0,REVERSE_INC,trained,3,7,8.539951188223702,7.29930237361363,1.240648814610072,8.539951188223702,1.0,1,0.0,17,7.571650630000022
0,MOD_ADD,trained,3,7,8.600536482674736,7.313396181379046,1.2871403012956897,8.600536482674736,1.0,1,0.0,17,7.670035742999971
0,PARITY,trained,1,7,12.013906615121025,6.238031455448696,5.775875159672329,12.013906615121025,1.0,1,0.0,17,7.65071930199997
0,LOOKUP,trained,1,7,8.65896211351667,6.018763133457729,2.6401989800589414,8.65896211351667,1.0,1,0.0,17,7.577920832000018
0,DELAY_COPY,trained,3,7,8.3984877041408,7.26064852305821,1.1378391810825903,8.3984877041408,1.0,1,0.0,17,7.870790156999874
0,LOCAL_RULE,trained,3,7,8.587302139827184,7.301386424473354,1.2859157153538296,8.587302139827184,1.0,1,0.0,17,7.475464328000044
0,RANDOM,untrained-control,3,7,,,0.0,,0.0,1,0.0,16,0.0
1,REVERSE_INC,trained,2,7,8.333349977220808,7.108374391283308,1.2249755859375,8.333349977220808,1.0,1,0.0,17,7.462173712999856
1,MOD_ADD,trained,2,7,8.282119682856969,7.121794564383371,1.1603251184735983,8.282119682856969,1.0,1,0.0,17,7.457115451999925
1,PARITY,trained,2,7,12.050467354910714,6.094291959490095,5.956175395420619,12.050467354910714,1.0,1,0.0,17,7.453490847000012
1,LOOKUP,trained,2,7,8.21724694115775,5.743016174861363,2.474230766296388,8.21724694115775,1.0,1,0.0,17,7.543601937999938
1,DELAY_COPY,trained,2,7,8.197708266122001,7.057653903961182,1.1400543621608197,8.197708266122001,1.0,1,0.0,17,7.754870063999988
1,LOCAL_RULE,trained,2,7,8.333607401166644,7.180187361580985,1.1534200395856589,8.333607401166644,1.0,1,0.0,17,7.391202513000053
1,RANDOM,untrained-control,2,7,,,0.0,,0.0,1,0.0,16,0.0
2,REVERSE_INC,trained,2,7,8.174093110220772,7.3132725443158835,0.8608205659048886,8.174093110220772,1.0,1,0.0,17,7.334174613000187
2,MOD_ADD,trained,2,7,8.236103875296456,7.346601690564837,0.8895021847316187,8.236103875296456,1.0,1,0.0,17,7.353828534000058
2,PARITY,trained,2,7,11.566283770969935,5.886418410709926,5.679865360260009,11.566283770969935,1.0,1,0.0,17,7.291901152000037
2,LOOKUP,trained,2,7,8.261720725468226,5.93379511151995,2.3279256139482767,8.261720725468226,1.0,1,0.0,17,7.3543940810000095
2,DELAY_COPY,trained,2,7,8.179946626935687,7.246746676308768,0.9331999506269186,8.179946626935687,1.0,1,0.0,17,7.274921231000007
2,LOCAL_RULE,trained,2,7,8.247496673039027,7.33105993270874,0.9164367403302868,8.247496673039027,1.0,1,0.0,17,7.292680166999844
2,RANDOM,untrained-control,2,7,,,0.0,,0.0,1,0.0,16,0.0
