feature,scope,pearson,spearman
parent_state_rms,local,-0.05521847373932957,0.002804551640076421
parent_settling_rms,local,-0.10526387924228958,0.0246919140219438
proposal_parent_rms,local,-0.23626603592118456,-0.07698528521068329
proposal_parent_alignment,local,-0.05114575899933367,0.11664871536136177
child_memory_norm,local,-0.028258686872252525,0.21004091165057745
child_parent_memory_cosine,local,0.06174609068214224,-0.175135879812419
interface_settling_rms,boundary,0.19053478604207827,0.2644342468543222
proposal_interface_rms,boundary,-0.13059565299285217,0.22437637355137746
proposal_interface_alignment,boundary,-0.11936249755843495,-0.30710863353529616
base_entropy,boundary,-0.06256008184021271,-0.29095261826752694
base_margin,boundary,0.04252881117074289,0.13520727201853414
probe_logit_shift_rms,boundary,-0.009608950452500277,0.47527638062435806
probe_kl,boundary,0.06398070828295256,0.5282190254054991
probe_entropy_delta,boundary,0.06124420272362922,0.4859767490774015
probe_margin_delta,boundary,-0.021005792426880016,-0.12224943323697116
