column,rows,finite_rows,nonfinite_rows,nonfinite_fraction
oracle_gradient,32256,32256,0,0.0
oracle_fd,32256,32256,0,0.0
parent_state_rms,32256,32256,0,0.0
parent_settling_rms,32256,32256,0,0.0
proposal_parent_rms,32256,32256,0,0.0
proposal_parent_alignment,32256,32256,0,0.0
child_memory_norm,32256,32256,0,0.0
child_parent_memory_cosine,32256,32256,0,0.0
interface_settling_rms,32256,32256,0,0.0
proposal_interface_rms,32256,32256,0,0.0
proposal_interface_alignment,32256,32256,0,0.0
base_entropy,32256,32256,0,0.0
base_margin,32256,32256,0,0.0
probe_logit_shift_rms,32256,32256,0,0.0
probe_kl,32256,32256,0,0.0
probe_entropy_delta,32256,32256,0,0.0
probe_margin_delta,32256,32256,0,0.0
