recruitment,input_family,rows,spearman_vs_full,auc_full_beneficial,sign_agreement_vs_full,top1_selection_accuracy,median_normalized_regret,family_pass,family_pass_count_at_recruitment
0.0001,ALL,32256,0.5629624600160587,0.7899436291201358,0.7731274801587301,0.2981770833333333,0.052903150826232086,0,0
0.0001,REVERSE_INC,5376,0.4777159467084435,0.7816687733163166,0.7745535714285714,0.18229166666666666,0.09271635439768232,0,0
0.0001,MOD_ADD,5376,0.508281788039014,0.7868547527632007,0.7602306547619048,0.18359375,0.07819567536668798,0,0
0.0001,PARITY,5376,0.3056507233705321,0.9192322625054253,0.9293154761904762,0.7135416666666666,0.0,0,0
0.0001,LOOKUP,5376,0.6515457873965181,0.764060078833708,0.7526041666666666,0.35546875,0.032076845042145474,0,0
0.0001,DELAY_COPY,5376,0.5465140212540223,0.8053161520339094,0.7087053571428571,0.19270833333333334,0.1516249327236378,0,0
0.0001,LOCAL_RULE,5376,0.43129212115818694,0.715790323836496,0.7133556547619048,0.16145833333333334,0.10822937684922898,0,0
0.0003,ALL,32256,0.5914704723676208,0.8006100970335587,0.7843812003968254,0.3031684027777778,0.0470815633532584,0,0
0.0003,REVERSE_INC,5376,0.49212088378132934,0.7878610799652774,0.7849702380952381,0.1875,0.08749649193879683,0,0
0.0003,MOD_ADD,5376,0.5354860010603945,0.7983621578653548,0.7717633928571429,0.18880208333333334,0.062050614961936174,0,0
0.0003,PARITY,5376,0.3458858355039049,0.9368026168258102,0.9443824404761905,0.7083333333333334,0.0,0,0
0.0003,LOOKUP,5376,0.6625456764990968,0.765944175878251,0.7574404761904762,0.3606770833333333,0.035057252987043666,0,0
0.0003,DELAY_COPY,5376,0.5769000510381136,0.818718369459521,0.7247023809523809,0.19661458333333334,0.12467688259345303,0,0
0.0003,LOCAL_RULE,5376,0.45428001917309274,0.7236332629022042,0.7230282738095238,0.17708333333333334,0.08817487140584782,0,0
0.001,ALL,32256,0.637984739944522,0.824709576756941,0.8014012896825397,0.3120659722222222,0.03849493834688293,0,0
0.001,REVERSE_INC,5376,0.5228200372777296,0.8109314771564686,0.8048735119047619,0.21223958333333334,0.056165784284663456,0,0
0.001,MOD_ADD,5376,0.5843674063160196,0.8258130491197883,0.7937127976190477,0.20052083333333334,0.043148506709402096,0,0
0.001,PARITY,5376,0.38477877100675456,0.952901769567419,0.9590773809523809,0.7122395833333334,0.0,0,0
0.001,LOOKUP,5376,0.6747329887899468,0.7702770980897586,0.7632068452380952,0.3619791666666667,0.036035143151972135,0,0
0.001,DELAY_COPY,5376,0.6331113370200722,0.8526006412665684,0.7444196428571429,0.203125,0.11529247844589365,0,0
0.001,LOCAL_RULE,5376,0.5060842176927361,0.7488517662511891,0.7431175595238095,0.18229166666666666,0.06659231342557417,0,0
0.003,ALL,32256,0.6861579723750308,0.8561080036091144,0.8201264880952381,0.3355034722222222,0.027913687901245064,0,0
0.003,REVERSE_INC,5376,0.5807859593759408,0.8462708748850332,0.82421875,0.22786458333333334,0.03736337704835708,0,0
0.003,MOD_ADD,5376,0.6353026297906116,0.8637534068983173,0.8195684523809523,0.22395833333333334,0.03372043131367687,0,0
0.003,PARITY,5376,0.3976129534702748,0.9600328516077112,0.9644717261904762,0.7825520833333334,0.0,0,0
0.003,LOOKUP,5376,0.6864185012893091,0.7788825452714898,0.7691592261904762,0.3619791666666667,0.03907322572671279,0,0
0.003,DELAY_COPY,5376,0.6759047385053047,0.8845390870095922,0.7529761904761905,0.2109375,0.08083758986603365,0,0
0.003,LOCAL_RULE,5376,0.6088081957033505,0.8107141239320269,0.7903645833333334,0.20572916666666666,0.04254242473991571,0,0
0.01,ALL,32256,0.7246654741122318,0.885980512671995,0.8360925099206349,0.3430989583333333,0.02619568120692568,0,0
0.01,REVERSE_INC,5376,0.6348928441570914,0.8793851306488782,0.8389136904761905,0.22916666666666666,0.036050643171579244,0,0
0.01,MOD_ADD,5376,0.6717133261858256,0.8959584396691849,0.8342633928571429,0.24739583333333334,0.02803998976027921,0,0
0.01,PARITY,5376,0.4157080624245741,0.9762967427571615,0.9778645833333334,0.8177083333333334,0.0,0,0
0.01,LOOKUP,5376,0.7018099822111084,0.7978661125830555,0.7905505952380952,0.3645833333333333,0.03642271467197231,0,0
0.01,DELAY_COPY,5376,0.6972010173405437,0.906823699644109,0.7410714285714286,0.18489583333333334,0.11566632579639541,0,0
0.01,LOCAL_RULE,5376,0.6785776994609114,0.871075568297319,0.8338913690476191,0.21484375,0.03948453526832914,0,0
0.02,ALL,32256,0.7429228227533801,0.9011238035081947,0.8452690972222222,0.3385416666666667,0.027913687901245064,0,0
0.02,REVERSE_INC,5376,0.655563484706909,0.8899215544813831,0.8390997023809523,0.22916666666666666,0.03839945345842714,0,0
0.02,MOD_ADD,5376,0.6853764638003585,0.9048808982040465,0.8359375,0.25,0.02929122638148532,0,0
0.02,PARITY,5376,0.4278469597875767,0.9936967072663484,0.9927455357142857,0.7994791666666666,0.0,0,0
0.02,LOOKUP,5376,0.711029802156207,0.8269339781148601,0.8249627976190477,0.37109375,0.03567322897712283,0,0
0.02,DELAY_COPY,5376,0.704796276154217,0.9160366708012165,0.7371651785714286,0.17578125,0.11935007662199322,0,0
0.02,LOCAL_RULE,5376,0.6914223448994218,0.8894909146422755,0.8417038690476191,0.20572916666666666,0.04483817166415602,0,0
0.05,ALL,32256,0.7659170452878266,0.9147415826064565,0.8529265873015873,0.3148871527777778,0.045359795650157714,0,0
0.05,REVERSE_INC,5376,0.6784075773950137,0.8964187978598076,0.8357514880952381,0.21875,0.059987557812764214,0,0
0.05,MOD_ADD,5376,0.7061157607717892,0.9109379108247438,0.8361235119047619,0.23828125,0.03978122124319747,0,0
0.05,PARITY,5376,0.4285443020190368,0.9997989513255932,0.9996279761904762,0.7057291666666666,0.0,0,0
0.05,LOOKUP,5376,0.7233349841436642,0.8580978413042538,0.8753720238095238,0.3645833333333333,0.06261773011852029,0,0
0.05,DELAY_COPY,5376,0.7148239330800712,0.9214260177656366,0.7317708333333334,0.171875,0.16051527336248533,0,0
0.05,LOCAL_RULE,5376,0.6994989700331087,0.8966492902157476,0.8389136904761905,0.19010416666666666,0.06589955968560882,0,0
