arm,input_family,candidate_family,full_value
one-cell,DELAY_COPY,DELAY_COPY,0.83097601061066
one-cell,DELAY_COPY,LOCAL_RULE,0.8299128996829191
one-cell,DELAY_COPY,LOOKUP,0.6146388829996189
one-cell,DELAY_COPY,MOD_ADD,0.8298080302774906
one-cell,DELAY_COPY,PARITY,0.22631759072343507
one-cell,DELAY_COPY,REVERSE_INC,0.829737483834227
one-cell,LOCAL_RULE,DELAY_COPY,0.7953258094688257
one-cell,LOCAL_RULE,LOCAL_RULE,0.7942937233795723
one-cell,LOCAL_RULE,LOOKUP,0.5734204407781363
one-cell,LOCAL_RULE,MOD_ADD,0.7950516591469446
one-cell,LOCAL_RULE,PARITY,0.16842162484923998
one-cell,LOCAL_RULE,REVERSE_INC,0.7950011969854435
one-cell,LOOKUP,DELAY_COPY,1.9417271601657073
one-cell,LOOKUP,LOCAL_RULE,1.9564260027060907
one-cell,LOOKUP,LOOKUP,2.1551050692796707
one-cell,LOOKUP,MOD_ADD,1.9576917396237452
one-cell,LOOKUP,PARITY,1.3741532837351162
one-cell,LOOKUP,REVERSE_INC,1.9413275669018428
one-cell,MOD_ADD,DELAY_COPY,0.8628289165596167
one-cell,MOD_ADD,LOCAL_RULE,0.8620305793980757
one-cell,MOD_ADD,LOOKUP,0.6302522718906403
one-cell,MOD_ADD,MOD_ADD,0.8628097760180632
one-cell,MOD_ADD,PARITY,0.20266919458905855
one-cell,MOD_ADD,REVERSE_INC,0.862738665814201
one-cell,PARITY,DELAY_COPY,4.373840621983011
one-cell,PARITY,LOCAL_RULE,4.420010766014457
one-cell,PARITY,LOOKUP,5.38188571172456
one-cell,PARITY,MOD_ADD,4.4279342734565335
one-cell,PARITY,PARITY,3.8033362248291573
one-cell,PARITY,REVERSE_INC,4.369670624534289
one-cell,REVERSE_INC,DELAY_COPY,0.8332524305830399
one-cell,REVERSE_INC,LOCAL_RULE,0.8322063783804575
one-cell,REVERSE_INC,LOOKUP,0.6000548731535673
one-cell,REVERSE_INC,MOD_ADD,0.833376961449782
one-cell,REVERSE_INC,PARITY,0.16131738324960074
one-cell,REVERSE_INC,REVERSE_INC,0.8335273979852597
three-cell-chain,DELAY_COPY,DELAY_COPY,0.83272849333783
three-cell-chain,DELAY_COPY,LOCAL_RULE,0.834488415469726
three-cell-chain,DELAY_COPY,LOOKUP,0.6285579167306423
three-cell-chain,DELAY_COPY,MOD_ADD,0.8327545132488012
three-cell-chain,DELAY_COPY,PARITY,0.20531720481812954
three-cell-chain,DELAY_COPY,REVERSE_INC,0.8322406963755687
three-cell-chain,LOCAL_RULE,DELAY_COPY,0.7955029799292485
three-cell-chain,LOCAL_RULE,LOCAL_RULE,0.7974016256630421
three-cell-chain,LOCAL_RULE,LOOKUP,0.5870933799693981
three-cell-chain,LOCAL_RULE,MOD_ADD,0.7957803625613451
three-cell-chain,LOCAL_RULE,PARITY,0.14633282584448656
three-cell-chain,LOCAL_RULE,REVERSE_INC,0.7959855354080597
three-cell-chain,LOOKUP,DELAY_COPY,1.9577955789864063
three-cell-chain,LOOKUP,LOCAL_RULE,1.9371798721452553
three-cell-chain,LOOKUP,LOOKUP,2.156946919237574
three-cell-chain,LOOKUP,MOD_ADD,1.9681940066317718
three-cell-chain,LOOKUP,PARITY,2.0621486250311136
three-cell-chain,LOOKUP,REVERSE_INC,1.9668926677356164
three-cell-chain,MOD_ADD,DELAY_COPY,0.8622896367063125
three-cell-chain,MOD_ADD,LOCAL_RULE,0.8634775734196106
three-cell-chain,MOD_ADD,LOOKUP,0.6407995490978161
three-cell-chain,MOD_ADD,MOD_ADD,0.8631645801166693
three-cell-chain,MOD_ADD,PARITY,0.18632920583089194
three-cell-chain,MOD_ADD,REVERSE_INC,0.8629398985455433
three-cell-chain,PARITY,DELAY_COPY,4.392199421922366
three-cell-chain,PARITY,LOCAL_RULE,4.285698886339863
three-cell-chain,PARITY,LOOKUP,5.366499351958434
three-cell-chain,PARITY,MOD_ADD,4.453908938293655
three-cell-chain,PARITY,PARITY,5.553512482593457
three-cell-chain,PARITY,REVERSE_INC,4.420979847510655
three-cell-chain,REVERSE_INC,DELAY_COPY,0.8314967018862566
three-cell-chain,REVERSE_INC,LOCAL_RULE,0.8335421333710352
three-cell-chain,REVERSE_INC,LOOKUP,0.6098368590076765
three-cell-chain,REVERSE_INC,MOD_ADD,0.8322018012404442
three-cell-chain,REVERSE_INC,PARITY,0.16241737579305968
three-cell-chain,REVERSE_INC,REVERSE_INC,0.8319777448972067
