replicate,arm,domain,branch,nll,parent_nll,utility
0,unified,STORY,0,5.8185383677482605,5.461165219545364,-0.3573731482028961
0,unified,ARITHMETIC,0,6.937402546405792,7.786628395318985,0.8492258489131927
0,capacity-fork,STORY,0,5.665953576564789,5.461165219545364,-0.2047883570194244
0,capacity-fork,STORY,1,5.950099140405655,5.461165219545364,-0.4889339208602905
0,capacity-fork,ARITHMETIC,0,7.085334300994873,7.786628395318985,0.7012940943241119
0,capacity-fork,ARITHMETIC,1,6.859856218099594,7.786628395318985,0.9267721772193908
0,differentiation-fork,STORY,0,6.52525120973587,5.461165219545364,-1.064085990190506
0,differentiation-fork,STORY,1,5.460860222578049,5.461165219545364,0.0003049969673156
0,differentiation-fork,ARITHMETIC,0,6.690741151571274,7.786628395318985,1.0958872437477112
0,differentiation-fork,ARITHMETIC,1,7.792511284351349,7.786628395318985,-0.0058828890323638
1,unified,STORY,0,5.644383430480957,5.422553688287735,-0.221829742193222
1,unified,ARITHMETIC,0,6.886715292930603,7.598399251699448,0.7116839587688446
1,capacity-fork,STORY,0,5.6007386445999146,5.422553688287735,-0.1781849563121795
1,capacity-fork,STORY,1,5.638364940881729,5.422553688287735,-0.2158112525939941
1,capacity-fork,ARITHMETIC,0,6.941033750772476,7.598399251699448,0.6573655009269714
1,capacity-fork,ARITHMETIC,1,6.89518067240715,7.598399251699448,0.7032185792922974
1,differentiation-fork,STORY,0,5.423350661993027,5.422553688287735,-0.0007969737052917
1,differentiation-fork,STORY,1,6.397752821445465,5.422553688287735,-0.97519913315773
1,differentiation-fork,ARITHMETIC,0,7.60139063000679,7.598399251699448,-0.0029913783073425
1,differentiation-fork,ARITHMETIC,1,6.591448873281479,7.598399251699448,1.0069503784179688
2,unified,STORY,0,5.728004366159439,5.398255467414856,-0.3297488987445831
2,unified,ARITHMETIC,0,6.986493021249771,7.819498240947723,0.8330052196979523
2,capacity-fork,STORY,0,5.766898542642593,5.398255467414856,-0.3686430752277374
2,capacity-fork,STORY,1,5.674425542354584,5.398255467414856,-0.2761700749397278
2,capacity-fork,ARITHMETIC,0,6.960607022047043,7.819498240947723,0.8588912189006805
2,capacity-fork,ARITHMETIC,1,7.042542546987534,7.819498240947723,0.7769556939601898
2,differentiation-fork,STORY,0,6.324806094169617,5.398255467414856,-0.9265506267547609
2,differentiation-fork,STORY,1,5.397998362779617,5.398255467414856,0.0002571046352386
2,differentiation-fork,ARITHMETIC,0,6.730434358119965,7.819498240947723,1.0890638828277588
2,differentiation-fork,ARITHMETIC,1,7.818716943264008,7.819498240947723,0.0007812976837158
