replicate,arm,step,domain,branch,nll,parent_nll
0,unified,0,STORY,0,5.461165219545364,5.461165219545364
0,unified,0,ARITHMETIC,0,7.786628395318985,7.786628395318985
0,unified,50,STORY,0,5.570183962583542,5.461165219545364
0,unified,50,ARITHMETIC,0,7.270275443792343,7.786628395318985
0,unified,100,STORY,0,5.5280739068984985,5.461165219545364
0,unified,100,ARITHMETIC,0,7.421348601579666,7.786628395318985
0,unified,200,STORY,0,5.644302040338516,5.461165219545364
0,unified,200,ARITHMETIC,0,7.116981118917465,7.786628395318985
0,unified,400,STORY,0,5.8185383677482605,5.461165219545364
0,unified,400,ARITHMETIC,0,6.937402546405792,7.786628395318985
0,capacity-fork,0,STORY,0,5.46162149310112,5.461165219545364
0,capacity-fork,0,STORY,1,5.461995333433151,5.461165219545364
0,capacity-fork,0,ARITHMETIC,0,7.814365953207016,7.786628395318985
0,capacity-fork,0,ARITHMETIC,1,7.757457584142685,7.786628395318985
0,capacity-fork,50,STORY,0,5.588091641664505,5.461165219545364
0,capacity-fork,50,STORY,1,5.686651051044464,5.461165219545364
0,capacity-fork,50,ARITHMETIC,0,7.272471576929092,7.786628395318985
0,capacity-fork,50,ARITHMETIC,1,7.14386910200119,7.786628395318985
0,capacity-fork,100,STORY,0,5.529368281364441,5.461165219545364
0,capacity-fork,100,STORY,1,5.585500210523605,5.461165219545364
0,capacity-fork,100,ARITHMETIC,0,7.355753004550934,7.786628395318985
0,capacity-fork,100,ARITHMETIC,1,7.268246650695801,7.786628395318985
0,capacity-fork,200,STORY,0,5.621915638446808,5.461165219545364
0,capacity-fork,200,STORY,1,5.739640235900879,5.461165219545364
0,capacity-fork,200,ARITHMETIC,0,7.171451777219772,7.786628395318985
0,capacity-fork,200,ARITHMETIC,1,7.0063616335392,7.786628395318985
0,capacity-fork,400,STORY,0,5.665953576564789,5.461165219545364
0,capacity-fork,400,STORY,1,5.950099140405655,5.461165219545364
0,capacity-fork,400,ARITHMETIC,0,7.085334300994873,7.786628395318985
