replicate,arm,step,domain,branch,nll,parent_nll
0,unified,0,STORY,0,5.424857318401337,5.424857318401337
0,unified,0,ARITHMETIC,0,7.653127789497375,7.653127789497375
0,unified,50,STORY,0,5.523013353347778,5.424857318401337
0,unified,50,ARITHMETIC,0,7.175447911024094,7.653127789497375
0,unified,100,STORY,0,5.54669177532196,5.424857318401337
0,unified,100,ARITHMETIC,0,7.15153306722641,7.653127789497375
0,unified,200,STORY,0,5.665598750114441,5.424857318401337
0,unified,200,ARITHMETIC,0,6.970044106245041,7.653127789497375
0,unified,400,STORY,0,5.77943629026413,5.424857318401337
0,unified,400,ARITHMETIC,0,6.851367890834808,7.653127789497375
0,stratified-capacity-fork,0,STORY,0,5.424960851669312,5.424857318401337
0,stratified-capacity-fork,0,STORY,1,5.426575720310211,5.424857318401337
0,stratified-capacity-fork,0,ARITHMETIC,0,7.686234325170517,7.653127789497375
0,stratified-capacity-fork,0,ARITHMETIC,1,7.618452072143555,7.653127789497375
0,stratified-capacity-fork,50,STORY,0,5.499535501003265,5.424857318401337
0,stratified-capacity-fork,50,STORY,1,5.5152042508125305,5.424857318401337
0,stratified-capacity-fork,50,ARITHMETIC,0,7.2375278770923615,7.653127789497375
0,stratified-capacity-fork,50,ARITHMETIC,1,7.207526654005051,7.653127789497375
0,stratified-capacity-fork,100,STORY,0,5.514124810695648,5.424857318401337
0,stratified-capacity-fork,100,STORY,1,5.516876578330994,5.424857318401337
0,stratified-capacity-fork,100,ARITHMETIC,0,7.20006188750267,7.653127789497375
0,stratified-capacity-fork,100,ARITHMETIC,1,7.199523061513901,7.653127789497375
0,stratified-capacity-fork,200,STORY,0,5.697793394327164,5.424857318401337
0,stratified-capacity-fork,200,STORY,1,5.694405943155289,5.424857318401337
0,stratified-capacity-fork,200,ARITHMETIC,0,6.927345186471939,7.653127789497375
0,stratified-capacity-fork,200,ARITHMETIC,1,6.930542171001434,7.653127789497375
0,stratified-capacity-fork,400,STORY,0,5.815684705972672,5.424857318401337
0,stratified-capacity-fork,400,STORY,1,5.81955024600029,5.424857318401337
0,stratified-capacity-fork,400,ARITHMETIC,0,6.829662263393402,7.653127789497375
0,stratified-capacity-fork,400,ARITHMETIC,1,6.826769828796387,7.653127789497375
0,geometry-bifurcation-fork,0,STORY,0,5.424960851669312,5.424857318401337
0,geometry-bifurcation-fork,0,STORY,1,5.426575720310211,5.424857318401337
0,geometry-bifurcation-fork,0,ARITHMETIC,0,7.686234325170517,7.653127789497375
0,geometry-bifurcation-fork,0,ARITHMETIC,1,7.618452072143555,7.653127789497375
0,geometry-bifurcation-fork,50,STORY,0,6.255279153585434,5.424857318401337
0,geometry-bifurcation-fork,50,STORY,1,5.426538527011871,5.424857318401337
0,geometry-bifurcation-fork,50,ARITHMETIC,0,6.799731135368347,7.653127789497375
0,geometry-bifurcation-fork,50,ARITHMETIC,1,7.6626874804496765,7.653127789497375
0,geometry-bifurcation-fork,100,STORY,0,6.437548995018005,5.424857318401337
0,geometry-bifurcation-fork,100,STORY,1,5.42958390712738,5.424857318401337
0,geometry-bifurcation-fork,100,ARITHMETIC,0,6.657326400279999,7.653127789497375
0,geometry-bifurcation-fork,100,ARITHMETIC,1,7.686408311128616,7.653127789497375
0,geometry-bifurcation-fork,200,STORY,0,6.058511972427368,5.424857318401337
0,geometry-bifurcation-fork,200,STORY,1,5.426960796117783,5.424857318401337
0,geometry-bifurcation-fork,200,ARITHMETIC,0,6.708644598722458,7.653127789497375
0,geometry-bifurcation-fork,200,ARITHMETIC,1,7.666663378477097,7.653127789497375
0,geometry-bifurcation-fork,400,STORY,0,6.31853848695755,5.424857318401337
0,geometry-bifurcation-fork,400,STORY,1,5.424536615610123,5.424857318401337
0,geometry-bifurcation-fork,400,ARITHMETIC,0,6.643752813339233,7.653127789497375
0,geometry-bifurcation-fork,400,ARITHMETIC,1,7.671735405921936,7.653127789497375
1,unified,0,STORY,0,5.425915062427521,5.425915062427521
1,unified,0,ARITHMETIC,0,7.622761458158493,7.622761458158493
1,unified,50,STORY,0,5.743768095970154,5.425915062427521
1,unified,50,ARITHMETIC,0,6.991830557584763,7.622761458158493
1,unified,100,STORY,0,5.75260254740715,5.425915062427521
1,unified,100,ARITHMETIC,0,6.945176392793655,7.622761458158493
1,unified,200,STORY,0,5.618000119924545,5.425915062427521
1,unified,200,ARITHMETIC,0,7.08266818523407,7.622761458158493
1,unified,400,STORY,0,5.778686016798019,5.425915062427521
1,unified,400,ARITHMETIC,0,6.913644850254059,7.622761458158493
1,stratified-capacity-fork,0,STORY,0,5.426849663257599,5.425915062427521
1,stratified-capacity-fork,0,STORY,1,5.426357805728912,5.425915062427521
1,stratified-capacity-fork,0,ARITHMETIC,0,7.590853840112686,7.622761458158493
1,stratified-capacity-fork,0,ARITHMETIC,1,7.653864741325378,7.622761458158493
1,stratified-capacity-fork,50,STORY,0,5.696246922016144,5.425915062427521
1,stratified-capacity-fork,50,STORY,1,5.682846903800964,5.425915062427521
1,stratified-capacity-fork,50,ARITHMETIC,0,7.048573732376099,7.622761458158493
1,stratified-capacity-fork,50,ARITHMETIC,1,7.064350217580795,7.622761458158493
1,stratified-capacity-fork,100,STORY,0,5.752221763134003,5.425915062427521
1,stratified-capacity-fork,100,STORY,1,5.734201967716217,5.425915062427521
1,stratified-capacity-fork,100,ARITHMETIC,0,6.952738523483276,7.622761458158493
1,stratified-capacity-fork,100,ARITHMETIC,1,6.967068195343018,7.622761458158493
1,stratified-capacity-fork,200,STORY,0,5.649572789669037,5.425915062427521
1,stratified-capacity-fork,200,STORY,1,5.647219806909561,5.425915062427521
1,stratified-capacity-fork,200,ARITHMETIC,0,7.038862884044647,7.622761458158493
1,stratified-capacity-fork,200,ARITHMETIC,1,7.041264086961746,7.622761458158493
1,stratified-capacity-fork,400,STORY,0,5.720011591911316,5.425915062427521
1,stratified-capacity-fork,400,STORY,1,5.719300359487534,5.425915062427521
