replicate,stage,active_k,identity_pass,identity_assignment,normalized_identity_margin,routing_purity_posthoc,routing_purity_pass,genesis_events_in_stage,max_active_k_so_far
0,A_STORY_ONLY,1,,,,,,0,1
0,B_EMERGING_MATH,1,,,,,,0,1
0,C_DUPLICATE_CONTROL,1,,,,,,0,1
0,D_THIRD_MODE,1,,,,,,0,1
1,A_STORY_ONLY,1,,,,,,0,1
1,B_EMERGING_MATH,1,,,,,,0,1
1,C_DUPLICATE_CONTROL,1,,,,,,0,1
1,D_THIRD_MODE,1,,,,,,0,1
2,A_STORY_ONLY,1,,,,,,0,1
2,B_EMERGING_MATH,1,,,,,,0,1
2,C_DUPLICATE_CONTROL,1,,,,,,0,1
2,D_THIRD_MODE,1,,,,,,0,1
