replicate,condition,expected_outcome,accepted,strong_positive,geometry_sustained_positive,geometry_cumulative_positive,geometry_beats_capacity,geometry_mean_net_utility_last3,capacity_mean_net_utility_last3,geometry_advantage_last3,geometry_identity_pass,geometry_identity_margin,capacity_identity_pass,capacity_identity_margin,routing_purity_posthoc,routing_purity_pass
0,STORY_ONLY,REJECT,0,0,0,0,0,-0.0049949492731568,-0.0050574021733942,6.245290023740851e-05,0,0.002119445469529,0,0.0007176250850401,,
0,DUPLICATED_STORY,REJECT,0,0,0,0,0,-0.0049781584819195,-0.0050686287966187,9.047031469914454e-05,0,0.002066823285574,0,0.0004625252712855,,
0,STORY_ARITHMETIC,ACCEPT,1,1,1,1,1,0.0203377574230565,-0.0063999741714003,0.0267377315944568,1,0.1420284776725369,0,0.0001194917569047,0.87109375,1.0
0,WEAK_ARITHMETIC,DISCOVER,0,0,0,0,0,-0.0034059655963134,-0.0051715964196582,0.0017656308233447,0,0.0214548732023534,0,0.0007399878415483,0.56640625,0.0
1,STORY_ONLY,REJECT,0,0,0,0,0,-0.0050530260289907,-0.0050681924798851,1.5166450894385104e-05,0,0.002826812727037,0,0.0003004074097875,,
1,DUPLICATED_STORY,REJECT,0,0,0,0,0,-0.0050161484281784,-0.0050689436830195,5.2795254841044255e-05,0,0.003299073624992,0,0.0007846483008554,,
1,STORY_ARITHMETIC,ACCEPT,1,1,1,1,1,0.01469189921916,-0.0057814187534211,0.0204733179725812,1,0.1160975286809487,0,0.0004798352806487,0.875,1.0
1,WEAK_ARITHMETIC,DISCOVER,0,0,0,0,0,-0.0031121946491792,-0.0052779921883901,0.0021657975392109,0,0.0202705165873489,0,0.0006300728853546,0.56640625,0.0
2,STORY_ONLY,REJECT,0,0,0,0,0,-0.0049687672938743,-0.005051170407664,8.240311378975018e-05,0,0.0024947838802563,0,0.0001320642430353,,
2,DUPLICATED_STORY,REJECT,0,0,0,0,0,-0.004959877847246,-0.0050407674656481,8.088961840211027e-05,0,0.0024815563275327,0,0.0006889807995545,,
2,STORY_ARITHMETIC,ACCEPT,1,1,1,1,1,0.0346674023410266,-0.006922473521896,0.0415898758629227,1,0.1681892795407985,0,0.0029919042481525,0.94140625,1.0
2,WEAK_ARITHMETIC,DISCOVER,0,0,0,0,0,-0.0034666065342651,-0.0051254121600355,0.0016588056257704,0,0.0186803213588942,0,0.0010954669715423,0.58203125,0.0
