replicate,condition,arm,window,step_end,prequential_nll
0,STORY_ONLY,parent,0,64,5.549786783754826
0,STORY_ONLY,parent,1,128,5.533845581114292
0,STORY_ONLY,parent,2,192,5.541630230844021
0,STORY_ONLY,parent,3,256,5.539064705371857
0,STORY_ONLY,capacity-shadow,0,64,5.5504700392484665
0,STORY_ONLY,capacity-shadow,1,128,5.534358583390713
0,STORY_ONLY,capacity-shadow,2,192,5.541961848735809
0,STORY_ONLY,capacity-shadow,3,256,5.539173617959023
0,STORY_ONLY,geometry-shadow,0,64,5.550152838230133
0,STORY_ONLY,geometry-shadow,1,128,5.5340641140937805
0,STORY_ONLY,geometry-shadow,2,192,5.541540272533894
0,STORY_ONLY,geometry-shadow,3,256,5.538851954042912
0,DUPLICATED_STORY,parent,0,64,5.517018586397171
0,DUPLICATED_STORY,parent,1,128,5.540227010846138
0,DUPLICATED_STORY,parent,2,192,5.524445302784443
0,DUPLICATED_STORY,parent,3,256,5.559475921094418
0,DUPLICATED_STORY,capacity-shadow,0,64,5.51751584559679
0,DUPLICATED_STORY,capacity-shadow,1,128,5.5410541743040085
0,DUPLICATED_STORY,capacity-shadow,2,192,5.52466693520546
0,DUPLICATED_STORY,capacity-shadow,3,256,5.559567466378212
0,DUPLICATED_STORY,geometry-shadow,0,64,5.517966546118259
0,DUPLICATED_STORY,geometry-shadow,1,128,5.540351398289204
0,DUPLICATED_STORY,geometry-shadow,2,192,5.524117328226566
0,DUPLICATED_STORY,geometry-shadow,3,256,5.559316873550415
0,STORY_ARITHMETIC,parent,0,64,6.539596974849701
0,STORY_ARITHMETIC,parent,1,128,6.381901204586029
0,STORY_ARITHMETIC,parent,2,192,6.346620105206966
0,STORY_ARITHMETIC,parent,3,256,6.326947972178459
0,STORY_ARITHMETIC,capacity-shadow,0,64,6.564360298216343
0,STORY_ARITHMETIC,capacity-shadow,1,128,6.394077911973
0,STORY_ARITHMETIC,capacity-shadow,2,192,6.35355930775404
0,STORY_ARITHMETIC,capacity-shadow,3,256,6.334531113505364
0,STORY_ARITHMETIC,geometry-shadow,0,64,6.462580263614655
0,STORY_ARITHMETIC,geometry-shadow,1,128,6.216420441865921
0,STORY_ARITHMETIC,geometry-shadow,2,192,6.2092591896653175
0,STORY_ARITHMETIC,geometry-shadow,3,256,6.147006943821907
0,WEAK_ARITHMETIC,parent,0,64,5.79657755792141
0,WEAK_ARITHMETIC,parent,1,128,5.667978994548321
0,WEAK_ARITHMETIC,parent,2,192,5.751822374761105
0,WEAK_ARITHMETIC,parent,3,256,5.753433495759964
0,WEAK_ARITHMETIC,capacity-shadow,0,64,5.799895703792572
0,WEAK_ARITHMETIC,capacity-shadow,1,128,5.669436164200306
0,WEAK_ARITHMETIC,capacity-shadow,2,192,5.753183372318745
0,WEAK_ARITHMETIC,capacity-shadow,3,256,5.753554783761501
0,WEAK_ARITHMETIC,geometry-shadow,0,64,5.788264192640781
0,WEAK_ARITHMETIC,geometry-shadow,1,128,5.666115507483482
0,WEAK_ARITHMETIC,geometry-shadow,2,192,5.740669511258602
0,WEAK_ARITHMETIC,geometry-shadow,3,256,5.738967552781105
1,STORY_ONLY,parent,0,64,5.489337116479874
1,STORY_ONLY,parent,1,128,5.502492167055607
1,STORY_ONLY,parent,2,192,5.485260263085365
1,STORY_ONLY,parent,3,256,5.508849233388901
1,STORY_ONLY,capacity-shadow,0,64,5.490030042827129
1,STORY_ONLY,capacity-shadow,1,128,5.503166921436787
1,STORY_ONLY,capacity-shadow,2,192,5.485407367348671
1,STORY_ONLY,capacity-shadow,3,256,5.509152948856354
1,STORY_ONLY,geometry-shadow,0,64,5.489757247269154
1,STORY_ONLY,geometry-shadow,1,128,5.503001347184181
1,STORY_ONLY,geometry-shadow,2,192,5.485873632133007
1,STORY_ONLY,geometry-shadow,3,256,5.508599795401096
1,DUPLICATED_STORY,parent,0,64,5.501746490597725
1,DUPLICATED_STORY,parent,1,128,5.5239357724785805
1,DUPLICATED_STORY,parent,2,192,5.484363906085491
1,DUPLICATED_STORY,parent,3,256,5.484791360795498
1,DUPLICATED_STORY,capacity-shadow,0,64,5.502522349357605
1,DUPLICATED_STORY,capacity-shadow,1,128,5.5246123895049095
1,DUPLICATED_STORY,capacity-shadow,2,192,5.4846032708883286
1,DUPLICATED_STORY,capacity-shadow,3,256,5.485014580190182
1,DUPLICATED_STORY,geometry-shadow,0,64,5.502148404717445
1,DUPLICATED_STORY,geometry-shadow,1,128,5.5242588222026825
1,DUPLICATED_STORY,geometry-shadow,2,192,5.484512485563755
1,DUPLICATED_STORY,geometry-shadow,3,256,5.484587721526623
1,STORY_ARITHMETIC,parent,0,64,6.45487117767334
1,STORY_ARITHMETIC,parent,1,128,6.1820966601371765
1,STORY_ARITHMETIC,parent,2,192,6.257629260420799
1,STORY_ARITHMETIC,parent,3,256,6.345867857336998
1,STORY_ARITHMETIC,capacity-shadow,0,64,6.470248371362686
1,STORY_ARITHMETIC,capacity-shadow,1,128,6.183660455048084
1,STORY_ARITHMETIC,capacity-shadow,2,192,6.261281065642834
1,STORY_ARITHMETIC,capacity-shadow,3,256,6.35543567687273
1,STORY_ARITHMETIC,geometry-shadow,0,64,6.361162565648556
1,STORY_ARITHMETIC,geometry-shadow,1,128,6.0564898028969765
1,STORY_ARITHMETIC,geometry-shadow,2,192,6.129112675786018
1,STORY_ARITHMETIC,geometry-shadow,3,256,6.230244413018227
1,WEAK_ARITHMETIC,parent,0,64,5.628006294369698
1,WEAK_ARITHMETIC,parent,1,128,5.718931324779987
1,WEAK_ARITHMETIC,parent,2,192,5.752688117325306
1,WEAK_ARITHMETIC,parent,3,256,5.705311648547649
1,WEAK_ARITHMETIC,capacity-shadow,0,64,5.628658168017864
1,WEAK_ARITHMETIC,capacity-shadow,1,128,5.722679145634174
1,WEAK_ARITHMETIC,capacity-shadow,2,192,5.753279946744442
1,WEAK_ARITHMETIC,capacity-shadow,3,256,5.70574389398098
1,WEAK_ARITHMETIC,geometry-shadow,0,64,5.628901705145836
1,WEAK_ARITHMETIC,geometry-shadow,1,128,5.712259843945503
1,WEAK_ARITHMETIC,geometry-shadow,2,192,5.737768732011318
1,WEAK_ARITHMETIC,geometry-shadow,3,256,5.694452203810215
2,STORY_ONLY,parent,0,64,5.537006676197052
2,STORY_ONLY,parent,1,128,5.533341884613037
2,STORY_ONLY,parent,2,192,5.539442270994186
2,STORY_ONLY,parent,3,256,5.570150047540665
2,STORY_ONLY,capacity-shadow,0,64,5.537473253905773
2,STORY_ONLY,capacity-shadow,1,128,5.533712357282639
2,STORY_ONLY,capacity-shadow,2,192,5.539787955582142
2,STORY_ONLY,capacity-shadow,3,256,5.570284590125084
2,STORY_ONLY,geometry-shadow,0,64,5.537446819245815
2,STORY_ONLY,geometry-shadow,1,128,5.533254332840443
2,STORY_ONLY,geometry-shadow,2,192,5.539327017962933
2,STORY_ONLY,geometry-shadow,3,256,5.569832161068916
2,DUPLICATED_STORY,parent,0,64,5.54736964404583
2,DUPLICATED_STORY,parent,1,128,5.530440226197243
2,DUPLICATED_STORY,parent,2,192,5.548364371061325
2,DUPLICATED_STORY,parent,3,256,5.526495888829231
2,DUPLICATED_STORY,capacity-shadow,0,64,5.547735378146172
2,DUPLICATED_STORY,capacity-shadow,1,128,5.530684381723404
2,DUPLICATED_STORY,capacity-shadow,2,192,5.548576787114143
2,DUPLICATED_STORY,capacity-shadow,3,256,5.526716232299805
2,DUPLICATED_STORY,geometry-shadow,0,64,5.547029137611389
2,DUPLICATED_STORY,geometry-shadow,1,128,5.530200742185116
2,DUPLICATED_STORY,geometry-shadow,2,192,5.548132225871086
2,DUPLICATED_STORY,geometry-shadow,3,256,5.526301227509975
2,STORY_ARITHMETIC,parent,0,64,6.287198603153229
2,STORY_ARITHMETIC,parent,1,128,6.587623313069344
2,STORY_ARITHMETIC,parent,2,192,6.445150703191757
2,STORY_ARITHMETIC,parent,3,256,6.431061923503876
2,STORY_ARITHMETIC,capacity-shadow,0,64,6.289684258401394
2,STORY_ARITHMETIC,capacity-shadow,1,128,6.607211537659168
2,STORY_ARITHMETIC,capacity-shadow,2,192,6.455143690109253
2,STORY_ARITHMETIC,capacity-shadow,3,256,6.439058728516102
2,STORY_ARITHMETIC,geometry-shadow,0,64,6.215158514678478
2,STORY_ARITHMETIC,geometry-shadow,1,128,6.291647776961327
2,STORY_ARITHMETIC,geometry-shadow,2,192,6.22385985404253
2,STORY_ARITHMETIC,geometry-shadow,3,256,6.175499863922596
2,WEAK_ARITHMETIC,parent,0,64,5.869162231683731
2,WEAK_ARITHMETIC,parent,1,128,5.72928985953331
2,WEAK_ARITHMETIC,parent,2,192,5.718007385730743
2,WEAK_ARITHMETIC,parent,3,256,5.783166594803333
2,WEAK_ARITHMETIC,capacity-shadow,0,64,5.871465712785721
2,WEAK_ARITHMETIC,capacity-shadow,1,128,5.7308811992406845
2,WEAK_ARITHMETIC,capacity-shadow,2,192,5.718074440956116
