replicate,condition,window,parent_prequential_nll,capacity_prequential_nll,geometry_prequential_nll,capacity_net_utility,geometry_net_utility,geometry_advantage
0,STORY_ONLY,0,5.549786783754826,5.5504700392484665,5.550152838230133,-0.0051231138276592,-0.005065958295259,5.715553240025987e-05
0,STORY_ONLY,1,5.533845581114292,5.534358583390713,5.5340641140937805,-0.0050927026728341,-0.0050394902561492,5.3212416684913534e-05
0,STORY_ONLY,2,5.541630230844021,5.541961848735809,5.541540272533894,-0.0050598412160275,-0.0049837668147494,7.60744012780392e-05
0,STORY_ONLY,3,5.539064705371857,5.539173617959023,5.538851954042912,-0.0050196626313211,-0.0049615907485718,5.80718827492728e-05
0,DUPLICATED_STORY,0,5.517018586397171,5.51751584559679,5.517966546118259,-0.0050901318695654,-0.005171824637935,-8.169276836956195e-05
0,DUPLICATED_STORY,1,5.540227010846138,5.5410541743040085,5.540351398289204,-0.0051493013654947,-0.0050224516870558,0.0001268496784389
0,DUPLICATED_STORY,2,5.524445302784443,5.52466693520546,5.524117328226566,-0.0050401184931462,-0.0049406321286752,9.94863644710655e-05
0,DUPLICATED_STORY,3,5.559475921094418,5.559567466378212,5.559316873550415,-0.0050164665312151,-0.0049713916300277,4.507490118737731e-05
0,STORY_ARITHMETIC,0,6.539596974849701,6.564360298216343,6.462580263614655,-0.0087866742341887,0.0067769812927678,0.0155636555269566
0,STORY_ARITHMETIC,1,6.381901204586029,6.394077911973,6.216420441865921,-0.0069080062502723,0.0209296967181493,0.0278377029684217
0,STORY_ARITHMETIC,2,6.346620105206966,6.35355930775404,6.2092591896653175,-0.0060933697672214,0.0166431601804799,0.0227365299477014
0,STORY_ARITHMETIC,3,6.326947972178459,6.334531113505364,6.147006943821907,-0.0061985464967073,0.0234404153705401,0.0296389618672475
0,WEAK_ARITHMETIC,0,5.79657755792141,5.799895703792572,5.788264192640781,-0.0055724318941662,-0.0035658148799773,0.0020066170141888
0,WEAK_ARITHMETIC,1,5.667978994548321,5.669436164200306,5.666115507483482,-0.0052570880473245,-0.0046712254814933,0.0005858625658312
0,WEAK_ARITHMETIC,2,5.751822374761105,5.753183372318745,5.740669511258602,-0.0052366202342429,-0.0030609861056487,0.0021756341285942
0,WEAK_ARITHMETIC,3,5.753433495759964,5.753554783761501,5.738967552781105,-0.005021080977407,-0.0024856852017982,0.0025353957756088
1,STORY_ONLY,0,5.489337116479874,5.490030042827129,5.489757247269154,-0.0051262313340485,-0.0050765357966481,4.969553740046158e-05
1,STORY_ONLY,1,5.502492167055607,5.503166921436787,5.503001347184181,-0.0051226270498338,-0.0050925362750396,3.009077479414896e-05
1,STORY_ONLY,2,5.485260263085365,5.485407367348671,5.485873632133007,-0.0050268181009195,-0.0051118213208167,-8.500321989713972e-05
1,STORY_ONLY,3,5.508849233388901,5.509152948856354,5.508599795401096,-0.005055132288902,-0.0049547204911158,0.0001004117977861
1,DUPLICATED_STORY,0,5.501746490597725,5.502522349357605,5.502148404717445,-0.0051410204489076,-0.005073052097258,6.7968351649547e-05
1,DUPLICATED_STORY,1,5.5239357724785805,5.5246123895049095,5.5242588222026825,-0.0051224882138746,-0.0050584818030853,6.400641078930808e-05
1,DUPLICATED_STORY,2,5.484363906085491,5.4846032708883286,5.484512485563755,-0.0050436449526209,-0.0050270914696413,1.65534829796362e-05
1,DUPLICATED_STORY,3,5.484791360795498,5.485014580190182,5.484587721526623,-0.0050406978825629,-0.0049628720118087,7.782587075418849e-05
1,STORY_ARITHMETIC,0,6.45487117767334,6.470248371362686,6.361162565648556,-0.0073822619020708,0.0095175030524096,0.0168997649544805
1,STORY_ARITHMETIC,1,6.1820966601371765,6.183660455048084,6.0564898028969765,-0.0052529554286964,0.0153178410409087,0.0205707964696051
1,STORY_ARITHMETIC,2,6.257629260420799,6.261281065642834,6.129112675786018,-0.0055835764744217,0.0155375836896637,0.0211211601640854
1,STORY_ARITHMETIC,3,6.345867857336998,6.35543567687273,6.230244413018227,-0.0065077243571452,0.0132202729269077,0.019727997284053
1,WEAK_ARITHMETIC,0,5.628006294369698,5.628658168017864,5.628901705145836,-0.0051158267446891,-0.0051590991070912,-4.327236240216862e-05
1,WEAK_ARITHMETIC,1,5.718931324779987,5.722679145634174,5.712259843945503,-0.0056553358733209,-0.0038334392466689,0.001821896626652
1,WEAK_ARITHMETIC,2,5.752688117325306,5.753279946744442,5.737768732011318,-0.005102878759819,-0.0024065367338348,0.0026963420259841
1,WEAK_ARITHMETIC,3,5.705311648547649,5.70574389398098,5.694452203810215,-0.0050757619320305,-0.0030966079670338,0.0019791539649966
2,STORY_ONLY,0,5.537006676197052,5.537473253905773,5.537446819245815,-0.0050842653325174,-0.005079491153705,4.774178812448279e-06
2,STORY_ONLY,1,5.533341884613037,5.533712357282639,5.533254332840443,-0.005066952788627,-0.0049841774149473,8.277537367961177e-05
2,STORY_ONLY,2,5.539442270994186,5.539787955582142,5.539327017962933,-0.005062404222491,-0.0049791941091511,8.32101133399054e-05
2,STORY_ONLY,3,5.570150047540665,5.570284590125084,5.569832161068916,-0.0050241542118741,-0.0049429303575244,8.122385434973338e-05
