replicate,condition,proposal_batches,bifurcation_gain,split_balance,centroid_separation,routing_purity_posthoc,mean_probe_nll,proposal_uses_task_label
0,STORY_ONLY,64,0.181015426987287,0.484375,0.8354201316833496,,5.531209103763104,0
0,DUPLICATED_STORY,64,0.1774349027764094,0.484375,0.8269361257553101,,5.552179954946041,0
0,STORY_ARITHMETIC,64,0.3740102502134375,0.390625,1.072299599647522,0.890625,6.648314841091633,0
0,WEAK_ARITHMETIC,64,0.2333511585210247,0.484375,0.9501540064811708,0.578125,5.734994247555733,0
1,STORY_ONLY,64,0.1396289234390798,0.40625,0.7358617782592773,,5.466433741152287,0
1,DUPLICATED_STORY,64,0.1574810429509262,0.484375,0.7839848399162292,,5.493672728538513,0
1,STORY_ARITHMETIC,64,0.3765956846140967,0.40625,1.0679508447647097,0.90625,6.488354913890362,0
1,WEAK_ARITHMETIC,64,0.209459884161906,0.484375,0.8988893628120422,0.609375,5.65802413970232,0
2,STORY_ONLY,64,0.1751749529870836,0.4375,0.8235206604003906,,5.55122934281826,0
2,DUPLICATED_STORY,64,0.1726301140033112,0.484375,0.8172899484634399,,5.5547508373856544,0
2,STORY_ARITHMETIC,64,0.3125554261754888,0.421875,0.917293667793274,0.921875,6.664343312382698,0
2,WEAK_ARITHMETIC,64,0.2472636324702742,0.5,0.9681998491287231,0.59375,5.750653944909573,0
