replicate,stage,arm,window,step_end,prequential_nll
0,A_STORY_NULL,incumbent,0,64,5.55053474009037
0,A_STORY_NULL,capacity-shadow,0,64,5.551399789750576
0,A_STORY_NULL,geometry-shadow,0,64,5.550721727311611
0,A_STORY_NULL,incumbent,1,128,5.554263457655907
0,A_STORY_NULL,capacity-shadow,1,128,5.554656594991684
0,A_STORY_NULL,geometry-shadow,1,128,5.554258801043034
0,A_STORY_NULL,incumbent,2,192,5.524175703525543
0,A_STORY_NULL,capacity-shadow,2,192,5.524498730897903
0,A_STORY_NULL,geometry-shadow,2,192,5.52399405837059
0,A_STORY_NULL,incumbent,3,256,5.537319555878639
0,A_STORY_NULL,capacity-shadow,3,256,5.537470132112503
0,A_STORY_NULL,geometry-shadow,3,256,5.537023708224297
0,B_ARITHMETIC_BIRTH,incumbent,0,64,6.425018802285194
0,B_ARITHMETIC_BIRTH,capacity-shadow,0,64,6.434823609888554
0,B_ARITHMETIC_BIRTH,geometry-shadow,0,64,6.3810743391513824
0,B_ARITHMETIC_BIRTH,incumbent,1,128,6.320062182843685
0,B_ARITHMETIC_BIRTH,capacity-shadow,1,128,6.310810670256615
0,B_ARITHMETIC_BIRTH,geometry-shadow,1,128,6.236430436372757
0,B_ARITHMETIC_BIRTH,incumbent,2,192,6.411514334380627
0,B_ARITHMETIC_BIRTH,capacity-shadow,2,192,6.406606629490852
0,B_ARITHMETIC_BIRTH,geometry-shadow,2,192,6.319284491240978
0,B_ARITHMETIC_BIRTH,incumbent,3,256,6.42010672390461
0,B_ARITHMETIC_BIRTH,capacity-shadow,3,256,6.425222642719746
0,B_ARITHMETIC_BIRTH,geometry-shadow,3,256,6.340040817856789
0,C_DUPLICATE_ARITHMETIC,incumbent,0,64,6.312429249286652
0,C_DUPLICATE_ARITHMETIC,capacity-shadow,0,64,6.312395207583904
0,C_DUPLICATE_ARITHMETIC,geometry-shadow,0,64,6.312391966581345
0,C_DUPLICATE_ARITHMETIC,incumbent,1,128,6.336081154644489
0,C_DUPLICATE_ARITHMETIC,capacity-shadow,1,128,6.335941039025784
0,C_DUPLICATE_ARITHMETIC,geometry-shadow,1,128,6.31625933945179
0,C_DUPLICATE_ARITHMETIC,incumbent,2,192,6.354609459638596
0,C_DUPLICATE_ARITHMETIC,capacity-shadow,2,192,6.354537397623062
0,C_DUPLICATE_ARITHMETIC,geometry-shadow,2,192,6.353088401257992
0,C_DUPLICATE_ARITHMETIC,incumbent,3,256,6.258384063839912
0,C_DUPLICATE_ARITHMETIC,capacity-shadow,3,256,6.258478000760078
0,C_DUPLICATE_ARITHMETIC,geometry-shadow,3,256,6.302402839064598
0,D_WEAK_TRANSFORM,incumbent,0,64,6.299607560038567
0,D_WEAK_TRANSFORM,capacity-shadow,0,64,6.299655348062515
0,D_WEAK_TRANSFORM,geometry-shadow,0,64,6.336531646549702
0,D_WEAK_TRANSFORM,incumbent,1,128,6.278250180184841
0,D_WEAK_TRANSFORM,capacity-shadow,1,128,6.277867391705513
0,D_WEAK_TRANSFORM,geometry-shadow,1,128,6.312753796577454
0,D_WEAK_TRANSFORM,incumbent,2,192,6.244996428489685
0,D_WEAK_TRANSFORM,capacity-shadow,2,192,6.2450938150286674
0,D_WEAK_TRANSFORM,geometry-shadow,2,192,6.289432846009731
0,D_WEAK_TRANSFORM,incumbent,3,256,6.3399394154548645
0,D_WEAK_TRANSFORM,capacity-shadow,3,256,6.339984707534313
