replicate,stage,active_k,candidate_k,proposal_batches,active_residual,candidate_residual,residual_gain,active_min_cluster_fraction,candidate_min_cluster_fraction,candidate_cluster_purity_posthoc,parent_branch,newborn_branch,mean_probe_nll,proposal_uses_task_label
0,A_STORY_NULL,1,2,64,57.26453399658203,49.09617614746094,0.1426425272160364,1.0,0.34375,1.0,0,1,5.541898421943188,0
0,B_ARITHMETIC_BIRTH,1,2,64,41.84206771850586,28.49479866027832,0.3189916222119282,1.0,0.25,0.75,0,1,6.636891163885593,0
0,C_DUPLICATE_ARITHMETIC,2,3,64,29.84687805175781,28.517784118652344,0.044530417245002,0.140625,0.046875,0.640625,1,2,6.6403558030724525,0
0,D_WEAK_TRANSFORM,2,3,64,25.556262969970703,25.223752975463867,0.0130109004942367,0.21875,0.03125,0.609375,1,2,6.767339184880257,0
0,E_TRANSFORM_BIRTH,2,3,64,20.743412017822266,20.47313117980957,0.0130297194010549,0.1875,0.015625,0.453125,1,2,7.04693515598774,0
1,A_STORY_NULL,1,2,64,60.34879302978516,49.45105743408203,0.1805791806030743,1.0,0.46875,1.0,0,1,5.493579879403114,0
1,B_ARITHMETIC_BIRTH,1,2,64,46.81920623779297,28.939844131469727,0.3818809318448211,1.0,0.28125,0.78125,0,1,6.614947333931923,0
1,C_DUPLICATE_ARITHMETIC,2,3,64,29.22152328491211,26.978246688842773,0.0767679553936054,0.34375,0.0625,0.859375,1,2,6.651941172778606,0
1,D_WEAK_TRANSFORM,2,3,64,25.95944023132324,24.865123748779297,0.0421548566838324,0.25,0.015625,0.703125,1,2,6.753436140716076,0
1,E_TRANSFORM_BIRTH,2,3,64,21.956209182739254,18.18726921081543,0.1716571353713808,0.28125,0.140625,0.671875,1,2,7.0487490221858025,0
2,A_STORY_NULL,1,2,64,57.310359954833984,50.08689880371094,0.1260411059504044,1.0,0.359375,1.0,0,1,5.546241581439972,0
2,B_ARITHMETIC_BIRTH,1,2,64,38.72819519042969,27.784324645996094,0.2825814756050906,1.0,0.15625,0.65625,0,1,6.605758167803288,0
2,C_DUPLICATE_ARITHMETIC,2,3,64,25.103670120239254,22.62696075439453,0.0986592539649386,0.484375,0.046875,0.984375,1,2,6.610828720033169,0
2,D_WEAK_TRANSFORM,2,3,64,22.827054977416992,20.35598373413086,0.1082518636648829,0.453125,0.0625,0.90625,1,2,6.7524207681417465,0
2,E_TRANSFORM_BIRTH,2,3,64,20.464359283447266,16.454345703125,0.1959510935466126,0.328125,0.109375,0.671875,1,2,7.032649822533131,0
