replicate,stage,arm,step,stream_key_posthoc,family_posthoc,branch,route_margin,candidate_parent_branch
0,A_STORY_NULL,incumbent,1,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,1,STORY,STORY,0,,0
0,A_STORY_NULL,geometry-shadow,1,STORY,STORY,0,1.0045205354690552,0
0,A_STORY_NULL,incumbent,2,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,2,STORY,STORY,1,,0
0,A_STORY_NULL,geometry-shadow,2,STORY,STORY,1,0.4669555425643921,0
0,A_STORY_NULL,incumbent,3,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,3,STORY,STORY,0,,0
0,A_STORY_NULL,geometry-shadow,3,STORY,STORY,1,0.5035756826400757,0
0,A_STORY_NULL,incumbent,4,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,4,STORY,STORY,1,,0
0,A_STORY_NULL,geometry-shadow,4,STORY,STORY,1,1.048023700714111,0
0,A_STORY_NULL,incumbent,5,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,5,STORY,STORY,0,,0
0,A_STORY_NULL,geometry-shadow,5,STORY,STORY,0,0.601251482963562,0
0,A_STORY_NULL,incumbent,6,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,6,STORY,STORY,1,,0
0,A_STORY_NULL,geometry-shadow,6,STORY,STORY,0,1.0510207414627075,0
0,A_STORY_NULL,incumbent,7,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,7,STORY,STORY,0,,0
0,A_STORY_NULL,geometry-shadow,7,STORY,STORY,0,0.9313427209854126,0
0,A_STORY_NULL,incumbent,8,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,8,STORY,STORY,1,,0
0,A_STORY_NULL,geometry-shadow,8,STORY,STORY,1,0.2968681454658508,0
0,A_STORY_NULL,incumbent,9,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,9,STORY,STORY,0,,0
0,A_STORY_NULL,geometry-shadow,9,STORY,STORY,1,0.9495869874954224,0
0,A_STORY_NULL,incumbent,10,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,10,STORY,STORY,1,,0
0,A_STORY_NULL,geometry-shadow,10,STORY,STORY,0,0.8425151109695435,0
0,A_STORY_NULL,incumbent,11,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,11,STORY,STORY,0,,0
0,A_STORY_NULL,geometry-shadow,11,STORY,STORY,1,0.4595954418182373,0
0,A_STORY_NULL,incumbent,12,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,12,STORY,STORY,1,,0
0,A_STORY_NULL,geometry-shadow,12,STORY,STORY,0,0.6071618795394897,0
0,A_STORY_NULL,incumbent,13,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,13,STORY,STORY,0,,0
0,A_STORY_NULL,geometry-shadow,13,STORY,STORY,0,0.5180212259292603,0
0,A_STORY_NULL,incumbent,14,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,14,STORY,STORY,1,,0
0,A_STORY_NULL,geometry-shadow,14,STORY,STORY,1,0.0987461805343627,0
0,A_STORY_NULL,incumbent,15,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,15,STORY,STORY,0,,0
0,A_STORY_NULL,geometry-shadow,15,STORY,STORY,0,0.8529069423675537,0
0,A_STORY_NULL,incumbent,16,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,16,STORY,STORY,1,,0
0,A_STORY_NULL,geometry-shadow,16,STORY,STORY,1,1.0726418495178225,0
0,A_STORY_NULL,incumbent,17,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,17,STORY,STORY,0,,0
0,A_STORY_NULL,geometry-shadow,17,STORY,STORY,1,0.1168650388717651,0
0,A_STORY_NULL,incumbent,18,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,18,STORY,STORY,1,,0
0,A_STORY_NULL,geometry-shadow,18,STORY,STORY,0,0.5832967162132263,0
0,A_STORY_NULL,incumbent,19,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,19,STORY,STORY,0,,0
0,A_STORY_NULL,geometry-shadow,19,STORY,STORY,0,1.0707629919052124,0
0,A_STORY_NULL,incumbent,20,STORY,STORY,0,0.0,0
0,A_STORY_NULL,capacity-shadow,20,STORY,STORY,1,,0
0,A_STORY_NULL,geometry-shadow,20,STORY,STORY,0,0.8034524917602539,0
0,A_STORY_NULL,incumbent,21,STORY,STORY,0,0.0,0
