replicate,stage,expected_outcome,start_k,end_k,accepted,parent_branch,newborn_branch,geometry_sustained_positive,geometry_cumulative_positive,geometry_beats_capacity,geometry_mean_net_utility_last3,capacity_mean_net_utility_last3,geometry_advantage_last3,routing_purity_posthoc,routing_purity_pass,identity_pass,identity_margin,identity_assignment,retention_identity_pass,retention_identity_margin,wall_seconds
0,A_STORY_NULL,REJECT,1,1,0,0,1,0,0,0,-0.004970950601276,-0.0050521497939855,8.119919270952222e-05,1.0,1,0,0.0,[0],0,0.0,14.939547629000003
0,B_ARITHMETIC_BIRTH,ACCEPT,1,2,1,0,1,1,1,1,0.008362963786481,-0.0045225248545942,0.0128854886410752,0.703125,0,1,0.1351241206495944,"[1, 0]",1,0.1351241206495944,15.713659656000004
0,C_DUPLICATE_ARITHMETIC,REJECT,2,2,0,1,2,0,0,0,-0.0062219342899307,-0.0049938519103303,-0.0012280823796003,0.67578125,0,1,0.1478454105825086,"[1, 0]",1,0.1478454105825086,15.387807008999973
0,D_WEAK_TRANSFORM,REJECT,2,2,0,1,2,0,0,0,-0.0122615599282519,-0.0049872558973413,-0.0072743040309106,0.65234375,0,1,0.1539552119461366,"[1, 0]",1,0.1539552119461366,15.644982433999983
0,E_TRANSFORM_BIRTH,ACCEPT,2,2,0,1,2,0,0,0,-0.0103064150527209,-0.0050000370862134,-0.0053063779665074,0.44921875,0,1,0.1619226942239311,"[1, 0]",1,0.1619226942239311,15.608582180999974
1,A_STORY_NULL,REJECT,1,1,0,0,1,0,0,0,-0.0049730288018749,-0.0050565124998615,8.34836979865328e-05,1.0,1,0,0.0,[0],0,0.0,15.068880827000015
1,B_ARITHMETIC_BIRTH,ACCEPT,1,2,1,0,1,1,1,1,0.0139596432883734,-0.0050926513521512,0.0190522946405247,0.79296875,1,1,0.1501929049575842,"[1, 0]",1,0.1501929049575842,16.085903411000004
1,C_DUPLICATE_ARITHMETIC,REJECT,2,2,0,1,2,0,0,0,-0.0022519616460044,-0.0050057247132441,0.0027537630672396,0.890625,1,1,0.1534837823620427,"[1, 0]",1,0.1534837823620427,15.708205711999994
1,D_WEAK_TRANSFORM,REJECT,2,2,0,1,2,0,0,0,-0.0050057876360727,-0.0050087776201655,2.989984092747223e-06,0.703125,0,1,0.1516417603868458,"[1, 0]",1,0.1516417603868458,15.616700409999964
1,E_TRANSFORM_BIRTH,ACCEPT,2,3,1,1,2,1,1,1,0.0079061271802479,-0.0050146162340238,0.0129207434142717,0.65625,0,0,0.0146553124620264,"[1, 2, 0]",0,0.0646641004187203,16.057471179999993
2,A_STORY_NULL,REJECT,1,1,0,0,1,0,0,0,-0.0049914337080905,-0.005044946660535,5.3512952444506136e-05,1.0,1,0,0.0,[0],0,0.0,13.331174593000014
2,B_ARITHMETIC_BIRTH,ACCEPT,1,2,1,0,1,1,1,1,0.0080642746931533,-0.005026981858336,0.0130912565514894,0.7578125,1,1,0.1121846585140313,"[1, 0]",1,0.1121846585140313,14.008347251000032
2,C_DUPLICATE_ARITHMETIC,REJECT,2,2,0,1,2,0,0,0,-0.0050356290650453,-0.0050116937644016,-2.393530064368178e-05,0.984375,1,1,0.157794397735527,"[1, 0]",1,0.157794397735527,13.866979082
2,D_WEAK_TRANSFORM,REJECT,2,2,0,1,2,0,0,0,-0.0042545143131028,-0.0050092675029701,0.0007547531898672,0.890625,1,1,0.1611456897072892,"[1, 0]",1,0.1611456897072892,13.722931958000004
2,E_TRANSFORM_BIRTH,ACCEPT,2,2,0,1,2,0,0,0,-0.0026915999545778,-0.0049943883783963,0.0023027884238185,0.63671875,0,1,0.1579920837450367,"[1, 0]",1,0.1579920837450367,13.560264114000006
