replicate,stage,candidate,family,branch,nll,parent_nll,utility
0,C_WEAK_SELECTED,STATE_MACHINE,STORY,0,6.527250438928604,5.429245084524155,-1.0980053544044497
0,C_WEAK_SELECTED,STATE_MACHINE,STORY,1,5.4297579526901245,5.429245084524155,-0.0005128681659698
0,C_WEAK_SELECTED,STATE_MACHINE,ARITHMETIC,0,6.613481998443604,7.725636422634125,1.1121544241905212
0,C_WEAK_SELECTED,STATE_MACHINE,ARITHMETIC,1,7.713509917259216,7.725636422634125,0.0121265053749084
0,C_WEAK_SELECTED,STATE_MACHINE,SELECTED,0,6.397583454847336,7.827496021986008,1.429912567138672
0,C_WEAK_SELECTED,STATE_MACHINE,SELECTED,1,7.818929314613342,7.827496021986008,0.0085667073726654
0,D_STRONG_SELECTED,STATE_MACHINE,STORY,0,6.484553784132004,5.429245084524155,-1.0553086996078491
0,D_STRONG_SELECTED,STATE_MACHINE,STORY,1,5.430004209280014,5.429245084524155,-0.0007591247558593
0,D_STRONG_SELECTED,STATE_MACHINE,ARITHMETIC,0,6.642564594745636,7.725636422634125,1.0830718278884888
0,D_STRONG_SELECTED,STATE_MACHINE,ARITHMETIC,1,7.71419033408165,7.725636422634125,0.0114460885524749
0,D_STRONG_SELECTED,STATE_MACHINE,SELECTED,0,6.319622576236725,7.827496021986008,1.5078734457492828
0,D_STRONG_SELECTED,STATE_MACHINE,SELECTED,1,7.819515138864517,7.827496021986008,0.0079808831214904
1,C_WEAK_SELECTED,STATE_MACHINE,STORY,0,6.532621651887894,5.461079925298691,-1.0715417265892029
1,C_WEAK_SELECTED,STATE_MACHINE,STORY,1,5.461434692144394,5.461079925298691,-0.0003547668457031
1,C_WEAK_SELECTED,STATE_MACHINE,ARITHMETIC,0,6.694386214017868,7.733470857143402,1.039084643125534
1,C_WEAK_SELECTED,STATE_MACHINE,ARITHMETIC,1,7.734410285949707,7.733470857143402,-0.0009394288063049
1,C_WEAK_SELECTED,STATE_MACHINE,SELECTED,0,6.472335964441299,7.892310798168182,1.419974833726883
1,C_WEAK_SELECTED,STATE_MACHINE,SELECTED,1,7.907571613788605,7.892310798168182,-0.0152608156204223
1,D_STRONG_SELECTED,STATE_MACHINE,STORY,0,6.48555314540863,5.461079925298691,-1.0244732201099396
1,D_STRONG_SELECTED,STATE_MACHINE,STORY,1,5.461272031068802,5.461079925298691,-0.000192105770111
1,D_STRONG_SELECTED,STATE_MACHINE,ARITHMETIC,0,6.749294012784958,7.733470857143402,0.9841768443584442
1,D_STRONG_SELECTED,STATE_MACHINE,ARITHMETIC,1,7.73860040307045,7.733470857143402,-0.0051295459270477
1,D_STRONG_SELECTED,STATE_MACHINE,SELECTED,0,6.367431193590164,7.892310798168182,1.5248796045780182
1,D_STRONG_SELECTED,STATE_MACHINE,SELECTED,1,7.90530201792717,7.892310798168182,-0.0129912197589874
2,C_WEAK_SELECTED,STATE_MACHINE,STORY,0,6.526990681886673,5.494996339082718,-1.031994342803955
2,C_WEAK_SELECTED,STATE_MACHINE,STORY,1,5.496432065963745,5.494996339082718,-0.0014357268810272
2,C_WEAK_SELECTED,STATE_MACHINE,STORY,2,5.494196981191635,5.494996339082718,0.0007993578910827
2,C_WEAK_SELECTED,STATE_MACHINE,ARITHMETIC,0,6.656162112951279,7.660192996263504,1.0040308833122251
2,C_WEAK_SELECTED,STATE_MACHINE,ARITHMETIC,1,7.686739057302475,7.660192996263504,-0.0265460610389709
2,C_WEAK_SELECTED,STATE_MACHINE,ARITHMETIC,2,7.656336963176727,7.660192996263504,0.0038560330867767
2,C_WEAK_SELECTED,STATE_MACHINE,SELECTED,0,6.602459907531738,7.886417031288147,1.2839571237564087
2,C_WEAK_SELECTED,STATE_MACHINE,SELECTED,1,7.901626735925674,7.886417031288147,-0.0152097046375274
2,C_WEAK_SELECTED,STATE_MACHINE,SELECTED,2,7.887841075658798,7.886417031288147,-0.0014240443706512
