replicate,stage,candidate,arm,window,prequential_nll
0,C_WEAK_SELECTED,STATE_MACHINE,incumbent,0,6.13848902285099
0,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,0,6.13804741948843
0,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,0,6.138683199882507
0,C_WEAK_SELECTED,STATE_MACHINE,incumbent,1,6.12870454788208
0,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,1,6.129086993634701
0,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,1,6.103942677378655
0,C_WEAK_SELECTED,STATE_MACHINE,incumbent,2,6.03535421192646
0,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,2,6.035555347800255
0,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,2,6.035752005875111
0,C_WEAK_SELECTED,STATE_MACHINE,incumbent,3,6.33353927731514
0,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,3,6.333619050681591
0,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,3,6.30419022589922
0,D_STRONG_SELECTED,STATE_MACHINE,incumbent,0,6.262076400220394
0,D_STRONG_SELECTED,STATE_MACHINE,capacity-shadow,0,6.262169234454632
0,D_STRONG_SELECTED,STATE_MACHINE,geometry-shadow,0,6.262076400220394
0,D_STRONG_SELECTED,STATE_MACHINE,incumbent,1,6.330945611000061
0,D_STRONG_SELECTED,STATE_MACHINE,capacity-shadow,1,6.331085428595543
0,D_STRONG_SELECTED,STATE_MACHINE,geometry-shadow,1,6.362114831805229
0,D_STRONG_SELECTED,STATE_MACHINE,incumbent,2,6.251631081104279
0,D_STRONG_SELECTED,STATE_MACHINE,capacity-shadow,2,6.251706473529339
0,D_STRONG_SELECTED,STATE_MACHINE,geometry-shadow,2,6.250741556286812
0,D_STRONG_SELECTED,STATE_MACHINE,incumbent,3,6.2583576664328575
0,D_STRONG_SELECTED,STATE_MACHINE,capacity-shadow,3,6.258422903716564
0,D_STRONG_SELECTED,STATE_MACHINE,geometry-shadow,3,6.258230462670326
1,C_WEAK_SELECTED,STATE_MACHINE,incumbent,0,6.140460222959518
1,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,0,6.1398365795612335
1,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,0,6.098696082830429
1,C_WEAK_SELECTED,STATE_MACHINE,incumbent,1,6.147281862795353
1,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,1,6.147027306258678
1,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,1,6.102530851960182
1,C_WEAK_SELECTED,STATE_MACHINE,incumbent,2,6.240834653377533
1,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,2,6.240937925875187
1,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,2,6.21208393573761
1,C_WEAK_SELECTED,STATE_MACHINE,incumbent,3,6.215210035443306
1,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,3,6.2152372524142265
1,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,3,6.215216398239136
1,D_STRONG_SELECTED,STATE_MACHINE,incumbent,0,6.345414094626904
1,D_STRONG_SELECTED,STATE_MACHINE,capacity-shadow,0,6.345395147800446
1,D_STRONG_SELECTED,STATE_MACHINE,geometry-shadow,0,6.319095760583878
1,D_STRONG_SELECTED,STATE_MACHINE,incumbent,1,6.287822164595127
1,D_STRONG_SELECTED,STATE_MACHINE,capacity-shadow,1,6.287972554564476
1,D_STRONG_SELECTED,STATE_MACHINE,geometry-shadow,1,6.276095397770405
1,D_STRONG_SELECTED,STATE_MACHINE,incumbent,2,6.259795121848583
1,D_STRONG_SELECTED,STATE_MACHINE,capacity-shadow,2,6.259768418967724
1,D_STRONG_SELECTED,STATE_MACHINE,geometry-shadow,2,6.230565845966339
1,D_STRONG_SELECTED,STATE_MACHINE,incumbent,3,6.276181481778622
1,D_STRONG_SELECTED,STATE_MACHINE,capacity-shadow,3,6.276302106678486
1,D_STRONG_SELECTED,STATE_MACHINE,geometry-shadow,3,6.262782849371433
2,C_WEAK_SELECTED,STATE_MACHINE,incumbent,0,6.323745436966419
2,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,0,6.324559271335602
2,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,0,6.198890641331673
2,C_WEAK_SELECTED,STATE_MACHINE,incumbent,1,6.278873607516289
2,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,1,6.278967775404453
2,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,1,6.15337797999382
2,C_WEAK_SELECTED,STATE_MACHINE,incumbent,2,6.163405247032642
2,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,2,6.163454316556454
2,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,2,6.030522152781487
2,C_WEAK_SELECTED,STATE_MACHINE,incumbent,3,6.382191799581051
2,C_WEAK_SELECTED,STATE_MACHINE,capacity-shadow,3,6.382291212677956
2,C_WEAK_SELECTED,STATE_MACHINE,geometry-shadow,3,6.264526449143887
